probability,noise_model,n_bits,shots,time_s,L2_pop,Fro_norm,Fidelity
0.0,none,3,262144,0.07908668898744509,0.2503298739950065,2.893410624288032e-15,0.9999999999999998
0.0,none,4,262144,0.08060199000465218,0.177194962830821,6.150553490970361e-15,0.9999999999999963
0.0,none,5,262144,0.08005235600285232,0.12515205047387856,1.4409335622921437e-14,0.99999999999999
0.0,none,6,262144,0.08614527300233021,0.08852014777932898,1.1541505555401834e-13,1.000000000000084
0.0,none,7,262144,0.09674460701353382,0.06259885621668877,1.3957354494248653e-13,1.0000000000001013
0.0,none,8,262144,0.16628857000614516,0.04433958554803927,1.3050710099157306e-12,1.0000000000009763
0.0,none,9,262144,0.1294790709944209,0.03125019837107878,6.599446928745299e-12,0.9999999999950651
0.0,none,10,262144,0.17119657000876032,0.022178858548374793,2.341899420387331e-11,0.9999999999824912
0.01,Depol,3,262144,0.0735932740062708,0.23787775097327363,1.1990534752514634,0.24727576927934633
0.01,Depol,4,262144,0.08162716799415648,0.16478553038786695,1.1928841765513956,0.24545452813260585
0.01,Depol,5,262144,0.08662736299447715,0.11481945198843248,1.1867622817406984,0.24377896054183473
0.01,Depol,6,262144,0.1415436690003844,0.08053828294063653,1.180747444614012,0.24214424112072006
0.01,Depol,7,262144,0.3282934180024313,0.056045454073507944,1.1748506317816678,0.2405275931818761
0.01,Depol,8,262144,0.9198927940014983,0.03914672369684687,1.1690729996688516,0.23892349235107685
0.01,Depol,9,262144,4.851257212998462,0.027404853124045725,1.1634133946607788,0.23733052420424394
0.01,Depol,10,262144,20.392461722003645,0.019042350532815982,1.1578701074186877,0.23574828473787512
0.01,AmpDamp,3,262144,0.07116664199566003,0.2426665750960169,1.2111528024974818,0.2515745144297418
0.01,AmpDamp,4,262144,0.394154150999384,0.16962107648963165,1.2075863727460976,0.25058897285553894
0.01,AmpDamp,5,262144,0.6787508749985136,0.11843010205857911,1.2041054924006864,0.24979765014261124
0.01,AmpDamp,6,262144,0.10672805699869059,0.08282687842151851,1.2007047249983809,0.24909393463818374
0.01,AmpDamp,7,262144,0.1964662170066731,0.05786901736775009,1.1973665468609398,0.24843271724290955
0.01,AmpDamp,8,262144,0.5880226809968008,0.040703829437290354,1.1940788277975645,0.24779300445496505
0.01,AmpDamp,9,262144,2.4813888170028804,0.028616713234229544,1.1908346110674983,0.24716467184810567
0.01,AmpDamp,10,262144,11.828852068007109,0.01995418003205746,1.1876300963825204,0.24654275320706875
