target,init,n_bits,shots,sim_time_s,l2_norm
qpp-cpu,ghz,3,4096,0.002201511997554917,0.2507199411526765
qpp-cpu,ghz,4,4096,0.0020281249962863512,0.1750544463337432
qpp-cpu,ghz,5,4096,0.002345442997466307,0.12532620780723513
qpp-cpu,ghz,6,4096,0.0028073200010112487,0.08915446034482763
qpp-cpu,ghz,7,4096,0.002741269003308844,0.06503953904902365
qpp-cpu,ghz,8,4096,0.0038856149985804223,0.04592180671699798
qpp-cpu,ghz,9,4096,0.004887932998826727,0.03589614478957865
qpp-cpu,ghz,10,4096,0.010575690001132898,0.026784351859184527
qpp-cpu,ghz,11,4096,0.0170327140003792,0.021904734429841748
qpp-cpu,ghz,12,4096,0.028931000000739004,0.019467057596923413
qpp-cpu,ghz,13,4096,0.07267127800150774,0.017676185898337846
qpp-cpu,ghz,14,4096,0.16123769999830984,0.016737437989260362
qpp-cpu,ghz,15,4096,0.35859214900119696,0.01613546058775225
qpp-cpu,ghz,16,4096,0.8287864369995077,0.015840945505379234
qpp-cpu,ghz,17,4096,1.7701601730004768,0.015716286073663165
qpp-cpu,ghz,18,4096,4.884910997003317,0.015701108584778835
qpp-cpu,ghz,19,4096,11.419016906998877,0.015663100519868595
qpp-cpu,ghz,20,4096,23.979169038997497,0.01562881423171799
qpp-cpu,ghz,21,4096,47.09106373400573,0.01562881423171799
qpp-cpu,ghz,3,8192,0.0028459760069381446,0.25122028791951234
qpp-cpu,ghz,4,8192,0.0031672710028942674,0.1782631188015101
qpp-cpu,ghz,5,8192,0.003415289997064974,0.12418433138409982
qpp-cpu,ghz,6,8192,0.0036721549986395985,0.08984507684142522
qpp-cpu,ghz,7,8192,0.004148825006268453,0.06219024192094405
qpp-cpu,ghz,8,8192,0.0048082600042107515,0.04537174692393994
qpp-cpu,ghz,9,8192,0.006420583995350171,0.03286390365324969
qpp-cpu,ghz,10,8192,0.011569513997528702,0.024613443674079218
qpp-cpu,ghz,11,8192,0.016017754998756573,0.01901947920269758
qpp-cpu,ghz,12,8192,0.027129495996632613,0.015482250448957135
qpp-cpu,ghz,13,8192,0.05671380300191231,0.013466518916525012
