probability,noise_model,n_bits,shots,time_s,L2_pop,Fro_norm,Fidelity
0.0,none,3,16384,0.007189793999714311,0.24698194046640268,2.893410624288032e-15,0.9999999999999998
0.0,none,4,16384,0.0061482590026571415,0.17506887408919408,6.150553490970361e-15,0.9999999999999963
0.0,none,5,16384,0.006613417994230986,0.12599690590949877,1.4409335622921437e-14,0.99999999999999
0.0,none,6,16384,0.007314826994843315,0.08944676638996005,1.1541505555401834e-13,1.000000000000084
0.0,none,7,16384,0.007925255995360203,0.06260808896447341,1.3957354494248653e-13,1.0000000000001013
0.0,none,8,16384,0.008910577002097853,0.04514728879614193,1.3050710099157306e-12,1.0000000000009763
0.0,none,9,16384,0.10743508299492532,0.0322152320132559,6.599446928745299e-12,0.9999999999950651
0.0,none,10,16384,0.01613661200099159,0.02379494530110606,2.341899420387331e-11,0.9999999999824912
0.0,none,11,16384,0.03382267900451552,0.01763018211313962,5.5084796135739655e-11,1.0000000000412805
0.01,Depol,3,16384,0.006010974997479934,0.2339263595722965,1.1990534752514637,0.24727576927934633
0.01,Depol,4,16384,0.009162947004369926,0.1640322748225955,1.1928841765513956,0.24545452813260588
0.01,Depol,5,16384,0.020172538002952933,0.11445388923884606,1.1867622817406984,0.24377896054183473
0.01,Depol,6,16384,0.05107556599978125,0.08074150708949504,1.180747444614012,0.24214424112072006
0.01,Depol,7,16384,0.2107227660017088,0.056368866470509274,1.1748506317816678,0.24052759318187614
0.01,Depol,8,16384,1.64990478099935,0.0400853703365227,1.1690729996688518,0.23892349235107688
0.01,Depol,9,16384,4.385677959005989,0.028182120069861316,1.1634133946607788,0.23733052420424391
0.01,Depol,10,16384,19.992196091996448,0.02044504642276993,1.1578701074186877,0.2357482847378752
0.01,Depol,11,16384,109.35996662599791,0.015280989709053196,1.1524413047391047,0.2341766205736707
0.01,AmpDamp,3,16384,0.005816258002596442,0.24226353589989805,1.2111528024974818,0.2515745144297418
0.01,AmpDamp,4,16384,0.006520078000903595,0.17068171246835548,1.2075863727460976,0.25058897285553894
0.01,AmpDamp,5,16384,0.03186178799660411,0.11788804154444082,1.2041054924006864,0.24979765014261124
0.01,AmpDamp,6,16384,0.11424380599783035,0.08261734622011202,1.2007047249983809,0.24909393463818374
0.01,AmpDamp,7,16384,0.421927069000958,0.05890148730464598,1.1973665468609398,0.24843271724290955
0.01,AmpDamp,8,16384,0.48734882099961396,0.04139767683992938,1.1940788277975645,0.24779300445496505
0.01,AmpDamp,9,16384,2.297905583996908,0.02938384815633442,1.1908346110674983,0.24716467184810567
0.01,AmpDamp,10,16384,11.593398584001989,0.021326525561825935,1.1876300963825204,0.24654275320706875
0.01,AmpDamp,11,16384,67.68641876599577,0.015972796604867372,1.1844631884874974,0.24592479096577638
0.01,Phase,3,16384,0.005763851004303433,0.24542772903401697,1.1952324966399104,0.24800233749776832
0.01,Phase,4,16384,0.007107099998393096,0.17276854595907395,1.1895691894525477,0.24518842480184766
0.01,Phase,5,16384,0.011279058999207336,0.12229401499536798,1.184061466221637,0.24265988441377467
0.01,Phase,6,16384,0.14839511400350602,0.08579272299442456,1.1786744503216888,0.2402146534654102
0.01,Phase,7,16384,1.0899191700009396,0.06267915321378185,1.1733945061521482,0.23780791611618107
0.01,Phase,8,16384,0.48783936600375455,0.04361994349514932,1.1682171037295486,0.23542870199854327
0.01,Phase,9,16384,2.325275462004356,0.03182771260551965,1.1631401261170806,0.23307413415530323
0.01,Phase,10,16384,12.180985084996792,0.022706062541663515,1.1581620525784508,0.23074332331480396
0.01,Phase,11,16384,65.65742324800522,0.017058862123677854,1.1532815105860525,0.22843587288131095
0.01,BitFlip,3,16384,0.04702204299974255,0.23531163933585172,1.2012165460199087,0.2500000000000004
0.01,BitFlip,4,16384,0.12521119799930602,0.16401405981755576,1.1938934254324753,0.24999999999999817
0.01,BitFlip,5,16384,0.010127928995643742,0.11234495021725419,1.1868177633671273,0.2500000000000013
0.01,BitFlip,6,16384,0.14166230299451854,0.07977647489010989,1.179982356591644,0.24999999999999986
0.01,BitFlip,7,16384,0.11998817000130657,0.05522120133870306,1.1733801475811876,0.25000000000000194
0.01,BitFlip,8,16384,0.4767838749976363,0.03794099664678112,1.167004224627398,0.25000000000000316
0.01,BitFlip,9,16384,2.295732669001154,0.02739220821246445,1.1608478218175733,0.2500000000000211
0.01,BitFlip,10,16384,12.396912869000516,0.019912433256814504,1.1549043189123693,0.2500000000000433
0.01,BitFlip,11,16384,67.17304549400433,0.014865788612964927,1.1491672411443223,0.25000000000005096
0.1,Depol,3,16384,0.006398712001100648,0.13571852882643035,1.0342170588486608,0.22447725267894
0.1,Depol,4,16384,0.007177229002991226,0.08643552218785837,1.0086521023861381,0.2080816111582533
0.1,Depol,5,16384,0.012636174004001077,0.05063041881712036,0.988314598717138,0.19390185873540733
0.1,Depol,6,16384,0.04270581500168191,0.034685050087406355,0.9727213044802042,0.18090469216535865
0.1,Depol,7,16384,0.18595933500182582,0.021336479926014968,0.9610476223913427,0.16882803883111921
0.1,Depol,8,16384,0.947502846000134,0.013530821002740714,0.9525293443246274,0.15756902812915202
0.1,Depol,9,16384,4.021197555004619,0.011283748128207724,0.9465228518347052,0.14706353796643296
0.1,Depol,10,16384,20.1145071380015,0.009662464771477954,0.942501784265349,0.13725909485065285
0.1,Depol,11,16384,110.67334142699838,0.008333478370040148,0.9400408409725963,0.12810844017046902
