n_bits,Probability,noise,sim_time_s,l2_pop,fro_norm,fidelity
3,0.01,none,0.032417266000265954,0.008988553609621627,2.220446049250313e-16,0.9999999999999993
4,0.01,none,0.032798502999867196,0.007269079556132522,6.661338147750939e-16,0.9999999999999993
5,0.01,none,0.048423825000099896,0.007595873626027366,5.551115123125783e-16,0.999999999999999
6,0.01,none,0.06170261299939739,0.006682165032185639,9.992007221626409e-16,0.9999999999999989
7,0.01,none,0.1616350139993301,0.007377431210152255,8.881784197001252e-16,0.9999999999999991
8,0.01,none,0.38797658199928264,0.007695756308833298,1.2212453270876722e-15,0.9999999999999999
3,0.01,Depolarizing,0.09693112800050585,0.007992576433042409,0.022902297705874673,0.9801330370370364
4,0.01,Depolarizing,0.03838595500019437,0.007004964226271276,0.029458753387026516,0.9735988167901228
5,0.01,Depolarizing,0.04433487200003583,0.006063098602630685,0.03595184978782197,0.9671081580115215
6,0.01,Depolarizing,0.07153768399984983,0.008470483525063754,0.04239122470505972,0.9606607702914447
7,0.01,Depolarizing,0.3424965499998507,0.008777610947905433,0.048781489984935006,0.9542563651561682
8,0.01,Depolarizing,1.0059376740000516,0.007428758340491014,0.05512520890064383,0.9478946560551269
3,0.01,Amplitude Damping,0.10880238099980488,0.00922822497682189,0.01494716356944015,0.992499984256926
4,0.01,Amplitude Damping,0.04169116299999587,0.009165846759078677,0.017931272397285824,0.9900124999605427
5,0.01,Amplitude Damping,0.0415408059998299,0.012169130615802347,0.02076812763198647,0.9875312499999
6,0.01,Amplitude Damping,0.0657753400000729,0.008226397970063151,0.023509216070974507,0.9850562187499985
7,0.01,Amplitude Damping,0.2783850200003144,0.008438317294626994,0.026182955192394348,0.9825873906249987
8,0.01,Amplitude Damping,0.6808722409996335,0.008886433691126922,0.028806589711618872,0.9801247500781238
3,0.01,Phase Damping,0.1394523159997334,0.005953978710086523,0.03421048973633694,0.9702989999999994
4,0.01,Phase Damping,0.039668452000114485,0.00794067148242303,0.04392407229938552,0.9605960099999995
5,0.01,Phase Damping,0.059884850999878836,0.008307061904711466,0.053511136351603344,0.9509900498999992
6,0.01,Phase Damping,0.05274209300023358,0.007981849076767591,0.06298682869989443,0.9414801494009994
7,0.01,Phase Damping,0.22305048900034308,0.007507076104258691,0.07235866442752242,0.9320653479069889
