n_bits,shots,noise,probability,time_sampling,l2_pop,time_density,fro_norm,fidelity
3,262144,none,0.0,0.11742070400214288,0.0006797443727836989,0.11742070400214288,2.220446049250313e-16,0.9999999999999993
4,262144,none,0.0,0.11639557100716047,0.0019042103698840617,0.11639557100716047,6.661338147750939e-16,0.9999999999999993
5,262144,none,0.0,0.12217210899689235,0.0021093447780210174,0.12217210899689235,5.551115123125783e-16,0.999999999999999
6,262144,none,0.0,0.1341276009916328,0.0019434001333668608,0.1341276009916328,9.992007221626409e-16,0.9999999999999989
7,262144,none,0.0,0.23611443399568088,0.0018872768961618856,0.23611443399568088,8.881784197001252e-16,0.9999999999999991
8,262144,none,0.0,0.3618104359920835,0.0018418391845835339,0.3618104359920835,1.2212453270876722e-15,0.9999999999999999
9,262144,none,0.0,0.9653936399990926,0.002002901341178656,0.9653936399990926,1.2212453270876722e-15,1.0000000000000009
3,262144,Depolarizing,0.01,0.22852636298921425,0.002182873640419288,0.22852636298921425,0.022902297705874673,0.9801330370370364
4,262144,Depolarizing,0.01,0.12902964399836492,0.0021428957906215232,0.12902964399836492,0.029458753387026516,0.9735988167901228
5,262144,Depolarizing,0.01,0.13626552699133754,0.0016948077894253601,0.13626552699133754,0.03595184978782185,0.9671081580115217
6,262144,Depolarizing,0.01,0.19117465999443084,0.0017753635499901995,0.19117465999443084,0.04239122470505953,0.9606607702914447
7,262144,Depolarizing,0.01,0.49400362999585923,0.0020828736128322835,0.49400362999585923,0.0487814899849349,0.9542563651561683
8,262144,Depolarizing,0.01,1.0431780619983329,0.0021456442903702425,1.0431780619983329,0.05512520890064381,0.9478946560551269
9,262144,Depolarizing,0.01,4.664049469996826,0.0019088052909369644,4.664049469996826,0.06142397923205013,0.9415753583480946
3,262144,Amplitude Damping,0.01,0.2016322840063367,0.006287063194210766,0.2016322840063367,0.01494716356944015,0.992499984256926
4,262144,Amplitude Damping,0.01,0.14652082599059213,0.005158142181565121,0.14652082599059213,0.017931272397285824,0.9900124999605427
5,262144,Amplitude Damping,0.01,0.14714321900100913,0.004185489594739119,0.14714321900100913,0.02076812763198647,0.9875312499999
6,262144,Amplitude Damping,0.01,0.20262556200032122,0.0031300561577199734,0.20262556200032122,0.023509216070974507,0.9850562187499985
7,262144,Amplitude Damping,0.01,0.41599004999443423,0.003444986339568912,0.41599004999443423,0.026182955192394348,0.9825873906249987
8,262144,Amplitude Damping,0.01,0.8515597349905875,0.0026455523725483557,0.8515597349905875,0.028806589711618872,0.9801247500781238
9,262144,Amplitude Damping,0.01,3.191915521005285,0.002410254817644235,3.191915521005285,0.03139130343091196,0.9776682816015609
3,262144,Phase Damping,0.01,0.23032513199723326,0.0018437343900836024,0.23032513199723326,0.03421048973633694,0.9702989999999994
4,262144,Phase Damping,0.01,0.13582892999693286,0.001848495392142707,0.13582892999693286,0.04392407229938552,0.9605960099999995
5,262144,Phase Damping,0.01,0.32940200399025343,0.0020513496859988927,0.32940200399025343,0.053511136351603344,0.9509900498999992
6,262144,Phase Damping,0.01,0.16974071100412402,0.0022838793553464336,0.16974071100412402,0.06298682869989443,0.9414801494009994
7,262144,Phase Damping,0.01,0.3221787520014914,0.0020628026167709814,0.3221787520014914,0.07235866442752242,0.9320653479069889
8,262144,Phase Damping,0.01,0.8382495420082705,0.002060473336810376,0.8382495420082705,0.08163104267168635,0.9227446944279187
9,262144,Phase Damping,0.01,3.0317143249994842,0.0019099637224142172,3.0317143249994842,0.0908068901557114,0.9135172474836398
3,262144,Bit Flip,0.01,0.1760272969986545,0.0018746355442645747,0.1760272969986545,2.220446049250313e-16,0.9999999999999993
4,262144,Bit Flip,0.01,0.119630976987537,0.0016017095713426386,0.119630976987537,6.661338147750939e-16,0.9999999999999993
5,262144,Bit Flip,0.01,0.12535782800114248,0.0017431705672412542,0.12535782800114248,5.551115123125783e-16,0.999999999999999
6,262144,Bit Flip,0.01,0.15293211498646997,0.001855198313429703,0.15293211498646997,9.992007221626409e-16,0.9999999999999989
7,262144,Bit Flip,0.01,0.3175894430023618,0.0018113747635982974,0.3175894430023618,8.881784197001252e-16,0.9999999999999991
8,262144,Bit Flip,0.01,0.686114923999412,0.0019269017292919373,0.686114923999412,1.2212453270876722e-15,0.9999999999999999
9,262144,Bit Flip,0.01,2.7183444010006497,0.0019317289473009841,2.7183444010006497,1.2212453270876722e-15,1.0000000000000009
3,262144,Depolarizing,0.1,0.307424536003964,0.0020591522419216787,0.307424536003964,0.21242564098819547,0.8130370370370361
4,262144,Depolarizing,0.1,0.17769540600420441,0.0017893817400230771,0.17769540600420441,0.26458011740230136,0.7588345679012336
5,262144,Depolarizing,0.1,0.14482205999956932,0.0019828648142831075,0.14482205999956932,0.31312632185690187,0.7082455967078176
6,262144,Depolarizing,0.1,0.34230978100094944,0.0018779394706951304,0.34230978100094944,0.358398219819515,0.661029223593963
7,262144,Depolarizing,0.1,0.8296182240010239,0.001952461785724461,0.8296182240010239,0.4006536277889857,0.6169606086876984
8,262144,Depolarizing,0.1,1.3016913479950745,0.0018075708623439227,1.3016913479950745,0.44011170338567257,0.5758299014418522
9,262144,Depolarizing,0.1,5.032161221999559,0.0019624754480858024,5.032161221999559,0.476967224215434,0.5374412413457283
3,262144,Amplitude Damping,0.1,0.27179821699974127,0.062169161435178824,0.27179821699974127,0.14497468537903124,0.9249831077996247
4,262144,Amplitude Damping,0.1,0.134095614994294,0.04997611113115311,0.134095614994294,0.17114458062413784,0.9012495665739932
5,262144,Amplitude Damping,0.1,0.19547630001034122,0.0401095139031249,0.19547630001034122,0.195215498459698,0.8781249888790024
6,262144,Amplitude Damping,0.1,0.18244324300030712,0.031020181832206218,0.18244324300030712,0.21777376123102807,0.8555937497146524
7,262144,Amplitude Damping,0.1,0.5852752970095025,0.02381005141593325,0.5852752970095025,0.23915283722278574,0.8336406249926769
8,262144,Amplitude Damping,0.1,1.2683598099974915,0.018259069880472274,1.2683598099974915,0.2595618947539742,0.8122507812498108
9,262144,Amplitude Damping,0.1,3.522507426998345,0.013677393702031597,3.522507426998345,0.2791416865519211,0.7914097656249938
3,262144,Phase Damping,0.1,0.2591312069998821,0.001059813251859366,0.2591312069998821,0.30556177771442583,0.7289999999999993
4,262144,Phase Damping,0.1,0.1313014449988259,0.0019654910692586372,0.1313014449988259,0.37406117146798407,0.6560999999999992
5,262144,Phase Damping,0.1,0.1456430030084448,0.0013812997202209765,0.1456430030084448,0.43561432850630677,0.5904899999999991
6,262144,Phase Damping,0.1,0.16923030499310698,0.0018297190563305043,0.16923030499310698,0.49104446990471196,0.5314409999999992
7,262144,Phase Damping,0.1,0.3183622579963412,0.0018237764028461022,0.3183622579963412,0.5410098618026117,0.47829689999999914
8,262144,Phase Damping,0.1,0.816688109000097,0.001668588875910712,0.816688109000097,0.5860713829095398,0.4304672099999993
9,262144,Phase Damping,0.1,2.8413493130065035,0.001978169740962623,2.8413493130065035,0.6267204898594855,0.3874204889999998
3,262144,Bit Flip,0.1,0.20479662901198026,0.001856123658096709,0.20479662901198026,5.551115123125783e-16,0.999999999999999
4,262144,Bit Flip,0.1,0.12394130599568598,0.0024259375235457926,0.12394130599568598,1.1102230246251565e-15,0.9999999999999989
5,262144,Bit Flip,0.1,0.1232993199955672,0.0023132923088273185,0.1232993199955672,9.992007221626409e-16,0.9999999999999986
6,262144,Bit Flip,0.1,0.17785607899713796,0.0019467293810192467,0.17785607899713796,1.4432899320127035e-15,0.9999999999999987
7,262144,Bit Flip,0.1,0.3402023100061342,0.0017943194087022827,0.3402023100061342,1.3322676295501878e-15,0.9999999999999989
8,262144,Bit Flip,0.1,0.8024410299985902,0.0020223220987523344,0.8024410299985902,1.7763568394002505e-15,0.9999999999999999
9,262144,Bit Flip,0.1,3.214724624005612,0.0019375958592020217,3.214724624005612,1.7763568394002505e-15,0.9999999999999947
3,262144,Depolarizing,0.5,0.19600111000181641,0.002002312755847164,0.19600111000181641,0.7608384660805233,0.29629629629629617
4,262144,Depolarizing,0.5,0.13973100899602287,0.0018412860488624156,0.13973100899602287,0.8367784297694096,0.19753086419753085
5,262144,Depolarizing,0.5,0.1663794619962573,0.0020624216418842546,0.1663794619962573,0.8885649463064806,0.13168724279835387
6,262144,Depolarizing,0.5,0.2764283440046711,0.0018050492856046328,0.2764283440046711,0.9240228372253856,0.08779149519890259
7,262144,Depolarizing,0.5,0.9486846330109984,0.0017483636100281718,0.9486846330109984,0.948303047446829,0.05852766346593505
8,262144,Depolarizing,0.5,1.2762957999948412,0.0020562881374155957,1.2762957999948412,0.9649028749080716,0.03901844231062336
9,262144,Depolarizing,0.5,5.2745356380037265,0.0019005386852560416,5.2745356380037265,0.9762257767891568,0.026012294873748912
3,262144,Amplitude Damping,0.5,0.2050830189982662,0.3438991347073632,0.2050830189982662,0.6528425855148932,0.6218592167691142
4,262144,Amplitude Damping,0.5,0.1629500859999098,0.30005457936036933,0.1629500859999098,0.7242938317665621,0.530790042944955
5,262144,Amplitude Damping,0.5,0.1309461180062499,0.2536137160559861,0.1309461180062499,0.7789696103502646,0.4530576408488156
6,262144,Amplitude Damping,0.5,0.15030196600127965,0.20943893349290651,0.15030196600127965,0.8218135723155948,0.3867088854806964
7,262144,Amplitude Damping,0.5,0.32046712101146113,0.17160784416480646,0.32046712101146113,0.8558869919731728,0.33007668037459437
8,262144,Amplitude Damping,0.5,0.7281418759957887,0.13959134906932164,0.7281418759957887,0.8832512532834608,0.2817380696895073
9,262144,Amplitude Damping,0.5,2.8459841619915096,0.11254737523624418,2.8459841619915096,0.9053733108749845,0.2404784846426829
3,262144,Phase Damping,0.5,0.18477099400479347,0.0020131195154384786,0.18477099400479347,0.9354143466934853,0.12499999999999997
4,262144,Phase Damping,0.5,0.1295561269944301,0.0018842905562570984,0.1295561269944301,0.9682458365518543,0.0625
5,262144,Phase Damping,0.5,0.14032574600423686,0.001973891131386118,0.14032574600423686,0.9842509842514763,0.031249999999999997
6,262144,Phase Damping,0.5,0.15584272099658847,0.0021102000539145976,0.15584272099658847,0.9921567416492215,0.015625
7,262144,Phase Damping,0.5,0.32012350200966466,0.0019404026762988242,0.32012350200966466,0.9960860906568266,0.007812499999999999
8,262144,Phase Damping,0.5,0.8414678050030489,0.0020482047108029565,0.8414678050030489,0.998044963916957,0.00390625
9,262144,Phase Damping,0.5,3.152964246997726,0.0019742523360141043,3.152964246997726,0.9990229601966112,0.0019531249999999998
3,262144,Bit Flip,0.5,0.2037836819945369,0.001961770888877236,0.2037836819945369,2.220446049250313e-16,0.9999999999999998
4,262144,Bit Flip,0.5,0.15487413499795366,0.0019034383745994681,0.15487413499795366,0.0,1.0
5,262144,Bit Flip,0.5,0.16127558599691838,0.002094772500643712,0.16127558599691838,2.220446049250313e-16,0.9999999999999999
6,262144,Bit Flip,0.5,0.21597218301030807,0.0019637207866334515,0.21597218301030807,0.0,1.0
7,262144,Bit Flip,0.5,0.4323418340063654,0.0018717845276747312,0.4323418340063654,2.220446049250313e-16,1.0
