n_bits,shots,sim_time_s,l2_norm,gpu_core_pct,gpu_mem_pct,gpu_mem_mib
3,1024,0.0032216769996011863,0.028168369339562415,11.0,7.0,286.72
4,1024,0.0021390740002971143,0.027793455997573647,80.0,78.0,3194.88
5,1024,0.0019601210005930625,0.03792282781044453,80.0,78.0,3194.88
6,1024,0.004366072000266286,0.02833714478231818,80.0,78.0,3194.88
7,1024,0.0030460189991572406,0.03140221716955767,80.0,78.0,3194.88
8,1024,0.0020080220001545968,0.030446205601796672,80.0,78.0,3194.88
9,1024,0.004557083999316092,0.02958839337410765,80.0,78.0,3194.88
10,1024,0.0024736539999139495,0.031310975667737106,4.0,1.0,40.96
11,1024,0.0025447040006838506,0.03128050269149798,4.0,1.0,40.96
12,1024,0.0025193919991579605,0.03161408995359111,4.0,1.0,40.96
13,1024,0.002756547999524628,0.031310975667737106,4.0,1.0,40.96
14,1024,0.007210978999864892,0.03143257214732633,4.0,1.0,40.96
15,1024,0.007863752000048407,0.031158312760827766,4.0,1.0,40.96
16,1024,0.00449295199905464,0.03125,5.0,1.0,40.96
17,1024,0.014197403999787639,0.03125,5.0,1.0,40.96
18,1024,0.007052822000332526,0.031219467506144103,5.0,1.0,40.96
19,1024,0.00808418700034963,0.03128050269149798,5.0,1.0,40.96
20,1024,0.008104524000373203,0.03126525506559008,5.0,1.0,40.96
21,1024,0.022679473000607686,0.031242369673918732,5.0,2.0,81.92
22,1024,0.01951519999965967,0.031246185069875306,5.0,2.0,81.92
23,1024,0.025892476000080933,0.031278597144745186,5.0,2.0,81.92
24,1024,0.05056649799917068,0.031249046311131234,5.0,2.0,81.92
25,1024,0.09413427399886132,0.031249523159203763,22.0,17.0,696.32
26,1024,0.18710736600041855,0.031249761580511397,22.0,17.0,696.32
27,1024,0.3959617399996205,0.031249880790483076,59.0,57.0,2334.72
