probability,noise_model,n_bits,shots,time_s,L2_pop,Fro_norm,Fidelity
0.0,none,3,131072,0.1831953525543213,2.1073424176942392e-08,5.960464455334602e-08,0.9999999403953551
0.0,none,4,131072,0.02402806282043457,2.9802322387695312e-08,1.1920928955078125e-07,0.9999998807907104
0.0,none,5,131072,0.023647308349609375,3.1610136343918214e-08,1.7881393410412727e-07,0.9999998211860656
0.0,none,6,131072,0.028974294662475586,2.9802322387695312e-08,2.384185791015625e-07,0.9999997615814209
0.0,none,7,131072,0.047753334045410156,1.5805068171959107e-08,1.7881393410412727e-07,0.9999998211860656
0.0,none,8,131072,0.04333806037902832,1.4901161193847656e-08,2.384185791015625e-07,0.9999997615814209
0.0,none,9,131072,0.07477903366088867,7.902534085979553e-09,1.7881393410412727e-07,0.9999998211860656
0.0,none,10,131072,0.05053544044494629,1.1175870895385742e-08,3.5762786865234375e-07,0.9999996423721313
0.01,Depol,3,131072,0.0011360645294189453,2.1073424176942392e-08,0.017212611717721416,0.9850748330354689
0.01,Depol,4,131072,0.002137422561645508,2.9802322387695312e-08,0.0221605034450497,0.980149395763874
0.01,Depol,5,131072,0.002833843231201172,3.1610136343918214e-08,0.02706891445606911,0.9752485789358615
0.01,Depol,6,131072,0.005808591842651367,2.9802322387695312e-08,0.031944936608237544,0.970372261479497
0.01,Depol,7,131072,0.02607560157775879,1.5805068171959107e-08,0.03679180276688964,0.9655204424634575
0.01,Depol,8,131072,0.14802026748657227,1.4901161193847656e-08,0.04161155380044963,0.9606927637942135
0.01,Depol,9,131072,1.0849554538726807,7.902534085979553e-09,0.046405065487393184,0.9558893444482236
0.01,Depol,10,131072,7.060681343078613,1.1175870895385742e-08,0.0511734024288915,0.9511097074719146
0.01,BitFlip,3,131072,0.0006816387176513672,2.1073424176942392e-08,5.960464455334602e-08,0.9999999403953551
0.01,BitFlip,4,131072,0.0012984275817871094,2.9802322387695312e-08,1.1920928955078125e-07,0.9999998807907104
0.01,BitFlip,5,131072,0.0016446113586425781,3.1610136343918214e-08,1.7881393410412727e-07,0.9999998211860656
0.01,BitFlip,6,131072,0.003270387649536133,2.9802322387695312e-08,2.384185791015625e-07,0.9999997615814209
0.01,BitFlip,7,131072,0.05647730827331543,1.5805068171959107e-08,1.7881393410412727e-07,0.9999998211860656
0.01,BitFlip,8,131072,0.0685572624206543,1.4901161193847656e-08,2.384185791015625e-07,0.9999997615814209
0.01,BitFlip,9,131072,0.46704697608947754,7.902534085979553e-09,1.7881393410412727e-07,0.9999998211860656
0.01,BitFlip,10,131072,3.5807933807373047,1.1175870895385742e-08,3.5762786865234375e-07,0.9999996423721313
0.01,PhaseFlip,3,131072,0.0007030963897705078,2.1073424176942392e-08,0.034210537036673705,0.970298945903778
0.01,PhaseFlip,4,131072,0.0008890628814697266,2.9802322387695312e-08,0.04392417071499349,0.9605958983302116
0.01,PhaseFlip,5,131072,0.0015878677368164062,3.1610136343918214e-08,0.05351129131174866,0.9509898796677588
0.01,PhaseFlip,6,131072,0.0030975341796875,2.9802322387695312e-08,0.06298704574456293,0.9414799176156521
0.01,PhaseFlip,7,131072,0.013046979904174805,1.5805068171959107e-08,0.07235883609811841,0.9320651702582835
0.01,PhaseFlip,8,131072,0.08124876022338867,1.4901161193847656e-08,0.0816312827572234,0.922744448762387
0.01,PhaseFlip,9,131072,0.49065136909484863,7.902534085979553e-09,0.09080708605083991,0.9135170513764023
0.01,PhaseFlip,10,131072,3.533472776412964,1.1175870895385742e-08,0.09988873852541562,0.9043816899647936
0.01,AmpDamp,3,131072,0.0007040500640869141,0.0061240292936922585,0.014947189614844182,0.9924999428912995
0.01,AmpDamp,4,131072,0.0009407997131347656,0.0050003693244656,0.01793132353559408,0.990012378199026
