target,init,n_bits,shots,sim_time_s,l2_norm
nvidia,ghz,3,4096,0.0019072849972872064,0.2511598385408177
nvidia,ghz,4,4096,0.0019161259988322854,0.1793345426331958
nvidia,ghz,5,4096,0.002010244003031403,0.12507912992208345
nvidia,ghz,6,4096,0.0022533380033564754,0.09135949659005078
nvidia,ghz,7,4096,0.002125974999216851,0.06453168300825139
nvidia,ghz,8,4096,0.0023574750011903234,0.04674512035994581
nvidia,ghz,9,4096,0.003801880004175473,0.03401887392255929
nvidia,ghz,10,4096,0.0031566469988320023,0.026742036721520236
nvidia,ghz,11,4096,0.0032577249949099496,0.021545323704013877
nvidia,ghz,12,4096,0.003783770000154618,0.019282473236306767
nvidia,ghz,13,4096,0.004316904000006616,0.017706508168426508
nvidia,ghz,14,4096,0.004790062994288746,0.016698219314024994
nvidia,ghz,15,4096,0.005208763999689836,0.016065120973009866
nvidia,ghz,16,4096,0.00826508099999046,0.015765512002893497
nvidia,ghz,17,4096,0.007652063999557868,0.015701108584778835
nvidia,ghz,18,4096,0.008747585998207796,0.01572765957852188
nvidia,ghz,19,4096,0.010526931997446809,0.015655487833868553
nvidia,ghz,20,4096,0.010920316999545321,0.015621184836959366
nvidia,ghz,21,4096,0.013200093002524227,0.01563262753279504
nvidia,ghz,22,4096,0.020912819003569894,0.015621184836959366
nvidia,ghz,23,4096,0.034577149999677204,0.01563262753279504
nvidia,ghz,24,4096,0.06578028499643551,0.015623092534937653
nvidia,ghz,25,4096,0.13103581800532993,0.015627860761062696
nvidia,ghz,26,4096,0.26607614800013835,0.015624523155565617
nvidia,ghz,27,4096,0.5169948510010727,0.015624761579601881
nvidia,ghz,3,8192,0.002477100002579391,0.24653313784674938
nvidia,ghz,4,8192,0.0025111819995800033,0.17830750000498907
nvidia,ghz,5,8192,0.0027669129995047115,0.12543032008949792
nvidia,ghz,6,8192,0.0031183999963104725,0.08832156180873656
nvidia,ghz,7,8192,0.0031083389985724352,0.06352138404027778
nvidia,ghz,8,8192,0.0033950239958357997,0.04569996879960546
nvidia,ghz,9,8192,0.0036601929969037883,0.03328604721812652
nvidia,ghz,10,8192,0.003869578999001533,0.02456011003898299
nvidia,ghz,11,8192,0.004358550999313593,0.019175532681502874
nvidia,ghz,12,8192,0.005690300000424031,0.015715337910042884
nvidia,ghz,13,8192,0.005843259998073336,0.013682769794142631
nvidia,ghz,14,8192,0.0066008680005325004,0.012235075208326002
nvidia,ghz,15,8192,0.009184570997604169,0.011706027436266458
nvidia,ghz,16,8192,0.011819111998192966,0.011405574830857497
nvidia,ghz,17,8192,0.011762205998820718,0.01126755933517024
nvidia,ghz,18,8192,0.015054388997668866,0.011118454625718458
nvidia,ghz,19,8192,0.014876667999487836,0.011096990407581555
nvidia,ghz,20,8192,0.015909394998743664,0.011083554162906413
nvidia,ghz,21,8192,0.020426569004484918,0.011066062655300666
nvidia,ghz,22,8192,0.02417786599835381,0.011055284895105077
nvidia,ghz,23,8192,0.03871288299706066,0.011051240525152613
nvidia,ghz,24,8192,0.07176258900290122,0.011047194674559342
nvidia,ghz,25,8192,0.13501353000174277,0.011048543456039806
nvidia,ghz,26,8192,0.2713968890020624,0.011049217785037719
nvidia,ghz,27,8192,0.5244798749990878,0.011048206276106682
nvidia,ghz,3,16384,0.004442890000063926,0.25059972295506044
nvidia,ghz,4,16384,0.004581794004479889,0.1773050383610352
nvidia,ghz,5,16384,0.005026203994930256,0.12453520310276804
nvidia,ghz,6,16384,0.00501363399962429,0.08843781420648517
nvidia,ghz,7,16384,0.00547866900160443,0.06370427296184024
nvidia,ghz,8,16384,0.005363502998079639,0.04521613562038085
nvidia,ghz,9,16384,0.005550565001612995,0.03250659307215571
nvidia,ghz,10,16384,0.005974792002234608,0.023740557500098788
nvidia,ghz,11,16384,0.006611295000766404,0.01765762998876317
nvidia,ghz,12,16384,0.007720154993876349,0.013657426010928562
nvidia,ghz,13,16384,0.008679033002408687,0.011090610221021
nvidia,ghz,14,16384,0.010385533001681324,0.009561308693074153
nvidia,ghz,15,16384,0.011550386996532325,0.008705590493005582
nvidia,ghz,16,16384,0.018867129998398013,0.008300332449953715
nvidia,ghz,17,16384,0.01994473500235472,0.008047387560473393
nvidia,ghz,18,16384,0.02231227700394811,0.007927524666316245
nvidia,ghz,19,16384,0.027322567002556752,0.007864777181564753
nvidia,ghz,20,16384,0.025544449999870267,0.007835830185707783
nvidia,ghz,21,16384,0.02701519299444044,0.00783297716169706
nvidia,ghz,22,16384,0.03383616000064649,0.007822983383794979
nvidia,ghz,23,16384,0.049750546997529455,0.007812976822607176
nvidia,ghz,24,16384,0.08143716699851211,0.007815837147368058
nvidia,ghz,25,16384,0.14893323199794395,0.0078120231482889935
nvidia,ghz,26,16384,0.2884806669972022,0.007812976822607176
nvidia,ghz,27,16384,0.5378127779986244,0.0078120231482889935
nvidia,ghz,3,32768,0.008594254002673551,0.24855749258460602
nvidia,ghz,4,32768,0.00887421900551999,0.17467150063000697
nvidia,ghz,5,32768,0.008972734998678789,0.12537497663450167
nvidia,ghz,6,32768,0.008801968004263472,0.08796811396638216
nvidia,ghz,7,32768,0.008970754999609198,0.06305269895123125
nvidia,ghz,8,32768,0.009108657999604475,0.044675587253361154
nvidia,ghz,9,32768,0.009399682996445335,0.03190948089247305
nvidia,ghz,10,32768,0.010264013995765708,0.02283498048294132
nvidia,ghz,11,32768,0.010795310001412872,0.016552516069351136
nvidia,ghz,12,32768,0.011669748993881512,0.012324568415546489
nvidia,ghz,13,32768,0.01370265000150539,0.009565204113359245
nvidia,ghz,14,32768,0.015435252003953792,0.00786548765090614
nvidia,ghz,15,32768,0.018107223004335538,0.006811780480351108
nvidia,ghz,16,32768,0.03411932900053216,0.006152604112716886
nvidia,ghz,17,32768,0.03403953200177057,0.005843936927376064
nvidia,ghz,18,32768,0.03801459100213833,0.005697068695860129
nvidia,ghz,19,32768,0.041160364999086596,0.005616892694156971
nvidia,ghz,20,32768,0.043103012001665775,0.00557227912417173
nvidia,ghz,21,32768,0.04335359799733851,0.005543457375322041
nvidia,ghz,22,32768,0.05293004099803511,0.005539760056061025
nvidia,ghz,23,32768,0.06636081699980423,0.005527979406463367
nvidia,ghz,24,32768,0.10280816700105788,0.005527305468099819
nvidia,ghz,25,32768,0.17211594700347632,0.005524946036442068
nvidia,ghz,26,32768,0.3076456139970105,0.005525957344794864
nvidia,ghz,27,32768,0.557289452997793,0.005524103138053341
nvidia,ghz,3,65536,0.016803719001472928,0.2512015640338182
nvidia,ghz,4,65536,0.016994058001728263,0.17661220522898208
nvidia,ghz,5,65536,0.01703639199695317,0.12486203037448702
nvidia,ghz,6,65536,0.017635699005040806,0.0883872254813534
nvidia,ghz,7,65536,0.016993907003779896,0.06253536162782612
nvidia,ghz,8,65536,0.01776577500277199,0.04470408553671867
nvidia,ghz,9,65536,0.01773304000380449,0.03144193358659788
nvidia,ghz,10,65536,0.02021077699464513,0.02259555158977292
nvidia,ghz,11,65536,0.020408598997164518,0.01600553147990814
nvidia,ghz,12,65536,0.023125072999391705,0.011619044371626405
nvidia,ghz,13,65536,0.021783470998343546,0.0087368527055998
nvidia,ghz,14,65536,0.02572028299618978,0.006747974113811833
nvidia,ghz,15,65536,0.036464570002863184,0.005527810929575454
nvidia,ghz,16,65536,0.06611728099960601,0.004779826329395202
nvidia,ghz,17,65536,0.07026775499980431,0.004379564866993727
nvidia,ghz,18,65536,0.08723808599461336,0.004146742619986547
nvidia,ghz,19,65536,0.0865258019985049,0.004023115089609344
nvidia,ghz,20,65536,0.0859057630004827,0.003967109089392383
nvidia,ghz,21,65536,0.10307164400001056,0.003936945001906694
nvidia,ghz,22,65536,0.10283834399888292,0.003921775957201956
nvidia,ghz,23,65536,0.11639609900157666,0.003913931446584457
nvidia,ghz,24,65536,0.1656753760034917,0.003910479639877805
nvidia,ghz,25,65536,0.23501566400227603,0.003906488411303588
nvidia,ghz,26,65536,0.3662082879964146,0.00390708437591541
nvidia,ghz,27,65536,0.6212861729945871,0.0039067268080579245
nvidia,ghz,3,131072,0.035183781998057384,0.25046766648969915
nvidia,ghz,4,131072,0.03493936700397171,0.17625774234489908
nvidia,ghz,5,131072,0.03545072999986587,0.12445463760777419
nvidia,ghz,6,131072,0.03444789299828699,0.08841288227010018
nvidia,ghz,7,131072,0.03568371700384887,0.06247282927715818
nvidia,ghz,8,131072,0.03559294399747159,0.04417354207718539
nvidia,ghz,9,131072,0.035385218005103525,0.03125385916245905
nvidia,ghz,10,131072,0.03608052199706435,0.022233021753772644
nvidia,ghz,11,131072,0.037384226998256054,0.015853907536475725
nvidia,ghz,12,131072,0.03800637500535231,0.011388930577032072
nvidia,ghz,13,131072,0.0393373410042841,0.00829613780124837
nvidia,ghz,14,131072,0.044269341000472195,0.006130568631421813
nvidia,ghz,15,131072,0.04896264299895847,0.004784707126171069
nvidia,ghz,16,131072,0.10451472800195916,0.003911491691897489
nvidia,ghz,17,131072,0.13307527900178684,0.003380811903613112
nvidia,ghz,18,131072,0.16151892700145254,0.0030839556655852065
nvidia,ghz,19,131072,0.16916608800238464,0.002925810632952857
nvidia,ghz,20,131072,0.1967641029987135,0.002847839498706913
nvidia,ghz,21,131072,0.19558412399783265,0.0028063729887945746
nvidia,ghz,22,131072,0.20550561099662445,0.0027818952800364623
nvidia,ghz,23,131072,0.23392603899992537,0.0027724636073836973
nvidia,ghz,24,131072,0.2769188120000763,0.002767756749098047
nvidia,ghz,25,131072,0.35097140799916815,0.0027648740519393466
nvidia,ghz,26,131072,0.5097381079976913,0.0027633578523086656
nvidia,ghz,27,131072,0.765478900000744,0.002763294659270068
nvidia,ghz,3,262144,0.06691074600530555,0.24909949432642167
nvidia,ghz,4,262144,0.06765079199976753,0.17704304522329375
nvidia,ghz,5,262144,0.06829698300134623,0.12519376387155334
nvidia,ghz,6,262144,0.07401284100342309,0.08826707909791401
nvidia,ghz,7,262144,0.06829485300113447,0.062497924978858053
nvidia,ghz,8,262144,0.06805275799706578,0.04411254032615341
nvidia,ghz,9,262144,0.0683058290014742,0.031302769817425774
nvidia,ghz,10,262144,0.07002193799417,0.02220093768903996
nvidia,ghz,11,262144,0.0717380270070862,0.01575559378019796
nvidia,ghz,12,262144,0.07418221099942457,0.011237747228339982
nvidia,ghz,13,262144,0.07796315599989612,0.008078547157830882
nvidia,ghz,14,262144,0.07914550599525683,0.0058576337889522274
nvidia,ghz,15,262144,0.08369868299632799,0.0043710804788645394
nvidia,ghz,16,262144,0.18732277600065572,0.0033971158902599027
nvidia,ghz,17,262144,0.23672472299949732,0.0027638212237762693
nvidia,ghz,18,262144,0.28428510000230744,0.0023899009868892035
nvidia,ghz,19,262144,0.38187456499872496,0.002181286459497847
nvidia,ghz,20,262144,0.4002565769987996,0.0020722901821928525
nvidia,ghz,21,262144,0.41883773500012467,0.002013668809549864
nvidia,ghz,22,262144,0.4551490859957994,0.0019832243845350336
nvidia,ghz,23,262144,0.47110347200214164,0.001968206353285418
nvidia,ghz,24,262144,0.545792598000844,0.0019609176627139796
nvidia,ghz,25,262144,0.618719792997581,0.001956772378829178
nvidia,ghz,26,262144,0.7500440289950348,0.0019555449395305233
nvidia,ghz,27,262144,1.0148490310020861,0.0019540188651289443
nvidia,ghz,3,524288,0.1395360569949844,0.24985044233959433
nvidia,ghz,4,524288,0.14074532000086037,0.176411529590089
nvidia,ghz,5,524288,0.1383072819953668,0.1249361394875818
nvidia,ghz,6,524288,0.1435101230017608,0.08861628592332865
nvidia,ghz,7,524288,0.14071954999963054,0.06241207228860781
nvidia,ghz,8,524288,0.1393615810011397,0.044280075918563734
nvidia,ghz,9,524288,0.14168955600325717,0.03120158109691316
nvidia,ghz,10,524288,0.1423147079985938,0.02213116533695624
nvidia,ghz,11,524288,0.14402272300503682,0.01570179000567639
nvidia,ghz,12,524288,0.14436412400391418,0.011109299348097929
nvidia,ghz,13,524288,0.14865962600015337,0.007938736500398641
nvidia,ghz,14,524288,0.15458348799438681,0.005698333563190481
nvidia,ghz,15,524288,0.16963461299746996,0.004146353953437864
nvidia,ghz,16,524288,0.37492308000219055,0.003081589565837517
nvidia,ghz,17,524288,0.39759382999909576,0.002391081945530641
nvidia,ghz,18,524288,0.532957522002107,0.0019519083137542444
nvidia,ghz,19,524288,0.6604737189991283,0.0016921396821007598
nvidia,ghz,20,524288,0.8106737030029763,0.0015445944288956623
nvidia,ghz,21,524288,0.9623933129987563,0.001464905836855877
nvidia,ghz,22,524288,0.9490239480001037,0.0014243948822974086
nvidia,ghz,23,524288,0.9975325570048881,0.0014025926506884671
nvidia,ghz,24,524288,1.1957165540006827,0.0013920038879789152
nvidia,ghz,25,524288,1.2671627410018118,0.001386326277627625
nvidia,ghz,26,524288,1.2797858709964203,0.001383794249482485
nvidia,ghz,27,524288,1.887874466003268,0.0013823107048729654
