probability,noise_model,n_bits,shots,time_s,L2_pop,Fro_norm,Fidelity
0.0,none,3,262144,0.07868943300127285,0.24953844370321054,2.893410624288032e-15,1.0
0.0,none,4,262144,0.07924494799954118,0.17732213616671316,6.150553490970361e-15,0.9999999999999962
0.0,none,5,262144,0.07869106099678902,0.124895465273136,1.4409335622921437e-14,0.9999999999999898
0.0,none,6,262144,0.0860477410024032,0.08840403904184171,1.1541505555401834e-13,1.000000000000084
0.0,none,7,262144,0.093329723997158,0.06259687769319376,1.3957354494248653e-13,1.0000000000001013
0.01,Depol,3,262144,0.06952544500381919,0.23739154439318413,1.1990534752514637,0.24727576927934636
0.01,Depol,4,262144,0.073946739998064,0.16551590585645964,1.1928841765513956,0.2454545281326058
0.01,Depol,5,262144,0.08649939199676737,0.11491355191850057,1.1867622817406984,0.24377896054183473
0.01,Depol,6,262144,0.12089866300084395,0.08068207669955797,1.180747444614012,0.24214424112072014
0.01,Depol,7,262144,0.27180042999680154,0.05616142909522342,1.1748506317816678,0.2405275931818762
0.01,AmpDamp,3,262144,0.0669729159999406,0.24229332979965407,1.2111528024974818,0.2515745144297418
0.01,AmpDamp,4,262144,0.0737215670014848,0.16959034106494572,1.2075863727460976,0.25058897285553894
0.01,AmpDamp,5,262144,0.0825450189950061,0.11908690861706606,1.2041054924006864,0.24979765014261124
0.01,AmpDamp,6,262144,0.10929658100212691,0.08293615379118839,1.2007047249983809,0.24909393463818374
0.01,AmpDamp,7,262144,0.2116473260030034,0.058196089306523535,1.1973665468609398,0.24843271724290955
0.01,Phase,3,262144,0.06777184800012037,0.24458556804980305,1.1952324966399104,0.24800233749776832
0.01,Phase,4,262144,0.07504746800259454,0.17326485143296042,1.1895691894525477,0.24518842480184766
0.01,Phase,5,262144,0.08793924600468017,0.12234486686700234,1.184061466221637,0.24265988441377467
0.01,Phase,6,262144,0.10560192500270205,0.08640965332127654,1.1786744503216888,0.2402146534654102
0.01,Phase,7,262144,0.20203892199788243,0.06143640211639732,1.1733945061521482,0.23780791611618107
0.01,BitFlip,3,262144,0.07959238799958257,0.23579675534295602,1.2012165460199087,0.2500000000000004
0.01,BitFlip,4,262144,0.07459915400249884,0.16327763410051221,1.1938934254324753,0.24999999999999817
0.01,BitFlip,5,262144,0.08560281799873337,0.11342749976902813,1.1868177633671273,0.2500000000000013
0.01,BitFlip,6,262144,0.10661901099956594,0.07811239558108543,1.179982356591644,0.24999999999999986
0.01,BitFlip,7,262144,0.19621060699864756,0.05439052990830012,1.1733801475811876,0.25000000000000194
0.1,Depol,3,262144,0.0689568980014883,0.13998011069120928,1.0342170588486608,0.22447725267894
0.1,Depol,4,262144,0.07560038499650545,0.08668233050586296,1.0086521023861383,0.20808161115825327
0.1,Depol,5,262144,0.08937370799685596,0.05347562389363376,0.988314598717138,0.19390185873540733
0.1,Depol,6,262144,0.12489648799964925,0.03225571630404599,0.9727213044802042,0.18090469216535865
0.1,Depol,7,262144,0.28713767800218193,0.020127613817038592,0.9610476223913426,0.16882803883111921
0.1,AmpDamp,3,262144,0.07305273800011491,0.1983890467340222,1.1063441093340145,0.26669876706579887
0.1,AmpDamp,4,262144,0.07385344099748181,0.1278918491071476,1.08342407904937,0.2565882414025846
0.1,AmpDamp,5,262144,0.08267059600620996,0.08420806114645575,1.0632658928740197,0.24860945746124208
0.1,AmpDamp,6,262144,0.11824190999323037,0.05608233721511399,1.0456393112141555,0.24165141948697355
0.1,AmpDamp,7,262144,0.19387316999927862,0.038578281460257796,1.0302123325209394,0.23524639154469631
0.1,Phase,3,262144,0.06768501300393837,0.19898346679374088,1.0092420760279988,0.22872792206135786
0.1,Phase,4,262144,0.07416058499802602,0.14268368035209092,0.9903764549868441,0.20346448401217368
0.1,Phase,5,262144,0.08460155699867755,0.10006550412066052,0.9758200639467074,0.1826144410352653
0.1,Phase,6,262144,0.10726337200321723,0.07079550645351257,0.9652576792201087,0.16424148951878093
0.1,Phase,7,262144,0.20154003600327997,0.04976424071995077,0.9579988763197418,0.14779235103460453
0.1,BitFlip,3,262144,0.09111742000095546,0.12633941330334544,1.0635186881291738,0.2500000000000002
0.1,BitFlip,4,262144,0.0793362199983676,0.07224099401574861,1.041098496781162,0.24999999999999845
0.1,BitFlip,5,262144,0.08552485700056423,0.04048198760124054,1.0264926162423083,0.25000000000000067
0.1,BitFlip,6,262144,0.10972572399623459,0.02313955805358976,1.0170347773641606,0.25
0.1,BitFlip,7,262144,0.19653320100042038,0.013361372387069283,1.0109353256048184,0.2500000000000014
0.5,Depol,3,262144,0.07350070000393316,0.004202224520651206,0.915997603754981,0.15333944603499838
0.5,Depol,4,262144,0.08289890499872854,0.0012546933064439224,0.9382110215919768,0.10021710027601388
0.5,Depol,5,262144,0.09100464700168232,0.0016994123101978938,0.9548865199466144,0.06648583099675814
0.5,Depol,6,262144,0.12109296900598565,0.0018647900896058972,0.9676426979169062,0.044270014229465596
0.5,Depol,7,262144,0.40194979700027034,0.0018756599183861735,0.9771430413510478,0.029504380156565882
