target,init,n_bits,shots,sim_time_s,l2_norm
qpp-cpu,zero,3,4096,0.0016342189992428757,0.01870824615299611
qpp-cpu,zero,4,4096,0.0018328209989704192,0.0190929831992355
qpp-cpu,zero,5,4096,0.0020140810011071153,0.01608736670853083
qpp-cpu,zero,6,4096,0.002171225998608861,0.014640297217348584
qpp-cpu,zero,7,4096,0.0023841989968786947,0.016105881350068987
qpp-cpu,zero,8,4096,0.002930443995865062,0.015689715833066043
qpp-cpu,zero,9,4096,0.003996683997684158,0.015949690401426832
qpp-cpu,zero,10,4096,0.006282891998125706,0.015085441118921296
qpp-cpu,zero,11,4096,0.01161388200125657,0.015886033676755312
qpp-cpu,zero,12,4096,0.020649597005103715,0.015791954715621316
qpp-cpu,zero,13,4096,0.061490273001254536,0.01575038194950128
qpp-cpu,zero,14,4096,0.10133196099923225,0.015720078156255125
qpp-cpu,zero,15,4096,0.24233160000585485,0.01562881423171799
qpp-cpu,zero,16,4096,0.5716258079992258,0.015582981833235301
qpp-cpu,zero,17,4096,1.2800075380000635,0.015563845166512918
qpp-cpu,zero,18,4096,3.38903606000531,0.015617368741913551
qpp-cpu,zero,19,4096,9.25290374999895,0.015613551714179181
qpp-cpu,zero,20,4096,25.10597456299729,0.015613551714179181
qpp-cpu,zero,21,4096,43.073233458002505,0.01563262753279504
qpp-cpu,zero,3,8192,0.002826534997439012,0.009301405371849971
qpp-cpu,zero,4,8192,0.003162449000228662,0.011739077422042292
qpp-cpu,zero,5,8192,0.0033235540031455457,0.008817837552909278
qpp-cpu,zero,6,8192,0.003697751002619043,0.011625555127743287
qpp-cpu,zero,7,8192,0.00415181000425946,0.010945562388408152
qpp-cpu,zero,8,8192,0.004840453002543654,0.010570189526752571
qpp-cpu,zero,9,8192,0.006123033999756444,0.010596940631938822
qpp-cpu,zero,10,8192,0.008975889002613258,0.010648842034943548
qpp-cpu,zero,11,8192,0.015440492999914568,0.010856711520683184
qpp-cpu,zero,12,8192,0.02615237199643161,0.011084898520260246
qpp-cpu,zero,13,8192,0.05296082399581792,0.011134525635733769
qpp-cpu,zero,14,8192,0.14261505100148497,0.011123814208881365
qpp-cpu,zero,15,8192,0.30545121600152925,0.011047194674559342
qpp-cpu,zero,16,8192,0.6336279410024872,0.011066062655300666
qpp-cpu,zero,17,8192,1.4948050129969488,0.01104584572838244
qpp-cpu,zero,18,8192,3.5552774280004087,0.011055284895105077
qpp-cpu,zero,19,8192,7.744066850995296,0.011055284895105077
qpp-cpu,zero,20,8192,17.869830172996444,0.011044496617448751
qpp-cpu,zero,21,8192,43.140523701993516,0.011051240525152613
qpp-cpu,zero,3,16384,0.0063895909988787025,0.010125951321968012
qpp-cpu,zero,4,16384,0.006688271001621615,0.0062792095457088306
qpp-cpu,zero,5,16384,0.007074146997183561,0.006763069886117944
qpp-cpu,zero,6,16384,0.007688461999350693,0.007645734455463671
qpp-cpu,zero,7,16384,0.008581021000281908,0.008913640753676115
qpp-cpu,zero,8,16384,0.009405031996720936,0.008112396588717059
qpp-cpu,zero,9,16384,0.01127875100064557,0.007611551400449168
qpp-cpu,zero,10,16384,0.01603679599793395,0.00786619805607845
qpp-cpu,zero,11,16384,0.021475965004356112,0.007850079752280036
qpp-cpu,zero,12,16384,0.03587490700010676,0.007939733146055509
qpp-cpu,zero,13,16384,0.34652808499959065,0.007798659462541572
qpp-cpu,zero,14,16384,0.15975511400029063,0.0077881433371219414
qpp-cpu,zero,15,16384,0.37398092699731933,0.0077948370584582346
qpp-cpu,zero,16,16384,2.5184583890004433,0.007790056415838372
qpp-cpu,zero,17,16384,1.4478844460027176,0.007810592418479683
qpp-cpu,zero,18,16384,3.4208733640043647,0.00782726799391107
qpp-cpu,zero,19,16384,8.985538048000308,0.007803912211144829
qpp-cpu,zero,20,16384,19.51271657599864,0.007804389558437757
qpp-cpu,zero,21,16384,44.34543515000405,0.0078120231482889935
qpp-cpu,zero,3,32768,0.012310651000007056,0.005379237157190871
qpp-cpu,zero,4,32768,0.012604023999301717,0.006048642494080342
qpp-cpu,zero,5,32768,0.013334305003809277,0.006401421192444773
qpp-cpu,zero,6,32768,0.01464404100261163,0.005235165778252328
qpp-cpu,zero,7,32768,0.01574632900155848,0.005671673626648366
qpp-cpu,zero,8,32768,0.017975013004615903,0.005336302000584569
qpp-cpu,zero,9,32768,0.019643733998236712,0.00568430342291027
qpp-cpu,zero,10,32768,0.02295838999998523,0.005383909714355558
