channel,p,bits,fidelity,fro_norm,l2_pop
Depolarize,0.0,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
Depolarize,0.01,1,0.9949998855590816,0.007071148325984425,0.007071148325984425
Depolarize,0.05,1,0.9749998450279231,0.03535544627055021,0.03535544627055021
Depolarize,0.1,1,0.949999868869781,0.07071076610026787,0.07071076610026787
Depolarize,0.2,1,0.8999999165534969,0.14142140575987278,0.14142140575987278
Depolarize,0.5,1,0.7499999403953549,0.35355341166670334,0.35355341166670334
Depolarize,1.0,1,0.499999940395355,0.7071067811865522,0.7071067811865522
AmpDamp,0.0,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
AmpDamp,0.01,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
AmpDamp,0.05,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
AmpDamp,0.1,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
AmpDamp,0.2,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
AmpDamp,0.5,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
AmpDamp,1.0,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
PhaseFlip,0.0,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
PhaseFlip,0.01,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
PhaseFlip,0.05,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
PhaseFlip,0.1,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
PhaseFlip,0.2,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
PhaseFlip,0.5,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
PhaseFlip,1.0,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
BitFlip,0.0,1,0.99999988079071,1.1920928910669204e-07,1.1920928910669204e-07
BitFlip,0.01,1,0.9899998903274532,0.014142212357553835,0.014142212357553835
BitFlip,0.05,1,0.949999868869781,0.07071076610026787,0.07071076610026787
BitFlip,0.1,1,0.8999999165534969,0.14142140575987278,0.14142140575987278
BitFlip,0.2,1,0.7999998927116391,0.28284276937288005,0.28284276937288005
BitFlip,0.5,1,0.499999940395355,0.7071067811865522,0.7071067811865522
BitFlip,1.0,1,3.749399009691397e-33,1.4142134780794002,1.4142134780794002
Depolarize,0.0,2,0.9999999292194841,7.529715632331339e-08,4.470348355378739e-08
Depolarize,0.01,2,0.9875499457120893,0.014933410183655885,0.005567838296447471
Depolarize,0.05,2,0.9387499280273912,0.07333575888267119,0.027393285472810395
Depolarize,0.1,2,0.8799999132752416,0.14335276448723305,0.05367731194540721
Depolarize,0.2,2,0.7699999436736107,0.27349593526690263,0.10295631032541956
