n_bits,shots,noise,probability,time_sampling,l2_pop,time_density,fro_norm,fidelity
3,16384,none,0.0,0.04518565199941804,0.007238265175963669,0.04518565199941804,2.220446049250313e-16,0.9999999999999993
4,16384,none,0.0,0.03534586200112244,0.005508063560878163,0.03534586200112244,6.661338147750939e-16,0.9999999999999993
5,16384,none,0.0,0.034558023000499816,0.006904800159288868,0.034558023000499816,5.551115123125783e-16,0.999999999999999
6,16384,none,0.0,0.03956704399934097,0.007898807626385146,0.03956704399934097,9.992007221626409e-16,0.9999999999999989
7,16384,none,0.0,0.13367874399955326,0.008251718371059865,0.13367874399955326,8.881784197001252e-16,0.9999999999999991
8,16384,none,0.0,0.3428541180001048,0.008082953745656662,0.3428541180001048,1.2212453270876722e-15,0.9999999999999999
9,16384,none,0.0,0.9220991210004286,0.007912002159716212,0.9220991210004286,1.2212453270876722e-15,1.0000000000000009
10,16384,none,0.0,4.17083251800068,0.007888425010450933,4.17083251800068,1.5543122344752192e-15,0.9999999999999999
3,16384,Depolarizing,0.01,0.28066656200098805,0.009527742334515555,0.28066656200098805,0.02290229770587466,0.9801330370370365
4,16384,Depolarizing,0.01,0.05018581599870231,0.0058708079377007075,0.05018581599870231,0.029458753387026422,0.9735988167901228
5,16384,Depolarizing,0.01,0.04753545300081896,0.00779913713132973,0.04753545300081896,0.03595184978782185,0.9671081580115217
6,16384,Depolarizing,0.01,0.08719477600061509,0.006844106969711981,0.08719477600061509,0.04239122470505953,0.9606607702914447
7,16384,Depolarizing,0.01,0.2562953960004961,0.007893146074378521,0.2562953960004961,0.048781489984935006,0.9542563651561682
8,16384,Depolarizing,0.01,0.8189499870004511,0.007430763944831143,0.8189499870004511,0.05512520890064381,0.9478946560551269
9,16384,Depolarizing,0.01,3.7959654799997224,0.0077083318727509086,3.7959654799997224,0.06142397923205011,0.9415753583480944
10,16384,Depolarizing,0.01,19.6301954319988,0.007624265854310152,19.6301954319988,0.06767889404393773,0.9352981892924386
3,16384,Amplitude Damping,0.01,0.10752176300047722,0.01388814712239052,0.10752176300047722,0.01494716356944015,0.992499984256926
4,16384,Amplitude Damping,0.01,0.04974503300036304,0.008933261933563301,0.04974503300036304,0.017931272397285824,0.9900124999605427
5,16384,Amplitude Damping,0.01,0.051419278999674134,0.00751203683704367,0.051419278999674134,0.02076812763198647,0.9875312499999
6,16384,Amplitude Damping,0.01,0.05777164000028279,0.00905585670327996,0.05777164000028279,0.023509216070974507,0.9850562187499985
7,16384,Amplitude Damping,0.01,0.27468345899978885,0.007755548798052015,0.27468345899978885,0.026182955192394348,0.9825873906249987
8,16384,Amplitude Damping,0.01,0.5083481980000215,0.007701562966834109,0.5083481980000215,0.028806589711618872,0.9801247500781238
9,16384,Amplitude Damping,0.01,2.235395048999635,0.008354462222787438,2.235395048999635,0.03139130343091196,0.9776682816015609
10,16384,Amplitude Damping,0.01,11.383919939999032,0.007930343675947091,11.383919939999032,0.033944718214589026,0.9752179697263659
3,16384,Phase Damping,0.01,0.12257979500100191,0.009772489042785857,0.12257979500100191,0.03421048973633694,0.9702989999999994
4,16384,Phase Damping,0.01,0.06823339900074643,0.006732706168524256,0.06823339900074643,0.04392407229938552,0.9605960099999995
5,16384,Phase Damping,0.01,0.037101190000612405,0.008870909325695392,0.037101190000612405,0.053511136351603344,0.9509900498999992
6,16384,Phase Damping,0.01,0.10487873000056425,0.008256682897014577,0.10487873000056425,0.06298682869989443,0.9414801494009994
7,16384,Phase Damping,0.01,0.24550800799988792,0.00859751185530333,0.24550800799988792,0.07235866442752242,0.9320653479069889
8,16384,Phase Damping,0.01,0.6215821840014542,0.007969237667944074,0.6215821840014542,0.08163104267168635,0.9227446944279187
9,16384,Phase Damping,0.01,2.268776760000037,0.007699627900731496,2.268776760000037,0.0908068901557114,0.9135172474836398
10,16384,Phase Damping,0.01,13.057325661000505,0.007807253029294864,13.057325661000505,0.09988836069000642,0.9043820750088005
3,16384,Bit Flip,0.01,0.1071104929997091,0.006552686165235752,0.1071104929997091,2.220446049250313e-16,0.9999999999999993
4,16384,Bit Flip,0.01,0.030781068999203853,0.007391556501660691,0.030781068999203853,6.661338147750939e-16,0.9999999999999993
5,16384,Bit Flip,0.01,0.05090409500007809,0.008696599544613617,0.05090409500007809,5.551115123125783e-16,0.999999999999999
6,16384,Bit Flip,0.01,0.05592246500054898,0.006979390800255276,0.05592246500054898,9.992007221626409e-16,0.9999999999999989
7,16384,Bit Flip,0.01,0.5722697319997678,0.007594892690577285,0.5722697319997678,8.881784197001252e-16,0.9999999999999991
