n_bits,Probability,noise,sim_time_s,l2_pop,fro_norm,fidelity
3,0.01,none,0.18166166299943143,0.0046314383876441345,2.220446049250313e-16,0.9999999999999993
4,0.01,none,0.12378670900034194,0.007188687433757547,6.661338147750939e-16,0.9999999999999993
5,0.01,none,0.266512046000571,0.009074759905242622,5.551115123125783e-16,0.999999999999999
6,0.01,none,0.049858440999742015,0.008764869453385006,9.992007221626409e-16,0.9999999999999989
7,0.01,none,0.14227086899973074,0.007744493127715772,8.881784197001252e-16,0.9999999999999991
8,0.01,none,0.5013874539999961,0.008394497679176853,1.2212453270876722e-15,0.9999999999999999
9,0.01,none,1.035057534999396,0.007623288572263669,1.2212453270876722e-15,1.0000000000000009
10,0.01,none,6.101319542000056,0.00802699327283867,1.5543122344752192e-15,0.9999999999999999
3,0.01,Depolarizing,0.3249193630008449,0.006653671911577951,0.022902297705874732,0.9801330370370364
4,0.01,Depolarizing,0.39539436500035663,0.006006926154939987,0.029458753387026512,0.9735988167901228
5,0.01,Depolarizing,0.28113238400055707,0.008898582504202928,0.03595184978782185,0.9671081580115217
6,0.01,Depolarizing,0.16803612600051565,0.007407163797010774,0.04239122470505971,0.9606607702914447
7,0.01,Depolarizing,0.5703338760004044,0.008172331642244164,0.048781489984934874,0.9542563651561685
8,0.01,Depolarizing,1.5370590580005228,0.007612040810602411,0.055125208900643825,0.9478946560551269
9,0.01,Depolarizing,4.531659674999901,0.007831550259934298,0.06142397923205024,0.9415753583480944
10,0.01,Depolarizing,23.05116002700015,0.007961754814023598,0.06767889404393772,0.9352981892924386
3,0.01,Amplitude Damping,0.3006426339998143,0.010410744255020912,0.01494716356944015,0.992499984256926
4,0.01,Amplitude Damping,0.1448740949999774,0.009094852708375675,0.017931272397285824,0.9900124999605427
5,0.01,Amplitude Damping,0.21389367699975992,0.009360890897794993,0.02076812763198647,0.9875312499999
6,0.01,Amplitude Damping,0.1238821380002264,0.008537507246246167,0.023509216070974507,0.9850562187499985
7,0.01,Amplitude Damping,0.27474682399952144,0.008945347148711553,0.026182955192394348,0.9825873906249987
8,0.01,Amplitude Damping,0.7529077990002406,0.007554071537379005,0.028806589711618872,0.9801247500781238
