probability,noise_model,n_bits,shots,time_s,L2_pop,Fro_norm,Fidelity
0.0,none,3,8192,0.0029474070033757016,0.009190200305038433,2.220446049250313e-16,0.9999999999999993
0.0,none,4,8192,0.003181906999088824,0.008534452291478777,6.661338147750939e-16,0.9999999999999996
0.0,none,5,8192,0.003604543991968967,0.009873368043892184,5.551115123125783e-16,0.9999999999999992
0.0,none,6,8192,0.0038212630024645478,0.010640442789228956,8.881784197001252e-16,0.9999999999999999
0.0,none,7,8192,0.004344723987742327,0.011295297346317344,8.881784197001252e-16,0.9999999999999999
0.0,none,8,8192,0.005433977989014238,0.011709845656787544,1.3322676295501878e-15,0.9999999999999999
0.0,none,9,8192,0.006410531990695745,0.010224800581724572,1.2212453270876722e-15,0.9999999999999999
0.0,none,10,8192,0.008402349994867109,0.010895074578459316,1.5543122344752192e-15,0.9999999999999999
0.01,Depol,3,8192,0.003555306000635028,0.006202805671832276,0.02290229770587473,0.9801330370370364
0.01,Depol,4,8192,0.005290596003760584,0.008731227901488118,0.029458753387026516,0.9735988167901228
0.01,Depol,5,8192,0.011113884000224061,0.010964605260198056,0.03595184978782197,0.9671081580115217
0.01,Depol,6,8192,0.04876039498776663,0.011142552448480494,0.04239122470505982,0.9606607702914443
0.01,Depol,7,8192,0.15694636000262108,0.01125697449550635,0.04878148998493499,0.9542563651561684
0.01,Depol,8,8192,0.7137604890012881,0.011554843326366438,0.055125208900643805,0.9478946560551273
0.01,Depol,9,8192,3.8861268920009024,0.01114522676807942,0.06142397923205005,0.941575358348093
0.01,Depol,10,8192,17.594226161003462,0.011064716009399083,0.06767889404393777,0.9352981892924388
0.01,AmpDamp,3,8192,0.002897288999520242,0.010767127476171848,0.014947163569440152,0.992499984256926
0.01,AmpDamp,4,8192,0.0039652279956499115,0.014833426650250255,0.017931272397285824,0.9900124999605426
0.01,AmpDamp,5,8192,0.006344554014503956,0.010775427973981401,0.02076812763198648,0.9875312499999
0.01,AmpDamp,6,8192,0.019765475008171052,0.0106516403117058,0.023509216070974503,0.9850562187499986
0.01,AmpDamp,7,8192,0.1714345889922697,0.01197285140160081,0.02618295519239435,0.9825873906249989
0.01,AmpDamp,8,8192,1.2786065710097319,0.0112622681588582,0.02880658971161887,0.9801247500781238
0.01,AmpDamp,9,8192,2.7072459010087186,0.011154581837461588,0.03139130343091194,0.9776682816015607
0.01,AmpDamp,10,8192,10.56344025299768,0.011405574830857497,0.03394471821458904,0.9752179697263657
0.01,Phase,3,8192,0.002976978008518927,0.01235988286996791,0.03421048973633694,0.9702989999999994
0.01,Phase,4,8192,0.00387124800181482,0.011921714451660003,0.04392407229938552,0.9605960099999995
0.01,Phase,5,8192,0.00629285498871468,0.009062847262339153,0.05351113635160335,0.9509900498999992
0.01,Phase,6,8192,0.01959438000631053,0.011055284895105077,0.0629868286998943,0.9414801494009992
0.01,Phase,7,8192,0.09228424899629317,0.011020184378215203,0.07235866442752241,0.9320653479069898
0.01,Phase,8,8192,0.4734295449889032,0.011287379155826983,0.0816310426716863,0.9227446944279196
0.01,Phase,9,8192,2.074173941000481,0.011274169813494939,0.09080689015571136,0.9135172474836407
0.01,Phase,10,8192,11.489037692008424,0.010997173466362508,0.09988836069000642,0.9043820750088045
0.01,BitFlip,3,8192,0.0029866339900763705,0.012057185766470455,2.220446049250313e-16,0.9999999999999993
0.01,BitFlip,4,8192,0.0037100589979672804,0.013694744056964577,6.661338147750939e-16,0.9999999999999996
0.01,BitFlip,5,8192,0.006169050000607967,0.01089097071445091,5.551115123125783e-16,0.9999999999999992
0.01,BitFlip,6,8192,0.03388676900067367,0.011479802681160885,9.992007221626409e-16,0.9999999999999999
0.01,BitFlip,7,8192,0.12045049000880681,0.011857797309161026,8.881784197001252e-16,0.9999999999999999
0.01,BitFlip,8,8192,0.5131474090012489,0.011059327786041137,1.2212453270876722e-15,0.9999999999999999
0.01,BitFlip,9,8192,2.165543994997279,0.011231795522850042,1.2212453270876722e-15,0.9999999999999999
0.01,BitFlip,10,8192,10.857914549997076,0.011367623756662906,1.5543122344752192e-15,0.9999999999999999
0.1,Depol,3,8192,0.003077752990066074,0.00852746542801415,0.21242564098819547,0.8130370370370361
0.1,Depol,4,8192,0.004030975003843196,0.011435584402959345,0.26458011740230136,0.7588345679012336
0.1,Depol,5,8192,0.009017365999170579,0.011631962157784762,0.31312632185690187,0.7082455967078177
0.1,Depol,6,8192,0.037229346999083646,0.012113902568413357,0.358398219819515,0.6610292235939633
0.1,Depol,7,8192,0.15627772299922071,0.010875909964539182,0.4006536277889857,0.6169606086876999
0.1,Depol,8,8192,0.7173106330010341,0.010650241265228143,0.44011170338567257,0.5758299014418529
0.1,Depol,9,8192,4.192001425995841,0.01138465195182035,0.476967224215434,0.5374412413457297
0.1,Depol,10,8192,17.924871009003255,0.011353195335533615,0.5113971325745746,0.5016118252560137
0.1,AmpDamp,3,8192,0.0029626629984704778,0.06655485691371849,0.14497468537903122,0.9249831077996247
0.1,AmpDamp,4,8192,0.005881498989765532,0.050383846802933764,0.17114458062413784,0.9012495665739931
0.1,AmpDamp,5,8192,0.00631346000591293,0.03944930256370905,0.19521549845969802,0.8781249888790026
0.1,AmpDamp,6,8192,0.024262888997327536,0.03227830836140314,0.21777376123102804,0.8555937497146526
0.1,AmpDamp,7,8192,0.09678802499547601,0.025893872809573486,0.23915283722278574,0.8336406249926778
0.1,AmpDamp,8,8192,1.0460229830059689,0.02031728248048857,0.2595618947539742,0.812250781249811
0.1,AmpDamp,9,8192,3.075822705999599,0.01776783613873272,0.27914168655192106,0.7914097656249934
0.1,AmpDamp,10,8192,11.071656961998087,0.01551109759610403,0.29799217720368526,0.7711034960937478
0.1,Phase,3,8192,0.0030286700057331473,0.008579728218166787,0.30556177771442583,0.7289999999999992
0.1,Phase,4,8192,0.004232521998346783,0.008935346757492725,0.37406117146798407,0.6560999999999992
0.1,Phase,5,8192,0.0070556600112468,0.010179522333686223,0.43561432850630677,0.5904899999999991
0.1,Phase,6,8192,0.020005533006042242,0.011066062655300666,0.491044469904712,0.5314409999999993
0.1,Phase,7,8192,0.09238211500633042,0.011427763416473096,0.5410098618026117,0.47829689999999925
0.1,Phase,8,8192,0.49461629199504387,0.010067656054939093,0.5860713829095399,0.4304672099999992
0.1,Phase,9,8192,2.053416939001181,0.011024240141480113,0.6267204898594855,0.38742048899999926
0.1,Phase,10,8192,11.417834024992771,0.011219848919019587,0.663393662266917,0.34867844009999915
0.1,BitFlip,3,8192,0.002971419002278708,0.01555426800409812,5.551115123125783e-16,0.999999999999999
0.1,BitFlip,4,8192,0.0037104819930391386,0.009935053686218654,1.1102230246251565e-15,0.9999999999999987
0.1,BitFlip,5,8192,0.006219214992597699,0.010892338840920028,9.992007221626409e-16,0.9999999999999991
0.1,BitFlip,6,8192,0.020468021000851877,0.011563867024209024,1.4432899320127035e-15,0.9999999999999999
0.1,BitFlip,7,8192,0.10059669699694496,0.01177836197078022,1.3322676295501878e-15,0.9999999999999999
0.1,BitFlip,8,8192,0.41945654900337104,0.01107952011212205,1.7763568394002505e-15,0.9999999999999999
0.1,BitFlip,9,8192,2.021063125997898,0.011002592128167723,1.7763568394002505e-15,0.9999999999999999
0.1,BitFlip,10,8192,10.34557777500595,0.01154064897441259,2.3314683517128287e-15,0.9999999999999996
0.5,Depol,3,8192,0.003080731999943964,0.009886941763338177,0.7608384660805233,0.29629629629629617
0.5,Depol,4,8192,0.003997425999841653,0.01001869361752109,0.8367784297694096,0.19753086419753085
0.5,Depol,5,8192,0.008614367005066015,0.012094205152832847,0.8885649463064806,0.13168724279835387
0.5,Depol,6,8192,0.04937172199424822,0.00918857874343692,0.9240228372253856,0.08779149519890259
0.5,Depol,7,8192,0.1671345740032848,0.01151091331457645,0.948303047446829,0.05852766346593509
0.5,Depol,8,8192,0.7489037299965275,0.010934665857694674,0.9649028749080716,0.039018442310623395
0.5,Depol,9,8192,4.050729181995848,0.011763170611959571,0.9762257767891568,0.026012294873748926
0.5,Depol,10,8192,17.86919350401149,0.010918300671385692,0.9839297200844539,0.017341529915832616
0.5,AmpDamp,3,8192,0.002861403991119005,0.34008171256670844,0.6528425855148932,0.6218592167691142
0.5,AmpDamp,4,8192,0.0034312229981878772,0.3055444550424486,0.7242938317665621,0.530790042944955
0.5,AmpDamp,5,8192,0.007052326007396914,0.25661955446466383,0.7789696103502646,0.4530576408488157
0.5,AmpDamp,6,8192,0.09149209299357608,0.20511125569437777,0.8218135723155948,0.3867088854806966
0.5,AmpDamp,7,8192,0.09545855899341404,0.17419318109890056,0.8558869919731728,0.3300766803745943
0.5,AmpDamp,8,8192,0.4785957749991212,0.14060274583840313,0.8832512532834608,0.2817380696895074
0.5,AmpDamp,9,8192,2.5366261079907417,0.11364346178600758,0.9053733108749845,0.24047848464268295
0.5,AmpDamp,10,8192,10.45486230100505,0.08733497452710469,0.9233380336045629,0.2052612259314946
0.5,Phase,3,8192,0.0030495910032186657,0.008743166298569327,0.9354143466934853,0.12499999999999997
0.5,Phase,4,8192,0.003887965009198524,0.009360492926113679,0.9682458365518543,0.0625
0.5,Phase,5,8192,0.0065002119954442605,0.012546548005399998,0.9842509842514763,0.031249999999999997
0.5,Phase,6,8192,0.02624433601158671,0.010372385637816407,0.9921567416492215,0.015625
0.5,Phase,7,8192,0.094612414992298,0.01147331068116131,0.9960860906568266,0.007812499999999999
0.5,Phase,8,8192,0.41449123300844803,0.011534191221696988,0.998044963916957,0.00390625
0.5,Phase,9,8192,2.658852331995149,0.01073941281636854,0.9990229601966112,0.0019531249999999998
0.5,Phase,10,8192,11.356739678012673,0.01136893452331548,0.9995115994824673,0.0009765625
0.5,BitFlip,3,8192,0.0030270819988800213,0.007501118894402937,2.220446049250313e-16,0.9999999999999999
0.5,BitFlip,4,8192,0.004327300994191319,0.01179479719646598,0.0,1.0
0.5,BitFlip,5,8192,0.007190221003838815,0.011835155901895334,2.220446049250313e-16,0.9999999999999999
0.5,BitFlip,6,8192,0.020173340002656914,0.010030585246178779,0.0,1.0
0.5,BitFlip,7,8192,0.09690621300251223,0.01184270784729971,2.220446049250313e-16,0.9999999999999999
0.5,BitFlip,8,8192,0.4364547389996005,0.011125153701234812,0.0,1.0
0.5,BitFlip,9,8192,2.0204617580020567,0.01103369779148112,2.220446049250313e-16,0.9999999999999999
0.5,BitFlip,10,8192,10.435193918005098,0.011052588812905467,0.0,1.0
0.9,Depol,3,8192,0.004381023987662047,0.00908911643993471,1.0062842540753578,0.06399999999999992
0.9,Depol,4,8192,0.004228426012559794,0.010048396302371424,1.0108986892859242,0.02559999999999997
0.9,Depol,5,8192,0.023941368010127917,0.00941129651728339,1.008732077015498,0.010239999999999983
0.9,Depol,6,8192,0.06517564800742548,0.010616608840409618,1.0057726431276643,0.0040959999999999955
0.9,Depol,7,8192,0.7729621729959035,0.010382437097150839,1.003495848035895,0.0016383999999999939
0.9,Depol,8,8192,1.0483242359914584,0.010998528382090728,1.00201559511474,0.0006553599999999982
0.9,Depol,9,8192,3.5865899969940074,0.011554843326366438,1.0011271736815697,0.0002621439999999993
0.9,Depol,10,8192,17.914488667011028,0.010458227534474559,1.0006177271363697,0.00010485759999999945
0.9,AmpDamp,3,8192,0.0026867369888350368,0.7788866153488258,1.1405732577686316,0.2850382593315244
0.9,AmpDamp,4,8192,0.0041385319927940145,0.78189594268195,1.2069027837053563,0.1875876356546303
0.9,AmpDamp,5,8192,0.005681659997208044,0.7534141317926236,1.2439658411655843,0.12345402730503714
0.9,AmpDamp,6,8192,0.021385806001489982,0.7291799998199698,1.2633761482411034,0.08124680928274541
0.9,AmpDamp,7,8192,0.09735755500150844,0.700669578917168,1.2718238963232447,0.05346965313911199
0.9,AmpDamp,8,8192,0.4165144950093236,0.6712869909952104,1.2733796360892917,0.03518912105049427
0.9,AmpDamp,9,8192,2.0108216340013314,0.6395611419514202,1.2705993523659123,0.0231584490941941
