n_bits,shots,noise,probability,time_sampling,l2_pop,time_density,fro_norm,fidelity
3,65536,none,0.0,0.04089953198854346,0.25081580204777953,0.00242808299663011,2.497404505479342e-15,1.0000000000000004
4,65536,none,0.0,0.029013000006671064,0.17646908889545104,0.0015966890059644356,6.6785394297581636e-15,0.9999999999999969
5,65536,none,0.0,0.028792484998120926,0.12447352290992818,0.001966255993465893,1.4892034130546408e-14,0.9999999999999908
6,65536,none,0.0,0.03183949500089511,0.0889040037543488,0.0025992640003096312,1.1455967356184344e-13,1.000000000000085
7,65536,none,0.0,0.06798290000006091,0.06260246207822596,0.003248827997595072,1.3852189133902164e-13,1.0000000000001024
8,65536,none,0.0,0.0437579979916336,0.04432116947323941,0.005303915997501463,1.3039931043402584e-12,1.0000000000009774
9,65536,none,0.0,0.05509580600482877,0.03147616353874516,0.012826377991586924,6.600651850579229e-12,0.9999999999950666
10,65536,none,0.0,0.048708829999668524,0.022521362709945453,0.043587182997725904,2.3420264297560534e-11,0.9999999999824927
11,65536,none,0.0,0.04449458200542722,0.01615397776003822,0.1846902079996653,5.508336555954485e-11,1.0000000000412825
12,65536,none,0.0,0.049128375001600944,0.011800263941215297,0.8037753090029582,3.4331392053931206e-10,0.9999999997429944
3,65536,Depolarizing,0.01,0.026686519995564595,0.20430975088422673,0.011535177007317543,0.12984379632137086,0.8796902110765186
4,65536,Depolarizing,0.01,0.037899226997978985,0.12603966478033513,0.0029584869917016476,0.2230356231279317,0.7872248586434965
5,65536,Depolarizing,0.01,0.03093267499934882,0.07388742742014569,0.0045882580016041175,0.32783121874845633,0.6826813654120594
6,65536,Depolarizing,0.01,0.06096685600641649,0.04338325173856161,0.006583858994417824,0.4362075331066073,0.574022492275583
7,65536,Depolarizing,0.01,0.048003799995058216,0.023538283381717914,0.00836449999769684,0.5410985032047517,0.46831119984551683
8,65536,Depolarizing,0.01,0.04557188300532289,0.012857610154978995,0.012531044005299918,0.6371563567217924,0.37100863016057073
9,65536,Depolarizing,0.01,0.09239058099046815,0.007428632972240961,0.041060559000470676,0.7210069717804519,0.2856744257578703
10,65536,Depolarizing,0.01,0.19655750000674743,0.0048323406931445965,0.1433315290050814,0.791148322362028,0.21401013114747747
11,65536,Depolarizing,0.01,0.6506295159924775,0.00410838468026591,0.6649173210025765,0.8476084439416463,0.15615283123505427
12,65536,Depolarizing,0.01,2.898876327992184,0.0039058923557589442,3.070207903001574,0.8914906480083099,0.11110299715390931
3,65536,AmplitudeDamping,0.01,0.03212230101053137,0.20985289721495692,0.01275631099997554,0.1248483582212464,0.894857802705262
4,65536,AmplitudeDamping,0.01,0.03982315000030212,0.13479739139557903,0.003962745991884731,0.20998217421335483,0.8134333203345449
5,65536,AmplitudeDamping,0.01,0.05616242199903354,0.08656037889646467,0.004233326995745301,0.30497510918804904,0.7206861847156826
6,65536,AmplitudeDamping,0.01,0.038844823007821105,0.05378345016282565,0.006065023000701331,0.40336632369895914,0.6229823638462476
7,65536,AmplitudeDamping,0.01,0.037114699007361196,0.035861069581044236,0.008203532997868024,0.4994855655059153,0.5260854608569355
8,65536,AmplitudeDamping,0.01,0.04215338399808388,0.024050262252885587,0.011723130999598652,0.5889916676662261,0.4346209366492332
