n_bits,shots,noise,probability,time_sampling,l2_pop,time_density,fro_norm,fidelity
3,524288,none,0.0,0.35441459399589803,0.0011490505195780414,0.0019317450060043484,2.8777593299067095e-16,0.9999999999999998
4,524288,none,0.0,0.31260390899842605,0.0014806751244832081,0.002213614003267139,2.172217384091364e-16,1.0
5,524288,none,0.0,0.2930384530045558,0.0012520577956793785,0.002984620994539,2.893194259083379e-16,1.0
6,524288,none,0.0,0.3185758750041714,0.001261598303747216,0.003693898004712537,2.43628310082355e-16,1.0
7,524288,none,0.0,0.35032623598817736,0.0012231087822172752,0.004596968006808311,2.9134834419659634e-16,0.9999999999999986
8,524288,none,0.0,0.4036852899880614,0.001372074542089982,0.02214161099982448,2.9627291917956094e-16,1.0
9,524288,none,0.0,0.3702426569943782,0.0013106386066246297,0.01348659499490168,3.23365438168166e-16,1.0000000000000056
10,524288,none,0.0,0.4277622980007436,0.0013866909915872527,0.04000162000011187,3.1614004236683415e-16,1.0
11,524288,none,0.0,0.45595245600270573,0.0014045133065789766,0.18427709399838932,3.26096423932479e-16,1.0000000000000018
12,524288,none,0.0,0.4326641039951937,0.0013731347101057154,0.6832795480004279,3.3622594716541207e-16,1.0
3,524288,Depolarizing,0.01,0.27801312699739356,0.0013052035611339852,0.01714257001003716,0.09632625706948247,0.912045420156403
4,524288,Depolarizing,0.01,0.2760524070035899,0.0009334089503281936,0.004626280002412386,0.17382036453936897,0.8364901544587344
5,524288,Depolarizing,0.01,0.3177123950008536,0.0013799927688600087,0.006681632992695086,0.2641834416219027,0.7470376919837194
6,524288,Depolarizing,0.01,0.37698614699183963,0.001349812718135562,0.009129072990617715,0.36141807280124644,0.6498023910555082
7,524288,Depolarizing,0.01,0.3961761879909318,0.0014221685630167384,0.012019572997814976,0.45979152150832986,0.5506844197474099
8,524288,Depolarizing,0.01,0.4209638819884276,0.0014119971946026308,0.01946663999115117,0.5543899556921941,0.45481693612766283
9,524288,Depolarizing,0.01,0.5200060019997181,0.001404777482747377,0.042440231001819484,0.6414548390455252,0.366198157177112
10,524288,Depolarizing,0.01,0.5423854980035685,0.0013551735525627637,0.12134624399186578,0.7185081661330199,0.28752680298735234
11,524288,Depolarizing,0.01,0.8435962229996221,0.0014111827928938257,0.5427028690028237,0.7843008689632177,0.22022359176494638
12,524288,Depolarizing,0.01,2.6461178400059,0.001362586688691496,2.6010226990038063,0.8386348202382202,0.16459519183313914
3,524288,AmplitudeDamping,0.01,0.31323800000245683,0.022949910375389754,0.019315547004225664,0.08342068179250034,0.940367179185795
4,524288,AmplitudeDamping,0.01,0.30281540199939627,0.024963823532537805,0.004040867002913728,0.14022210156699863,0.889473999101165
5,524288,AmplitudeDamping,0.01,0.386581237995415,0.024492521130924254,0.006705829000566155,0.20535639547570533,0.8278832236976581
6,524288,AmplitudeDamping,0.01,0.40948478000063915,0.022463375003347108,0.008977068995591253,0.27631920218144895,0.7585137028607416
7,524288,AmplitudeDamping,0.01,0.4219658239890123,0.01961004003823302,0.01171424899075646,0.3504121185818009,0.6843405187680691
8,524288,AmplitudeDamping,0.01,0.49652088299626485,0.016618366449849445,0.024147568008629605,0.42509333018491874,0.6082018585449186
9,524288,AmplitudeDamping,0.01,0.4804972790007014,0.013948412774808319,0.042367374000605196,0.49814584248133437,0.5326452506063902
10,524288,AmplitudeDamping,0.01,0.5517761069932021,0.01156484161025466,0.11840835800103378,0.5677631451120336,0.4598194874026653
11,524288,AmplitudeDamping,0.01,0.9552714720048243,0.009445894104192649,0.5665681649988983,0.6325810097741379,0.3914136664927118
12,524288,AmplitudeDamping,0.01,2.6754832500009798,0.007640142023382505,2.5251977979933145,0.6916700051530114,0.32864003915370427
3,524288,PhaseDamping,0.01,0.5008876099891495,0.0011387047055420594,0.021183320990530774,0.04750919494120869,0.9609781040920415
4,524288,PhaseDamping,0.01,0.6335241479973774,0.0011134865429304984,0.006978803998208605,0.08299037250489089,0.9283362475067756
5,524288,PhaseDamping,0.01,0.6787294859968824,0.001579637073506486,0.0072734330024104565,0.12537478342894456,0.8881937105342039
6,524288,PhaseDamping,0.01,0.7149532939947676,0.0013234635727429767,0.012499816992203705,0.1735336133736937,0.8417137583837062
7,524288,PhaseDamping,0.01,0.6197662979975576,0.0015047252154463705,0.0124028400023235,0.2261952332278519,0.7901676383564086
8,524288,PhaseDamping,0.01,0.42259780199674424,0.0014010615007104194,0.017012476004310884,0.28204980603935365,0.7348789586459723
9,524288,PhaseDamping,0.01,0.4518814140028553,0.0014496050381524917,0.04237547900993377,0.33981146348462155,0.6771700873987945
10,524288,PhaseDamping,0.01,0.527694773991243,0.0013517545411354608,0.13158781999663915,0.39826549904045566,0.6183133833038026
11,524288,PhaseDamping,0.01,0.9160033789958106,0.0013734578984905352,0.5504247130011208,0.4563049573350268,0.5594894805294941
12,524288,PhaseDamping,0.01,2.7898956749995705,0.0013573382243789599,2.549900477999472,0.5129573672204749,0.5017541619129984
3,524288,BitFlip,0.01,0.3512907719996292,0.0016009689530869721,0.023490971987484954,0.1519159075199653,0.8704371397883173
4,524288,BitFlip,0.01,0.42381592400488444,0.0011525437213859783,0.004349722003098577,0.2722511710122389,0.7554710136509637
5,524288,BitFlip,0.01,0.3945506069867406,0.0019470750717633367,0.006497552996734157,0.40187476091646035,0.6269655009340966
6,524288,BitFlip,0.01,0.393467824003892,0.0016048341174605399,0.009455872001126409,0.5274943399617313,0.4990207760624531
7,524288,BitFlip,0.01,0.48746104299789295,0.0014795174376218362,0.013560360996052623,0.6400839522760612,0.38200712746794174
8,524288,BitFlip,0.01,0.49683798200567253,0.0013704004596456045,0.017544356000144035,0.7349426634344105,0.28199609032920026
9,524288,BitFlip,0.01,0.5748239439999452,0.0013940252563500398,0.042478654999285936,0.8108517036350703,0.20123413175691618
10,524288,BitFlip,0.01,0.5760296329972334,0.0013142808548708255,0.13023737800540403,0.868952930650034,0.13914153532501514
11,524288,BitFlip,0.01,0.8933259429904865,0.001391436646544189,0.5555001180036925,0.911700696025595,0.09342611649529847
12,524288,BitFlip,0.01,2.6506774770095944,0.0013894219855692573,2.5182956579956226,0.942046521262153,0.06104501336264328
3,524288,Depolarizing,0.1,0.31443789799232036,0.0008320063746230621,0.01971764500194695,0.623219076867888,0.4221760546833265
4,524288,Depolarizing,0.1,0.32700342099997215,0.0014458281372082124,0.007628469000337645,0.8242196502071266,0.206149257140417
5,524288,Depolarizing,0.1,0.37793432400212623,0.0009580397826585265,0.0068203559931134805,0.927052871531299,0.08950375083760559
6,524288,Depolarizing,0.1,0.35510382399661466,0.0012517236071097617,0.009728207005537115,0.9715986888902336,0.03669730109919672
7,524288,Depolarizing,0.1,0.41013823699904606,0.0013788903842667061,0.012165574007667601,0.9891086360092656,0.014962316124140777
8,524288,Depolarizing,0.1,0.4350268690031953,0.0014056214775736322,0.01899064300232567,0.995733838849101,0.006267826623814688
9,524288,Depolarizing,0.1,0.4730857829999877,0.0014545231079064124,0.04489521199138835,0.9982598970345132,0.0027301543729423916
10,524288,Depolarizing,0.1,0.5829906029975973,0.0013555976390023047,0.12307518201123457,0.9992577759820248,0.0012341617543593637
11,524288,Depolarizing,0.1,0.9140474739979254,0.0013629817775473578,0.5584610609948868,0.9996704561344147,0.0005746649888968833
12,524288,Depolarizing,0.1,2.813624925998738,0.0013755065212929438,2.5296298910107,0.9998488842288868,0.0002734477238432155
3,524288,AmplitudeDamping,0.1,0.2867070060019614,0.15930999139905308,0.025087079993681982,0.5537292775928218,0.5896381531647995
4,524288,AmplitudeDamping,0.1,0.3101170989975799,0.167730940709005,0.0037975140003254637,0.7388617074026894,0.39095157500166866
5,524288,AmplitudeDamping,0.1,0.33953011500125285,0.1623155367723753,0.007472985002095811,0.8637869011252359,0.2416420229700857
6,524288,AmplitudeDamping,0.1,0.3982516630057944,0.15055646921126922,0.009205847993143834,0.941418108650432,0.14150723214736058
7,524288,AmplitudeDamping,0.1,0.4042810489918338,0.1369060413355883,0.011302975995931774,0.9862713265078964,0.07955113339303348
8,524288,AmplitudeDamping,0.1,0.4430967679945752,0.12264285913659982,0.016685117996530607,1.010414429134099,0.043380796336522955
9,524288,AmplitudeDamping,0.1,0.48157994699431583,0.10879773191098668,0.04312830099661369,1.0223966778977325,0.023132673253562573
10,524288,AmplitudeDamping,0.1,0.7452885450038593,0.09655922898612297,0.16031458199722692,1.027678614191651,0.01213556780393437
11,524288,AmplitudeDamping,0.1,0.8041106470045634,0.0856086953429165,0.664882277007564,1.0294934599652108,0.006291187236249299
12,524288,AmplitudeDamping,0.1,2.630685916999937,0.07597466308193321,3.0771376360062277,1.0296429955334305,0.003233247665853452
3,524288,PhaseDamping,0.1,0.5454486639937386,0.0016318680126877663,0.012202340003568679,0.37309259336936934,0.6851267825845647
4,524288,PhaseDamping,0.1,0.23709774999588262,0.0015944453487604271,0.002991203000419773,0.5478851371659624,0.5064103994008595
5,524288,PhaseDamping,0.1,0.3079473300022073,0.0013672111287799935,0.004920601000776514,0.6909305513152483,0.3513020819857051
6,524288,PhaseDamping,0.1,0.29243702499661595,0.0014368197902374356,0.007104071002686396,0.7983186102683933,0.23077219887064238
7,524288,PhaseDamping,0.1,0.30485878100444097,0.0014075560928473473,0.011786218004999682,0.8736078759995337,0.14471569775719792
8,524288,PhaseDamping,0.1,0.3407185389951337,0.0014101667091729365,0.014982754000811838,0.9235339939039955,0.08725568830014396
9,524288,PhaseDamping,0.1,0.43008606499643065,0.0013695400722614466,0.03381027599971276,0.9551372322821627,0.05090373899062461
