target,init,n_bits,shots,sim_time_s,l2_norm
nvidia,zero,3,4096,0.0018142780027119443,0.007025143832977617
nvidia,zero,4,4096,0.001779637997969985,0.022252986064659846
nvidia,zero,5,4096,0.0017414399990229867,0.015148527399891183
nvidia,zero,6,4096,0.001963090995559469,0.016953276884040254
nvidia,zero,7,4096,0.0020523030034382828,0.017404332930294548
nvidia,zero,8,4096,0.0021615329969790764,0.016253239235442616
nvidia,zero,9,4096,0.002783198004181031,0.014310889540774262
nvidia,zero,10,4096,0.0027627550007309765,0.015018121581279003
nvidia,zero,11,4096,0.003031514999747742,0.01587852787256748
nvidia,zero,12,4096,0.003819962999841664,0.01568591641036036
nvidia,zero,13,4096,0.0044135579955764115,0.015617368741913551
nvidia,zero,14,4096,0.004236063003190793,0.015647871444298894
nvidia,zero,15,4096,0.00467405700328527,0.015647871444298894
nvidia,zero,16,4096,0.006663216001470573,0.015571502655373022
nvidia,zero,17,4096,0.007989280005858745,0.015613551714179181
nvidia,zero,18,4096,0.007969969999976456,0.01564025134574899
nvidia,zero,19,4096,0.00939735699648736,0.015625
nvidia,zero,20,4096,0.010317444000975229,0.015609733753072052
nvidia,zero,21,4096,0.013469619996612892,0.015621184836959366
nvidia,zero,22,4096,0.017051724993507378,0.015621184836959366
nvidia,zero,23,4096,0.028752262005582452,0.01562881423171799
nvidia,zero,24,4096,0.05201750199921662,0.015623092534937653
nvidia,zero,25,4096,0.09964656599913724,0.015627860761062696
nvidia,zero,26,4096,0.19377188799990108,0.015624523155565617
nvidia,zero,27,4096,0.38243873300234554,0.015624761579601881
nvidia,zero,28,4096,0.8174747390003176,0.015624880790255698
nvidia,zero,3,8192,0.002415483999357093,0.005382179610607569
nvidia,zero,4,8192,0.002507127996068448,0.012003925555605002
nvidia,zero,5,8192,0.0026251529998262413,0.01118792894276328
nvidia,zero,6,8192,0.00288005900074495,0.009929052445147829
nvidia,zero,7,8192,0.002937977005785797,0.010523565460084134
nvidia,zero,8,8192,0.0032137189991772175,0.01149277567962873
nvidia,zero,9,8192,0.003429012002015952,0.010648842034943548
nvidia,zero,10,8192,0.0036384740014909767,0.011436887380734092
nvidia,zero,11,8192,0.004521160997683182,0.011199909594715913
nvidia,zero,12,8192,0.004987963999155909,0.0109060106661094
nvidia,zero,13,8192,0.005702038004528731,0.011041797901069442
nvidia,zero,14,8192,0.006394127995008603,0.011113092457754924
nvidia,zero,15,8192,0.007876042000134476,0.011107727701247388
nvidia,zero,16,8192,0.010693320000427775,0.011012068370453038
nvidia,zero,17,8192,0.01123205299518304,0.011032347195014652
nvidia,zero,18,8192,0.01244863500323845,0.011040448295502943
nvidia,zero,19,8192,0.01470410700130742,0.01104584572838244
nvidia,zero,20,8192,0.014691165000840556,0.011051240525152613
nvidia,zero,21,8192,0.016688988005626015,0.011049892072884137
nvidia,zero,22,8192,0.021944230000372045,0.011049892072884137
nvidia,zero,23,8192,0.034055298994644545,0.011043147341697892
nvidia,zero,24,8192,0.056209119997220114,0.011048543456039806
nvidia,zero,25,8192,0.10460334300296381,0.011051240525152613
nvidia,zero,26,8192,0.19952734099933878,0.011047869085882858
nvidia,zero,27,8192,0.3935739949956769,0.011049554934104394
nvidia,zero,28,8192,0.826795654000307,0.011048374867359522
nvidia,zero,3,16384,0.005157199993846007,0.005666745306853105
nvidia,zero,4,16384,0.004472950997296721,0.007780007504457125
nvidia,zero,5,16384,0.005158374995517079,0.007193867723709751
nvidia,zero,6,16384,0.00494469900149852,0.008792876369782448
nvidia,zero,7,16384,0.004845645002205856,0.007369852953185342
nvidia,zero,8,16384,0.005004227001336403,0.007850554292389417
nvidia,zero,9,16384,0.005448637995868921,0.007624265854310152
nvidia,zero,10,16384,0.0056647829987923615,0.007919532023099899
nvidia,zero,11,16384,0.006008778997056652,0.007833452737858616
nvidia,zero,12,16384,0.006921831998624839,0.007765629359652794
nvidia,zero,13,16384,0.009750256002007518,0.007949111525353698
nvidia,zero,14,16384,0.010385205001512077,0.0077905346121136965
nvidia,zero,15,16384,0.01081706600234611,0.007828219811023352
nvidia,zero,16,16384,0.017427633996703662,0.007799614770864203
nvidia,zero,17,16384,0.021424125996418297,0.007802479994044496
nvidia,zero,18,16384,0.020025617006467655,0.007819649286186297
nvidia,zero,19,16384,0.021005685004638508,0.007815837147368058
nvidia,zero,20,16384,0.023450685999705456,0.00781631376639752
nvidia,zero,21,16384,0.028098943999793846,0.007817743449139667
nvidia,zero,22,16384,0.029314925996004604,0.007807730172337589
nvidia,zero,23,16384,0.040773597997031175,0.00781726691727801
nvidia,zero,24,16384,0.06800033299805364,0.0078110693575341675
nvidia,zero,25,16384,0.11692391600081464,0.007812976822607176
nvidia,zero,26,16384,0.21122133099561324,0.0078125
nvidia,zero,27,16384,0.40011574199888855,0.0078125
nvidia,zero,28,16384,0.8360040600018692,0.007812261577782809
nvidia,zero,3,32768,0.008501807998982258,0.006064941583149251
nvidia,zero,4,32768,0.00837253499776125,0.005202687700470236
nvidia,zero,5,32768,0.0085270780036808,0.005234809971287004
nvidia,zero,6,32768,0.008630519994767383,0.004450965491578255
nvidia,zero,7,32768,0.008930142997996882,0.005350419917962568
nvidia,zero,8,32768,0.008942018997913692,0.005413580957000632
nvidia,zero,9,32768,0.010194704002060462,0.005500110896032913
nvidia,zero,10,32768,0.010476993003976531,0.005361722226414811
nvidia,zero,11,32768,0.011027626002032775,0.005418911401529465
nvidia,zero,12,32768,0.011409418999392074,0.005521911000089622
nvidia,zero,13,32768,0.013325480998901185,0.005551683463988617
nvidia,zero,14,32768,0.01659905999986222,0.0055109372304727585
nvidia,zero,15,32768,0.019047903995669913,0.005499772229680199
nvidia,zero,16,32768,0.03324559999600751,0.005520898950534721
nvidia,zero,17,32768,0.03641636399697745,0.005532526343119598
nvidia,zero,18,32768,0.03807039099774556,0.005524103138053341
nvidia,zero,19,32768,0.041137812004308216,0.005524946036442068
nvidia,zero,20,32768,0.0422077659968636,0.005517524111323009
nvidia,zero,21,32768,0.04317128199909348,0.00552612587819365
nvidia,zero,22,32768,0.048340517001634,0.005522754233048662
nvidia,zero,23,32768,0.07350465600029565,0.005524271728019903
nvidia,zero,24,32768,0.09433886400074698,0.005525451713755593
nvidia,zero,25,32768,0.14228500600438565,0.005524271728019903
nvidia,zero,26,32768,0.23561292799422517,0.005523934542941429
nvidia,zero,27,32768,0.43071460999635747,0.005524103138053341
nvidia,zero,28,32768,0.8683332680011517,0.005524271728019903
nvidia,zero,3,65536,0.01688534700224409,0.003490562645535387
nvidia,zero,4,65536,0.016624771000351757,0.0036329379111351813
nvidia,zero,5,65536,0.017167591999168508,0.0036451583192008315
nvidia,zero,6,65536,0.017639689998759422,0.0040381340937297285
nvidia,zero,7,65536,0.01769676900585182,0.003996288216521204
nvidia,zero,8,65536,0.017908098998304922,0.003667382576349164
nvidia,zero,9,65536,0.018452367999998387,0.003912324949924966
nvidia,zero,10,65536,0.018624249001732096,0.0038675537321282557
nvidia,zero,11,65536,0.019566500996006653,0.0038957454583088253
nvidia,zero,12,65536,0.021538742999837268,0.003937358959638968
nvidia,zero,13,65536,0.023886262999440078,0.003876152916873147
nvidia,zero,14,65536,0.025974399999540765,0.003914407318977058
nvidia,zero,15,65536,0.030507695002597757,0.003895147758822605
nvidia,zero,16,65536,0.07025067799986573,0.003908931288783272
nvidia,zero,17,65536,0.07469044699973892,0.0039038054446553024
nvidia,zero,18,65536,0.08070172300358536,0.00390958643523701
nvidia,zero,19,65536,0.08193401499738684,0.003909169536561196
nvidia,zero,20,65536,0.08967690900317393,0.003907918573684029
nvidia,zero,21,65536,0.08998596600577002,0.00390708437591541
nvidia,zero,22,65536,0.09558484199806117,0.003907680249636014
nvidia,zero,23,65536,0.10803298599785194,0.003906905596077334
nvidia,zero,24,65536,0.15115868100110674,0.0039061903949004703
nvidia,zero,25,65536,0.19301754600019194,0.003905951965406572
nvidia,zero,26,65536,0.2925943640002515,0.0039060711819727603
nvidia,zero,27,65536,0.48138032499991823,0.00390625
nvidia,zero,28,65536,0.9218750200016075,0.0039061903949004703
nvidia,zero,3,131072,0.03454657499969471,0.002359790351762122
nvidia,zero,4,131072,0.03475579200312495,0.002698455477667354
nvidia,zero,5,131072,0.034437061003700364,0.003104460540590982
nvidia,zero,6,131072,0.03503300900047179,0.003341639967087955
nvidia,zero,7,131072,0.034865718000219204,0.0027594160532138545
nvidia,zero,8,131072,0.03491512299660826,0.0025961474288823077
nvidia,zero,9,131072,0.03496129599807318,0.002810124645898553
nvidia,zero,10,131072,0.03610199700051453,0.002694267505745953
nvidia,zero,11,131072,0.03659832300036214,0.002754306527395273
nvidia,zero,12,131072,0.03801924099388998,0.002765947523815424
nvidia,zero,13,131072,0.03919290300109424,0.002721245784821967
nvidia,zero,14,131072,0.04683657100395067,0.0027589941370538985
nvidia,zero,15,131072,0.05217282699595671,0.0027695017410879937
nvidia,zero,16,131072,0.11382689500169363,0.002758340039465974
nvidia,zero,17,131072,0.1342947310040472,0.0027591629112599355
nvidia,zero,18,131072,0.17940363100206014,0.0027578335347872803
nvidia,zero,19,131072,0.17965520299912896,0.00276131387815633
nvidia,zero,20,131072,0.18608601999585517,0.0027616300555154292
nvidia,zero,21,131072,0.19336556399503024,0.0027608500858645976
nvidia,zero,22,131072,0.2410952010031906,0.002761651132718972
nvidia,zero,23,131072,0.24010200000338955,0.0027620515690266706
nvidia,zero,24,131072,0.27048709300288465,0.002762030494878879
nvidia,zero,25,131072,0.32201083800464403,0.002762009420570292
nvidia,zero,26,131072,0.43187839799793437,0.002762515159604176
nvidia,zero,27,131072,0.6255171089942451,0.0027619461966797176
nvidia,zero,28,131072,1.06184753299749,0.0027622201564207927
nvidia,zero,3,262144,0.07081312499940395,0.002145311943076354
nvidia,zero,4,262144,0.06712743100069929,0.0018271404390552495
nvidia,zero,5,262144,0.06770909899933031,0.0019199564989834997
nvidia,zero,6,262144,0.06809582400455838,0.002340943921660513
nvidia,zero,7,262144,0.06794324300426524,0.0018936043492297635
nvidia,zero,8,262144,0.06758245300443377,0.0018677063235110567
nvidia,zero,9,262144,0.06861288200161653,0.0019849186240876145
nvidia,zero,10,262144,0.06958000900340267,0.001967607389406252
nvidia,zero,11,262144,0.0706371600026614,0.001993200311139573
nvidia,zero,12,262144,0.07428250500379363,0.0019484926961401135
