target,init,shots,n_bits,sim_time_s,l2_error
cudaq-gpu,zero,4096,3,0.0018142780027119,0.0070251438329776
cudaq-gpu,zero,4096,4,0.0017796379979699,0.0222529860646598
cudaq-gpu,zero,4096,5,0.0017414399990229,0.0151485273998911
cudaq-gpu,zero,4096,6,0.0019630909955594,0.0169532768840402
cudaq-gpu,zero,4096,7,0.0020523030034382,0.0174043329302945
cudaq-gpu,zero,4096,8,0.002161532996979,0.0162532392354426
cudaq-gpu,zero,4096,9,0.002783198004181,0.0143108895407742
cudaq-gpu,zero,4096,10,0.0027627550007309,0.015018121581279
cudaq-gpu,zero,4096,11,0.0030315149997477,0.0158785278725674
cudaq-gpu,zero,4096,12,0.0038199629998416,0.0156859164103603
cudaq-gpu,zero,4096,13,0.0044135579955764,0.0156173687419135
cudaq-gpu,zero,4096,14,0.0042360630031907,0.0156478714442988
cudaq-gpu,zero,4096,15,0.0046740570032852,0.0156478714442988
cudaq-gpu,zero,4096,16,0.0066632160014705,0.015571502655373
cudaq-gpu,zero,4096,17,0.0079892800058587,0.0156135517141791
cudaq-gpu,zero,4096,18,0.0079699699999764,0.0156402513457489
cudaq-gpu,zero,4096,19,0.0093973569964873,0.015625
cudaq-gpu,zero,4096,20,0.0103174440009752,0.015609733753072
cudaq-gpu,zero,4096,21,0.0134696199966128,0.0156211848369593
cudaq-gpu,zero,4096,22,0.0170517249935073,0.0156211848369593
cudaq-gpu,zero,4096,23,0.0287522620055824,0.0156288142317179
cudaq-gpu,zero,4096,24,0.0520175019992166,0.0156230925349376
cudaq-gpu,zero,4096,25,0.0996465659991372,0.0156278607610626
cudaq-gpu,zero,4096,26,0.193771887999901,0.0156245231555656
cudaq-gpu,zero,4096,27,0.3824387330023455,0.0156247615796018
cudaq-gpu,zero,4096,28,0.8174747390003176,0.0156248807902556
cudaq-gpu,zero,8192,3,0.002415483999357,0.0053821796106075
cudaq-gpu,zero,8192,4,0.0025071279960684,0.012003925555605
cudaq-gpu,zero,8192,5,0.0026251529998262,0.0111879289427632
cudaq-gpu,zero,8192,6,0.0028800590007449,0.0099290524451478
cudaq-gpu,zero,8192,7,0.0029379770057857,0.0105235654600841
cudaq-gpu,zero,8192,8,0.0032137189991772,0.0114927756796287
cudaq-gpu,zero,8192,9,0.0034290120020159,0.0106488420349435
cudaq-gpu,zero,8192,10,0.0036384740014909,0.011436887380734
cudaq-gpu,zero,8192,11,0.0045211609976831,0.0111999095947159
cudaq-gpu,zero,8192,12,0.0049879639991559,0.0109060106661094
cudaq-gpu,zero,8192,13,0.0057020380045287,0.0110417979010694
cudaq-gpu,zero,8192,14,0.0063941279950086,0.0111130924577549
cudaq-gpu,zero,8192,15,0.0078760420001344,0.0111077277012473
cudaq-gpu,zero,8192,16,0.0106933200004277,0.011012068370453
cudaq-gpu,zero,8192,17,0.011232052995183,0.0110323471950146
cudaq-gpu,zero,8192,18,0.0124486350032384,0.0110404482955029
cudaq-gpu,zero,8192,19,0.0147041070013074,0.0110458457283824
cudaq-gpu,zero,8192,20,0.0146911650008405,0.0110512405251526
cudaq-gpu,zero,8192,21,0.016688988005626,0.0110498920728841
cudaq-gpu,zero,8192,22,0.021944230000372,0.0110498920728841
cudaq-gpu,zero,8192,23,0.0340552989946445,0.0110431473416978
cudaq-gpu,zero,8192,24,0.0562091199972201,0.0110485434560398
cudaq-gpu,zero,8192,25,0.1046033430029638,0.0110512405251526
cudaq-gpu,zero,8192,26,0.1995273409993387,0.0110478690858828
cudaq-gpu,zero,8192,27,0.3935739949956769,0.0110495549341043
cudaq-gpu,zero,8192,28,0.826795654000307,0.0110483748673595
cudaq-gpu,zero,16384,3,0.005157199993846,0.0056667453068531
cudaq-gpu,zero,16384,4,0.0044729509972967,0.0077800075044571
cudaq-gpu,zero,16384,5,0.005158374995517,0.0071938677237097
cudaq-gpu,zero,16384,6,0.0049446990014985,0.0087928763697824
cudaq-gpu,zero,16384,7,0.0048456450022058,0.0073698529531853
cudaq-gpu,zero,16384,8,0.0050042270013364,0.0078505542923894
cudaq-gpu,zero,16384,9,0.0054486379958689,0.0076242658543101
cudaq-gpu,zero,16384,10,0.0056647829987923,0.0079195320230998
cudaq-gpu,zero,16384,11,0.0060087789970566,0.0078334527378586
cudaq-gpu,zero,16384,12,0.0069218319986248,0.0077656293596527
cudaq-gpu,zero,16384,13,0.0097502560020075,0.0079491115253536
cudaq-gpu,zero,16384,14,0.010385205001512,0.0077905346121136
cudaq-gpu,zero,16384,15,0.0108170660023461,0.0078282198110233
cudaq-gpu,zero,16384,16,0.0174276339967036,0.0077996147708642
cudaq-gpu,zero,16384,17,0.0214241259964182,0.0078024799940444
cudaq-gpu,zero,16384,18,0.0200256170064676,0.0078196492861862
cudaq-gpu,zero,16384,19,0.0210056850046385,0.007815837147368
cudaq-gpu,zero,16384,20,0.0234506859997054,0.0078163137663975
cudaq-gpu,zero,16384,21,0.0280989439997938,0.0078177434491396
cudaq-gpu,zero,16384,22,0.0293149259960046,0.0078077301723375
cudaq-gpu,zero,16384,23,0.0407735979970311,0.007817266917278
cudaq-gpu,zero,16384,24,0.0680003329980536,0.0078110693575341
cudaq-gpu,zero,16384,25,0.1169239160008146,0.0078129768226071
cudaq-gpu,zero,16384,26,0.2112213309956132,0.0078125
cudaq-gpu,zero,16384,27,0.4001157419988885,0.0078125
cudaq-gpu,zero,16384,28,0.8360040600018692,0.0078122615777828
cudaq-gpu,zero,32768,3,0.0085018079989822,0.0060649415831492
cudaq-gpu,zero,32768,4,0.0083725349977612,0.0052026877004702
cudaq-gpu,zero,32768,5,0.0085270780036808,0.005234809971287
cudaq-gpu,zero,32768,6,0.0086305199947673,0.0044509654915782
cudaq-gpu,zero,32768,7,0.0089301429979968,0.0053504199179625
cudaq-gpu,zero,32768,8,0.0089420189979136,0.0054135809570006
cudaq-gpu,zero,32768,9,0.0101947040020604,0.0055001108960329
cudaq-gpu,zero,32768,10,0.0104769930039765,0.0053617222264148
cudaq-gpu,zero,32768,11,0.0110276260020327,0.0054189114015294
cudaq-gpu,zero,32768,12,0.011409418999392,0.0055219110000896
cudaq-gpu,zero,32768,13,0.0133254809989011,0.0055516834639886
cudaq-gpu,zero,32768,14,0.0165990599998622,0.0055109372304727
cudaq-gpu,zero,32768,15,0.0190479039956699,0.0054997722296801
cudaq-gpu,zero,32768,16,0.0332455999960075,0.0055208989505347
cudaq-gpu,zero,32768,17,0.0364163639969774,0.0055325263431195
cudaq-gpu,zero,32768,18,0.0380703909977455,0.0055241031380533
cudaq-gpu,zero,32768,19,0.0411378120043082,0.005524946036442
cudaq-gpu,zero,32768,20,0.0422077659968636,0.005517524111323
cudaq-gpu,zero,32768,21,0.0431712819990934,0.0055261258781936
cudaq-gpu,zero,32768,22,0.048340517001634,0.0055227542330486
cudaq-gpu,zero,32768,23,0.0735046560002956,0.0055242717280199
cudaq-gpu,zero,32768,24,0.0943388640007469,0.0055254517137555
cudaq-gpu,zero,32768,25,0.1422850060043856,0.0055242717280199
cudaq-gpu,zero,32768,26,0.2356129279942251,0.0055239345429414
cudaq-gpu,zero,32768,27,0.4307146099963574,0.0055241031380533
cudaq-gpu,zero,32768,28,0.8683332680011517,0.0055242717280199
cudaq-gpu,zero,65536,3,0.016885347002244,0.0034905626455353
cudaq-gpu,zero,65536,4,0.0166247710003517,0.0036329379111351
cudaq-gpu,zero,65536,5,0.0171675919991685,0.0036451583192008
cudaq-gpu,zero,65536,6,0.0176396899987594,0.0040381340937297
cudaq-gpu,zero,65536,7,0.0176967690058518,0.0039962882165212
cudaq-gpu,zero,65536,8,0.0179080989983049,0.0036673825763491
cudaq-gpu,zero,65536,9,0.0184523679999983,0.0039123249499249
cudaq-gpu,zero,65536,10,0.018624249001732,0.0038675537321282
cudaq-gpu,zero,65536,11,0.0195665009960066,0.0038957454583088
cudaq-gpu,zero,65536,12,0.0215387429998372,0.0039373589596389
cudaq-gpu,zero,65536,13,0.02388626299944,0.0038761529168731
cudaq-gpu,zero,65536,14,0.0259743999995407,0.003914407318977
cudaq-gpu,zero,65536,15,0.0305076950025977,0.0038951477588226
cudaq-gpu,zero,65536,16,0.0702506779998657,0.0039089312887832
cudaq-gpu,zero,65536,17,0.0746904469997389,0.0039038054446553
cudaq-gpu,zero,65536,18,0.0807017230035853,0.003909586435237
cudaq-gpu,zero,65536,19,0.0819340149973868,0.0039091695365611
cudaq-gpu,zero,65536,20,0.0896769090031739,0.003907918573684
cudaq-gpu,zero,65536,21,0.08998596600577,0.0039070843759154
cudaq-gpu,zero,65536,22,0.0955848419980611,0.003907680249636
cudaq-gpu,zero,65536,23,0.1080329859978519,0.0039069055960773
cudaq-gpu,zero,65536,24,0.1511586810011067,0.0039061903949004
cudaq-gpu,zero,65536,25,0.1930175460001919,0.0039059519654065
cudaq-gpu,zero,65536,26,0.2925943640002515,0.0039060711819727
cudaq-gpu,zero,65536,27,0.4813803249999182,0.00390625
cudaq-gpu,zero,65536,28,0.9218750200016076,0.0039061903949004
cudaq-gpu,zero,131072,3,0.0345465749996947,0.0023597903517621
cudaq-gpu,zero,131072,4,0.0347557920031249,0.0026984554776673
cudaq-gpu,zero,131072,5,0.0344370610037003,0.0031044605405909
cudaq-gpu,zero,131072,6,0.0350330090004717,0.0033416399670879
cudaq-gpu,zero,131072,7,0.0348657180002192,0.0027594160532138
cudaq-gpu,zero,131072,8,0.0349151229966082,0.0025961474288823
cudaq-gpu,zero,131072,9,0.0349612959980731,0.0028101246458985
cudaq-gpu,zero,131072,10,0.0361019970005145,0.0026942675057459
cudaq-gpu,zero,131072,11,0.0365983230003621,0.0027543065273952
cudaq-gpu,zero,131072,12,0.0380192409938899,0.0027659475238154
cudaq-gpu,zero,131072,13,0.0391929030010942,0.0027212457848219
cudaq-gpu,zero,131072,14,0.0468365710039506,0.0027589941370538
cudaq-gpu,zero,131072,15,0.0521728269959567,0.0027695017410879
cudaq-gpu,zero,131072,16,0.1138268950016936,0.0027583400394659
cudaq-gpu,zero,131072,17,0.1342947310040472,0.0027591629112599
cudaq-gpu,zero,131072,18,0.1794036310020601,0.0027578335347872
cudaq-gpu,zero,131072,19,0.1796552029991289,0.0027613138781563
cudaq-gpu,zero,131072,20,0.1860860199958551,0.0027616300555154
cudaq-gpu,zero,131072,21,0.1933655639950302,0.0027608500858645
cudaq-gpu,zero,131072,22,0.2410952010031906,0.0027616511327189
cudaq-gpu,zero,131072,23,0.2401020000033895,0.0027620515690266
cudaq-gpu,zero,131072,24,0.2704870930028846,0.0027620304948788
cudaq-gpu,zero,131072,25,0.322010838004644,0.0027620094205702
cudaq-gpu,zero,131072,26,0.4318783979979343,0.0027625151596041
cudaq-gpu,zero,131072,27,0.6255171089942451,0.0027619461966797
cudaq-gpu,zero,131072,28,1.06184753299749,0.0027622201564207
cudaq-gpu,zero,262144,3,0.0708131249994039,0.0021453119430763
cudaq-gpu,zero,262144,4,0.0671274310006992,0.0018271404390552
cudaq-gpu,zero,262144,5,0.0677090989993303,0.0019199564989834
cudaq-gpu,zero,262144,6,0.0680958240045583,0.0023409439216605
cudaq-gpu,zero,262144,7,0.0679432430042652,0.0018936043492297
cudaq-gpu,zero,262144,8,0.0675824530044337,0.001867706323511
cudaq-gpu,zero,262144,9,0.0686128820016165,0.0019849186240876
cudaq-gpu,zero,262144,10,0.0695800090034026,0.0019676073894062
cudaq-gpu,zero,262144,11,0.0706371600026614,0.0019932003111395
cudaq-gpu,zero,262144,12,0.0742825050037936,0.0019484926961401
cudaq-gpu,zero,262144,13,0.0772746209986507,0.0019440739242918
cudaq-gpu,zero,262144,14,0.0797365089965751,0.001960769237655
cudaq-gpu,zero,262144,15,0.0883365150002646,0.0019721062526127
cudaq-gpu,zero,262144,16,0.2013460700036375,0.0019536315737866
cudaq-gpu,zero,262144,17,0.2590032959997188,0.0019481715330539
cudaq-gpu,zero,262144,18,0.3139431480012717,0.0019524245198117
cudaq-gpu,zero,262144,19,0.3901681829956942,0.0019546443275026
cudaq-gpu,zero,262144,20,0.4411324999964563,0.0019536539196048
cudaq-gpu,zero,262144,21,0.4566577849982423,0.0019534602473548
cudaq-gpu,zero,262144,22,0.4668645070050843,0.0019527449834199
cudaq-gpu,zero,262144,23,0.4831214229998295,0.0019532218551462
cudaq-gpu,zero,262144,24,0.541117602995655,0.0019524617857244
cudaq-gpu,zero,262144,25,0.6055469030034146,0.0019535272899219
cudaq-gpu,zero,262144,26,0.6955192440000246,0.0019529983360226
cudaq-gpu,zero,262144,27,0.8824238070010324,0.001952953629128
cudaq-gpu,zero,262144,28,1.3744145890013897,0.0019531622525477
cudaq-gpu,zero,524288,3,0.1385717509983806,0.0010079178071265
cudaq-gpu,zero,524288,4,0.138678613002412,0.0011905339538031
cudaq-gpu,zero,524288,5,0.140865526998823,0.0013891548892425
cudaq-gpu,zero,524288,6,0.1418337259965483,0.0014348257493422
cudaq-gpu,zero,524288,7,0.1406533420013147,0.0011556895930158
cudaq-gpu,zero,524288,8,0.1384854759962763,0.0013885602845854
cudaq-gpu,zero,524288,9,0.1403159219989902,0.0013866149081047
cudaq-gpu,zero,524288,10,0.1420806249952875,0.0013791410035948
