probability,noise_model,n_bits,shots,time_s,L2_pop,Fro_norm,Fidelity
0.0,none,3,131072,0.041095320993917994,0.0034603152329213526,2.220446049250313e-16,0.9999999999999993
0.0,none,4,131072,0.04460127498896327,0.0026079140959343705,6.661338147750939e-16,0.9999999999999996
0.0,none,5,131072,0.0473570999893127,0.0026421288336022047,5.551115123125783e-16,0.9999999999999992
0.0,none,6,131072,0.0452677060093265,0.0027400468855956974,8.881784197001252e-16,0.9999999999999999
0.0,none,7,131072,0.050258862000191584,0.0029746812622641295,8.881784197001252e-16,0.9999999999999999
0.0,none,8,131072,0.055825254996307194,0.0028893354155465098,1.3322676295501878e-15,0.9999999999999999
0.0,none,9,131072,0.06547750200843439,0.002769901042456957,1.2212453270876722e-15,0.9999999999999999
0.0,none,10,131072,0.09975360598764382,0.002716343040323323,1.5543122344752192e-15,0.9999999999999999
0.01,Depol,3,131072,0.036828761993092485,0.0017900322114321166,0.02290229770587473,0.9801330370370364
0.01,Depol,4,131072,0.04346561699640006,0.003172433987111815,0.029458753387026516,0.9735988167901228
0.01,Depol,5,131072,0.04757658101152629,0.0021719802223760876,0.03595184978782197,0.9671081580115217
0.01,Depol,6,131072,0.07455732100061141,0.0027603229545784826,0.04239122470505982,0.9606607702914443
0.01,Depol,7,131072,0.20225132700579707,0.0028188315621859366,0.0487814899849349,0.9542563651561684
0.01,Depol,8,131072,0.8032142190058948,0.0031173336346152275,0.055125208900643916,0.9478946560551273
0.01,Depol,9,131072,3.6544320989924017,0.00303646068452948,0.06142397923205019,0.9415753583480928
0.01,Depol,10,131072,17.61771422199672,0.0028011205393223583,0.06767889404393777,0.9352981892924388
0.01,AmpDamp,3,131072,0.04120487699401565,0.005413914263541353,0.014947163569440152,0.992499984256926
0.01,AmpDamp,4,131072,0.045582147999084555,0.0056427612631481175,0.017931272397285824,0.9900124999605426
0.01,AmpDamp,5,131072,0.04550780499994289,0.004335765513024806,0.02076812763198648,0.9875312499999
