probability,noise_model,n_bits,shots,time_s,L2_pop,Fro_norm,Fidelity
0.0,none,3,262144,0.16286087036132812,2.1073424176942392e-08,5.960464455334602e-08,0.9999999403953551
0.0,none,4,262144,0.022686481475830078,2.9802322387695312e-08,1.1920928955078125e-07,0.9999998807907104
0.0,none,5,262144,0.023760557174682617,3.1610136343918214e-08,1.7881393410412727e-07,0.9999998211860656
0.0,none,6,262144,0.027628421783447266,2.9802322387695312e-08,2.384185791015625e-07,0.9999997615814209
0.0,none,7,262144,0.05645465850830078,1.5805068171959107e-08,1.7881393410412727e-07,0.9999998211860656
0.0,none,8,262144,0.07317757606506348,1.4901161193847656e-08,2.384185791015625e-07,0.9999997615814209
0.0,none,9,262144,0.042986154556274414,7.902534085979553e-09,1.7881393410412727e-07,0.9999998211860656
0.0,none,10,262144,0.0810995101928711,1.1175870895385742e-08,3.5762786865234375e-07,0.9999996423721313
0.01,Depol,3,262144,0.001306772232055664,2.1073424176942392e-08,0.017212611717721416,0.9850748330354689
0.01,Depol,4,262144,0.0016210079193115234,2.9802322387695312e-08,0.0221605034450497,0.980149395763874
0.01,Depol,5,262144,0.003068685531616211,3.1610136343918214e-08,0.02706891445606911,0.9752485789358615
0.01,Depol,6,262144,0.006140947341918945,2.9802322387695312e-08,0.031944936608237544,0.970372261479497
0.01,Depol,7,262144,0.028948307037353516,1.5805068171959107e-08,0.03679180276688964,0.9655204424634575
0.01,Depol,8,262144,0.15356087684631348,1.4901161193847656e-08,0.04161155380044963,0.9606927637942135
0.01,Depol,9,262144,1.0789756774902344,7.902534085979553e-09,0.046405065487393184,0.9558893444482236
0.01,Depol,10,262144,7.136399984359741,1.1175870895385742e-08,0.0511734024288915,0.9511097074719146
0.01,BitFlip,3,262144,0.0006477832794189453,2.1073424176942392e-08,5.960464455334602e-08,0.9999999403953551
0.01,BitFlip,4,262144,0.001233816146850586,2.9802322387695312e-08,1.1920928955078125e-07,0.9999998807907104
0.01,BitFlip,5,262144,0.0015397071838378906,3.1610136343918214e-08,1.7881393410412727e-07,0.9999998211860656
0.01,BitFlip,6,262144,0.003902435302734375,2.9802322387695312e-08,2.384185791015625e-07,0.9999997615814209
0.01,BitFlip,7,262144,0.013705253601074219,1.5805068171959107e-08,1.7881393410412727e-07,0.9999998211860656
0.01,BitFlip,8,262144,0.09381604194641113,1.4901161193847656e-08,2.384185791015625e-07,0.9999997615814209
0.01,BitFlip,9,262144,0.4888293743133545,7.902534085979553e-09,1.7881393410412727e-07,0.9999998211860656
0.01,BitFlip,10,262144,3.4088997840881348,1.1175870895385742e-08,3.5762786865234375e-07,0.9999996423721313
0.01,PhaseFlip,3,262144,0.0007343292236328125,2.1073424176942392e-08,0.034210537036673705,0.970298945903778
0.01,PhaseFlip,4,262144,0.0008862018585205078,2.9802322387695312e-08,0.04392417071499349,0.9605958983302116
0.01,PhaseFlip,5,262144,0.0015871524810791016,3.1610136343918214e-08,0.05351129131174866,0.9509898796677588
0.01,PhaseFlip,6,262144,0.003192901611328125,2.9802322387695312e-08,0.06298704574456293,0.9414799176156521
0.01,PhaseFlip,7,262144,0.014429807662963867,1.5805068171959107e-08,0.07235883609811841,0.9320651702582835
0.01,PhaseFlip,8,262144,0.0814521312713623,1.4901161193847656e-08,0.0816312827572234,0.922744448762387
0.01,PhaseFlip,9,262144,0.4903097152709961,7.902534085979553e-09,0.09080708605083991,0.9135170513764023
0.01,PhaseFlip,10,262144,3.558072328567505,1.1175870895385742e-08,0.09988873852541562,0.9043816899647936
0.01,AmpDamp,3,262144,0.0007116794586181641,0.0061240292936922585,0.014947189614844182,0.9924999428912995
0.01,AmpDamp,4,262144,0.0013442039489746094,0.0050003693244656,0.01793132353559408,0.990012378199026
0.01,AmpDamp,5,262144,0.002743244171142578,0.003953241592055196,0.020768217903144252,0.9875310875941067
0.01,AmpDamp,6,262144,0.0031890869140625,0.0030622430704574316,0.023509354245350084,0.9850559745973442
0.01,AmpDamp,7,262144,0.016017436981201172,0.002338886006967689,0.026183056362988674,0.982587229591445
0.01,AmpDamp,8,262144,0.1530473232269287,0.0017680761556176496,0.028806742569719962,0.9801245067019408
0.01,AmpDamp,9,262144,0.4860575199127197,0.001326090712918724,0.03139141365095279,0.9776681191478926
0.01,AmpDamp,10,262144,3.658442258834839,0.0009884336880721463,0.033944969206052264,0.9752176042554765
0.1,Depol,3,262144,0.0011696815490722656,8.429369694328344e-08,0.1626887829386462,0.8573749065399169
0.1,Depol,4,262144,0.0024261474609375,8.940696716308594e-08,0.2044247857050564,0.8145060986280441
0.1,Depol,5,262144,0.0030965805053710938,8.429369698253576e-08,0.243954848901052,0.773780733346939
0.1,Depol,6,262144,0.007929801940917969,7.450580596923828e-08,0.2814602928056516,0.7350916508585215
0.1,Depol,7,262144,0.025727033615112305,5.2683560618991385e-08,0.31707370246950767,0.698337114881724
0.1,Depol,8,262144,0.2835426330566406,3.725290298461914e-08,0.35090529757748334,0.6634202152490616
0.1,Depol,9,262144,1.4048972129821777,2.6341780309495692e-08,0.3830520916160733,0.6302492402028291
0.1,Depol,10,262144,6.8218934535980225,1.862645149230957e-08,0.41360284050801605,0.598736667598132
0.1,BitFlip,3,262144,0.0007190704345703125,7.850462293418876e-17,2.220446049250313e-16,0.9999999999999999
0.1,BitFlip,4,262144,0.0008893013000488281,2.9802322387695312e-08,1.1920928955078125e-07,0.9999998807907104
0.1,BitFlip,5,262144,0.0015916824340820312,3.1610136343918214e-08,1.7881393410412727e-07,0.9999998211860656
0.1,BitFlip,6,262144,0.0033597946166992188,2.9802322387695312e-08,2.384185791015625e-07,0.9999997615814209
0.1,BitFlip,7,262144,0.042397499084472656,1.5805068171959107e-08,1.7881393410412727e-07,0.9999998211860656
0.1,BitFlip,8,262144,0.1533646583557129,1.4901161193847656e-08,2.384185791015625e-07,0.9999997615814209
0.1,BitFlip,9,262144,0.8278965950012207,7.902534085979553e-09,1.7881393410412727e-07,0.9999998211860656
0.1,BitFlip,10,262144,3.46183180809021,1.1175870895385742e-08,3.5762786865234375e-07,0.9999996423721313
0.1,PhaseFlip,3,262144,0.0006914138793945312,7.850462293418876e-17,0.3055618027827188,0.7289999723434447
0.1,PhaseFlip,4,262144,0.0008921623229980469,2.9802322387695312e-08,0.37406119847368996,0.6560999639332294
0.1,PhaseFlip,5,262144,0.0016946792602539062,3.1610136343918214e-08,0.4356144129088893,0.5904899071902036
0.1,PhaseFlip,6,262144,0.004117727279663086,2.9802322387695312e-08,0.49104458473832574,0.5314408708363771
0.1,PhaseFlip,7,262144,0.012089252471923828,1.5805068171959107e-08,0.5410099414658068,0.47829681448638434
0.1,PhaseFlip,8,262144,0.07247114181518555,1.4901161193847656e-08,0.5860714711205383,0.430467109545134
0.1,PhaseFlip,9,262144,0.5763027667999268,7.902534085979553e-09,0.6267205540260165,0.38742041855584824
0.1,PhaseFlip,10,262144,3.7226860523223877,1.1175870895385742e-08,0.6633937274214373,0.34867836197372526
0.1,AmpDamp,3,262144,0.0006864070892333984,0.0615436717310183,0.14497468335824631,0.9249830758199094
0.1,AmpDamp,4,262144,0.0012927055358886719,0.050376084455110555,0.1711446175773764,0.9012494992930442
0.1,AmpDamp,5,262144,0.0016710758209228516,0.03992572217601578,0.1952155664604208,0.8781248352024703
0.1,AmpDamp,6,262144,0.0031702518463134766,0.031004062840736132,0.21777385649658643,0.855593565327581
0.1,AmpDamp,7,262144,0.013381242752075195,0.02373935907459655,0.23915290963361882,0.8336404833207779
0.1,AmpDamp,8,262144,0.08135199546813965,0.01799052119974459,0.25956199331213886,0.8122506101581166
0.1,AmpDamp,9,262144,0.5437140464782715,0.013526971431322381,0.27914176063399987,0.7914096352344584
0.1,AmpDamp,10,262144,3.7428641319274902,0.010107916863778404,0.2979923426941513,0.7711032283195891
0.5,Depol,3,262144,0.0011713504791259766,2.1073424176942392e-08,0.632764298242742,0.42187496647238726
0.5,Depol,4,262144,0.0015888214111328125,1.4901161193847656e-08,0.7209545194313903,0.3164062248542905
0.5,Depol,5,262144,0.002919435501098633,1.0536712088471196e-08,0.7878820222900283,0.23730466846609485
0.5,Depol,6,262144,0.00664520263671875,7.450580596923828e-09,0.8388370720067388,0.17797850143688265
0.5,Depol,7,262144,0.027040481567382812,5.268356044235598e-09,0.8776589004028186,0.13348387609948983
0.5,Depol,8,262144,0.20770263671875,3.725290298461914e-09,0.9072250254895604,0.10011290708007436
0.5,Depol,9,262144,0.9847111701965332,2.634178022117799e-09,0.9297217608101113,0.07508468031142
0.5,Depol,10,262144,7.267832279205322,1.30385160446167e-08,0.9468199168691745,0.05631349233249239
0.5,BitFlip,3,262144,0.0007092952728271484,2.1073424176942392e-08,5.960464455334602e-08,0.9999999403953551
0.5,BitFlip,4,262144,0.0008828639984130859,2.9802322387695312e-08,1.1920928955078125e-07,0.9999998807907104
0.5,BitFlip,5,262144,0.0016407966613769531,3.1610136343918214e-08,1.7881393410412727e-07,0.9999998211860656
0.5,BitFlip,6,262144,0.005551576614379883,2.9802322387695312e-08,2.384185791015625e-07,0.9999997615814209
0.5,BitFlip,7,262144,0.012747049331665039,1.5805068171959107e-08,1.7881393410412727e-07,0.9999998211860656
0.5,BitFlip,8,262144,0.06659364700317383,1.4901161193847656e-08,2.384185791015625e-07,0.9999997615814209
0.5,BitFlip,9,262144,0.46323084831237793,7.902534085979553e-09,1.7881393410412727e-07,0.9999998211860656
0.5,BitFlip,10,262144,3.57243013381958,1.1175870895385742e-08,3.5762786865234375e-07,0.9999996423721313
0.5,PhaseFlip,3,262144,0.0007348060607910156,2.1073424176942392e-08,0.9354143466934856,0.12499999254941933
0.5,PhaseFlip,4,262144,0.0009019374847412109,2.9802322387695312e-08,0.9682458365518547,0.06249999254941939
0.5,PhaseFlip,5,262144,0.0015063285827636719,3.1610136343918214e-08,0.9842509842514771,0.031249994412064528
0.5,PhaseFlip,6,262144,0.0030515193939208984,2.9802322387695312e-08,0.9921567416492216,0.015624996274709702
0.5,PhaseFlip,7,262144,0.013106346130371094,1.5805068171959107e-08,0.9960860906568267,0.007812498603016128
0.5,PhaseFlip,8,262144,0.0779256820678711,1.4901161193847656e-08,0.998044963916957,0.0039062490686774254
0.5,PhaseFlip,9,262144,0.4776942729949951,7.902534085979553e-09,0.9990229601966113,0.0019531246507540317
0.5,PhaseFlip,10,262144,3.4586360454559326,1.1175870895385742e-08,0.9995115994824673,0.0009765621507540343
0.5,AmpDamp,3,262144,0.0006945133209228516,0.3451674813227909,0.6528425712737193,0.6218591606011612
0.5,AmpDamp,4,262144,0.0009171962738037109,0.30014639083221045,0.7242938085257575,0.5307899713225197
0.5,AmpDamp,5,262144,0.0015444755554199219,0.25321415365722916,0.778969591875481,0.4530575637345463
0.5,AmpDamp,6,262144,0.0046634674072265625,0.20971320773640648,0.8218135587652278,0.38670878363973316
0.5,AmpDamp,7,262144,0.014324665069580078,0.17158202475967177,0.855886978593885,0.33007662330808774
0.5,AmpDamp,8,262144,0.07007074356079102,0.13920059605794438,0.8832512402882939,0.2817379949858463
0.5,AmpDamp,9,262144,0.5640180110931396,0.11224430891307093,0.9053733007917688,0.2404784429844792
0.5,AmpDamp,10,262144,3.882122039794922,0.09010206001991675,0.9233380152048178,0.20526115820296564
0.9,Depol,3,262144,0.001283407211303711,4.2146848432389406e-08,0.8922094061254762,0.16637498546333515
0.9,Depol,4,262144,0.0016837120056152344,2.9802322387695312e-08,0.9391619888243149,0.09150624765516113
0.9,Depol,5,262144,0.002980470657348633,3.1610136343918214e-08,0.9654984196271674,0.050328426844714606
0.9,Depol,6,262144,0.008282899856567383,2.2351741790771484e-08,0.9804208154123519,0.02768063552579747
0.9,Depol,7,262144,0.027985095977783203,1.5805068171959107e-08,0.9889020963747072,0.01522434905679487
0.9,Depol,8,262144,0.17226862907409668,1.1175870895385742e-08,0.9937218539499308,0.00837339222041994
0.9,Depol,9,262144,1.3519597053527832,7.902534085979553e-09,0.9964564075134841,0.004605365586300076
0.9,Depol,10,262144,7.152484178543091,1.30385160446167e-08,0.9980044240854172,0.0025329505794441853
0.9,BitFlip,3,262144,0.0007004737854003906,2.1073424176942392e-08,5.960464455334602e-08,0.9999999403953551
0.9,BitFlip,4,262144,0.0009028911590576172,2.9802322387695312e-08,1.1920928955078125e-07,0.9999998807907104
0.9,BitFlip,5,262144,0.0016226768493652344,3.1610136343918214e-08,1.7881393410412727e-07,0.9999998211860656
0.9,BitFlip,6,262144,0.003140687942504883,2.9802322387695312e-08,2.384185791015625e-07,0.9999997615814209
0.9,BitFlip,7,262144,0.012938976287841797,1.5805068171959107e-08,1.7881393410412727e-07,0.9999998211860656
0.9,BitFlip,8,262144,0.10431861877441406,1.4901161193847656e-08,2.384185791015625e-07,0.9999997615814209
0.9,BitFlip,9,262144,0.4894528388977051,7.902534085979553e-09,1.7881393410412727e-07,0.9999998211860656
0.9,BitFlip,10,262144,3.4215211868286133,1.1175870895385742e-08,3.5762786865234375e-07,0.9999996423721313
0.9,PhaseFlip,3,262144,0.0007030963897705078,2.1073424176942392e-08,1.2447360869482642,0.001000009477138521
0.9,PhaseFlip,4,262144,0.0012989044189453125,2.9802322387695312e-08,1.2049571194374453,9.999796748161316e-05
0.9,PhaseFlip,5,262144,0.0016787052154541016,3.1610136343918214e-08,1.1707773900127552,9.999610483648724e-06
0.9,PhaseFlip,6,262144,0.004230499267578125,2.9802322387695312e-08,1.1419301869233214,9.993091225624084e-07
0.9,PhaseFlip,7,262144,0.031563520431518555,1.5805068171959107e-08,1.1177142622770178,1.0081566870315215e-07
0.9,PhaseFlip,8,262144,0.07544898986816406,1.4901161193847656e-08,1.0974579649001768,1.076841726899147e-08
0.9,PhaseFlip,9,262144,0.5581703186035156,7.902534085979553e-09,1.08056442738061,1.833541318710797e-09
0.9,PhaseFlip,10,262144,3.6718738079071045,1.1175870895385742e-08,1.0665120340317449,2.9685907065868378e-09
0.9,AmpDamp,3,262144,0.0006883144378662109,0.7849952165309951,1.140573201662649,0.28503823072605877
0.9,AmpDamp,4,262144,0.0012705326080322266,0.7799370145209519,1.2069026956061684,0.18758761078737507
0.9,AmpDamp,5,262144,0.001703500747680664,0.7588316716512683,1.2439657178292558,0.12345400222054258
0.9,AmpDamp,6,262144,0.004793882369995117,0.7306013077571064,1.2633759978745005,0.08124678798948179
0.9,AmpDamp,7,262144,0.013710260391235352,0.6995695151307186,1.2718237698702572,0.05346964051575688
0.9,AmpDamp,8,262144,0.062001705169677734,0.6678837455064628,1.2733794674069376,0.03518911129508922
0.9,AmpDamp,9,262144,0.5153439044952393,0.636611570691997,1.2705992277347695,0.023158443668249217
0.9,AmpDamp,10,262144,3.8699867725372314,0.6062706764329698,1.2651182060964332,0.015240891399042812
1.0,Depol,3,262144,0.001222848892211914,2.1073424176942392e-08,0.9354143466934856,0.12499999254941938
1.0,Depol,4,262144,0.0015954971313476562,2.9802322387695312e-08,0.9682458365518547,0.0624999925494194
1.0,Depol,5,262144,0.0029611587524414062,3.1610136343918214e-08,0.9842509842514771,0.03124999441206455
1.0,Depol,6,262144,0.008103609085083008,2.9802322387695312e-08,0.9921567416492216,0.015624996274709702
1.0,Depol,7,262144,0.024091482162475586,1.5805068171959107e-08,0.9960860906568267,0.007812498603016137
1.0,Depol,8,262144,0.1678142547607422,1.4901161193847656e-08,0.998044963916957,0.0039062490686774254
1.0,Depol,9,262144,1.192636489868164,7.902534085979553e-09,0.9990229601966113,0.0019531246507540343
1.0,Depol,10,262144,7.110990524291992,1.1175870895385742e-08,0.9995115994824673,0.0009765621507540345
1.0,BitFlip,3,262144,0.0007126331329345703,2.1073424176942392e-08,5.960464455334602e-08,0.9999999403953551
1.0,BitFlip,4,262144,0.0008823871612548828,2.9802322387695312e-08,1.1920928955078125e-07,0.9999998807907104
1.0,BitFlip,5,262144,0.0015666484832763672,3.1610136343918214e-08,1.7881393410412727e-07,0.9999998211860656
1.0,BitFlip,6,262144,0.005503416061401367,2.9802322387695312e-08,2.384185791015625e-07,0.9999997615814209
1.0,BitFlip,7,262144,0.025715112686157227,1.5805068171959107e-08,1.7881393410412727e-07,0.9999998211860656
1.0,BitFlip,8,262144,0.08122467994689941,1.4901161193847656e-08,2.384185791015625e-07,0.9999997615814209
1.0,BitFlip,9,262144,0.5593912601470947,7.902534085979553e-09,1.7881393410412727e-07,0.9999998211860656
1.0,BitFlip,10,262144,3.508002519607544,1.1175870895385742e-08,3.5762786865234375e-07,0.9999996423721313
1.0,PhaseFlip,3,262144,0.0007359981536865234,2.1073424176942392e-08,1.4142135202262471,0.0
1.0,PhaseFlip,4,262144,0.0008571147918701172,2.9802322387695312e-08,1.4142134780794005,0.0
1.0,PhaseFlip,5,262144,0.0016202926635742188,3.1610136343918214e-08,1.414213435932559,0.0
1.0,PhaseFlip,6,262144,0.003183126449584961,2.9802322387695312e-08,1.414213393785696,0.0
1.0,PhaseFlip,7,262144,0.016603946685791016,1.5805068171959107e-08,1.414213435932555,0.0
1.0,PhaseFlip,8,262144,0.13722014427185059,1.4901161193847656e-08,1.4142133937856947,0.0
1.0,PhaseFlip,9,262144,0.5175774097442627,7.902534085979553e-09,1.4142134359325447,0.0
1.0,PhaseFlip,10,262144,3.4625155925750732,1.1175870895385742e-08,1.4142133094919842,0.0
1.0,AmpDamp,3,262144,0.0006961822509765625,0.9354142909384457,1.3228756161075292,0.12499999254941938
1.0,AmpDamp,4,262144,0.0012955665588378906,0.9682457211279564,1.3693063121458968,0.0624999925494194
1.0,AmpDamp,5,262144,0.0016541481018066406,0.984250808253686,1.39194096625828,0.031249994412064545
1.0,AmpDamp,6,262144,0.0041942596435546875,0.9921565051006214,1.4031213527751187,0.015624996274709702
1.0,AmpDamp,7,262144,0.015135526657104492,0.996085912542754,1.4086783327524177,0.007812498603016136
1.0,AmpDamp,8,262144,0.05920052528381348,0.9980447259644949,1.4114485555717373,0.0039062490686774254
1.0,AmpDamp,9,262144,0.46485042572021484,0.9990227815573853,1.4128316931151619,0.001953124650754034
1.0,AmpDamp,10,262144,3.4819345474243164,0.9995112420292643,1.413522606979769,0.0009765621507540345
