n_bits,shots,noise,probability,time_sampling,l2_pop,time_density,fro_norm,fidelity
3,8192,none,0.0,0.009513215991319157,0.2570739339617749,0.0009956739959307015,2.497635812364283e-15,1.0000000000000004
4,8192,none,0.0,0.007378152993624099,0.17373354621207154,0.0012534989946288988,6.7079331729256196e-15,0.9999999999999971
5,8192,none,0.0,0.005881951001356356,0.12431289655910817,0.0016649889876134694,1.4882899432205556e-14,0.9999999999999909
6,8192,none,0.0,0.0064845580054679886,0.08952424000297887,0.0023545580042991787,1.145160376138971e-13,1.0000000000000853
7,8192,none,0.0,0.016383949012379162,0.06364044162453153,0.007590605993755162,1.3845524871751963e-13,1.0000000000001026
8,8192,none,0.0,0.011453746003098786,0.04572995694229965,0.010457262003910728,1.303926580583946e-12,1.0000000000009777
9,8192,none,0.0,0.015565812995191664,0.03247483306090077,0.05644815899722744,6.600747210942148e-12,0.9999999999950668
10,8192,none,0.0,0.023045950001687743,0.02496211041722902,0.17468940699473023,2.3420391474426585e-11,0.999999999982493
11,8192,none,0.0,0.016318431997206062,0.01913040822671849,0.7475776759965811,5.508321030019137e-11,1.0000000000412828
12,8192,none,0.0,0.0200633289932739,0.015739971601273973,3.6483766329911305,3.433141009275038e-10,0.9999999997429946
3,8192,Depolarizing,0.01,0.0069266520004021,0.1976707000878425,0.01312282400613185,0.12984379632137083,0.8796902110765186
4,8192,Depolarizing,0.01,0.007096425004419871,0.1240378544155087,0.002752012005657889,0.2230356231279317,0.7872248586434965
5,8192,Depolarizing,0.01,0.011905153005500324,0.0756310064909725,0.00400081199768465,0.3278312187484563,0.6826813654120594
6,8192,Depolarizing,0.01,0.019107380998320878,0.042199620519079856,0.00959567200334277,0.43620753310660726,0.5740224922755831
7,8192,Depolarizing,0.01,0.05325895799614955,0.02386092133373167,0.0402831800020067,0.5410985032047517,0.46831119984551683
8,8192,Depolarizing,0.01,0.03668572699825745,0.01659886955410648,0.03671440698963124,0.6371563567217924,0.3710086301605708
9,8192,Depolarizing,0.01,0.22230671199213248,0.012467915366019242,0.11881620099302381,0.721006971780452,0.2856744257578703
10,8192,Depolarizing,0.01,0.7558926880010404,0.011683091908208397,0.6887591050035553,0.791148322362028,0.21401013114747747
11,8192,Depolarizing,0.01,3.0780076169903623,0.011082209642471684,3.008915768994484,0.8476084439416463,0.15615283123505427
12,8192,Depolarizing,0.01,12.630294276008499,0.010997173466362508,10.415934251999715,0.89149064800831,0.11110299715390931
3,8192,AmplitudeDamping,0.01,0.016660843990393914,0.2103569377187598,0.009926431011990644,0.1248483582212464,0.8948578027052619
4,8192,AmplitudeDamping,0.01,0.011179202003404498,0.13122632403498818,0.002147068007616326,0.2099821742133548,0.8134333203345449
5,8192,AmplitudeDamping,0.01,0.007954290995257907,0.08607766252089821,0.0035426870017545298,0.30497510918804904,0.7206861847156825
6,8192,AmplitudeDamping,0.01,0.03392631599854212,0.05520790987632105,0.009170513003482483,0.4033663236989591,0.6229823638462477
7,8192,AmplitudeDamping,0.01,0.07654084499517921,0.03491851107718911,0.03612374000658747,0.4994855655059152,0.5260854608569356
8,8192,AmplitudeDamping,0.01,0.13132087799021974,0.02603219177813892,0.027597210995736532,0.5889916676662261,0.4346209366492332
9,8192,AmplitudeDamping,0.01,0.19561208000232,0.020541934735739426,0.09046905899595004,0.6690290427096766,0.35183504197786913
10,8192,AmplitudeDamping,0.01,0.5527144489897182,0.0166875073150733,0.4519245840056101,0.7381413011889848,0.279586626074256
11,8192,AmplitudeDamping,0.01,2.2773606100090547,0.015033988592129543,2.224571497994475,0.7960327106667048,0.21851523968111392
12,8192,AmplitudeDamping,0.01,11.420291792994249,0.013092859060343675,12.12248563898902,0.8432595569950456,0.1683141079041454
3,8192,PhaseDamping,0.01,0.029892709993873723,0.22458522500944159,0.011085764999734238,0.06731291212577581,0.9397344809107678
4,8192,PhaseDamping,0.01,0.005510585004230961,0.15237494907268773,0.0023758530005579814,0.11804835872608328,0.8921365171425062
5,8192,PhaseDamping,0.01,0.01339674400514923,0.09478663476576488,0.0034880090097431093,0.17828468161132996,0.8350560409909176
6,8192,PhaseDamping,0.01,0.017293588010943495,0.06049812569355237,0.00868600899411831,0.24533881601682145,0.7709209280169691
7,8192,PhaseDamping,0.01,0.06250221800291911,0.0396741661440857,0.03599749400746077,0.31639123758275767,0.7023018498247893
8,8192,PhaseDamping,0.01,0.08183327100414317,0.025969723826670642,0.02082412800518796,0.3887506945290733,0.6316966803763526
9,8192,PhaseDamping,0.01,0.12258397800906096,0.018458064620542773,0.10081683298631106,0.46003667963659534,0.5613715483089131
10,8192,PhaseDamping,0.01,0.5819130570016569,0.013346478221285752,0.8706074679939775,0.5282992386959203,0.49324875664886103
11,8192,PhaseDamping,0.01,2.7643509129993618,0.012258193565071476,2.7921977950027213,0.5920785116615513,0.4288416110933423
12,8192,PhaseDamping,0.01,11.122067988995695,0.011405574830857497,14.082303796996712,0.6504090627090483,0.369233931952615
3,8192,BitFlip,0.01,0.040222800002084114,0.18777818705942417,0.012883356001111679,0.21625570338090813,0.8044503220305137
4,8192,BitFlip,0.01,0.010318168002413586,0.10926677253870076,0.002495214997907169,0.3482262611393553,0.6749723515455246
