n_bits,shots,noise,probability,time_sampling,l2_pop,time_density,fro_norm,fidelity
3,32768,none,0.0,0.016928344004554674,0.25053659608915124,0.0014475729985861108,2.497404505479342e-15,1.0000000000000004
4,32768,none,0.0,0.018418177001876757,0.17569085021880598,0.001803844003006816,6.6785394297581636e-15,0.9999999999999969
5,32768,none,0.0,0.01588178300880827,0.12434828260414574,0.002147331993910484,1.4892034130546408e-14,0.9999999999999908
6,32768,none,0.0,0.01726706200861372,0.08952720481495272,0.0026611990033416077,1.1455967356184344e-13,1.000000000000085
7,32768,none,0.0,0.020581978009431623,0.06276500666653032,0.003428857002290897,1.3852189133902164e-13,1.0000000000001024
8,32768,none,0.0,0.020650421996833757,0.04489008151587446,0.006175864007673226,1.3039931043402584e-12,1.0000000000009774
9,32768,none,0.0,0.03321795500232838,0.03180792576668077,0.019231189988204278,6.600651850579229e-12,0.9999999999950666
10,32768,none,0.0,0.026347077000536956,0.022632606271022128,0.044852627004729584,2.3420264297560534e-11,0.9999999999824927
11,32768,none,0.0,0.03235394699731842,0.016567419509105025,0.1878050890081795,5.508336555954485e-11,1.0000000000412825
12,32768,none,0.0,0.032798040003399365,0.012425189865511428,0.810173207995831,3.4331392053931206e-10,0.9999999997429944
3,32768,Depolarizing,0.01,0.01568038298864849,0.20581042469604777,0.013164315008907579,0.12984379632137086,0.8796902110765186
4,32768,Depolarizing,0.01,0.01653441399685107,0.12543198328284272,0.0029916750063421205,0.2230356231279317,0.7872248586434965
5,32768,Depolarizing,0.01,0.0334003439929802,0.07431794113599298,0.004351822004537098,0.32783121874845633,0.6826813654120594
6,32768,Depolarizing,0.01,0.021465160010848194,0.04432619130566346,0.006706962012685835,0.4362075331066073,0.574022492275583
7,32768,Depolarizing,0.01,0.02917835899279453,0.02440738586683938,0.008211439999286085,0.5410985032047517,0.46831119984551683
8,32768,Depolarizing,0.01,0.02853123500244692,0.013634630972789285,0.011940985001274385,0.6371563567217924,0.37100863016057073
9,32768,Depolarizing,0.01,0.05094579599972349,0.008051321412261205,0.03412141899752896,0.7210069717804519,0.2856744257578703
10,32768,Depolarizing,0.01,0.18182980200799648,0.006154874250954214,0.14483460900373757,0.791148322362028,0.21401013114747747
11,32768,Depolarizing,0.01,0.631364978995407,0.00566460837002892,0.6607340229966212,0.8476084439416463,0.15615283123505427
12,32768,Depolarizing,0.01,2.8755796309997095,0.00558296551370603,3.0537130820011953,0.8914906480083099,0.11110299715390931
3,32768,AmplitudeDamping,0.01,0.014686855996842496,0.20945432889564622,0.011049426990211941,0.1248483582212464,0.894857802705262
4,32768,AmplitudeDamping,0.01,0.016195865013287403,0.13447211271687284,0.0026095950015587732,0.20998217421335483,0.8134333203345449
5,32768,AmplitudeDamping,0.01,0.017732986001647078,0.086727434874713,0.004002793997642584,0.30497510918804904,0.7206861847156826
6,32768,AmplitudeDamping,0.01,0.037840725999558344,0.053826640957111274,0.014203553000697866,0.40336632369895914,0.6229823638462476
7,32768,AmplitudeDamping,0.01,0.02573173400014639,0.03554269535518402,0.007925971003714949,0.4994855655059153,0.5260854608569355
8,32768,AmplitudeDamping,0.01,0.029056201005005278,0.02448708105317949,0.011832822012365796,0.5889916676662261,0.4346209366492332
9,32768,AmplitudeDamping,0.01,0.06183713999052998,0.018165471422250706,0.040788441998302005,0.6690290427096766,0.35183504197786913
10,32768,AmplitudeDamping,0.01,0.1586714030127041,0.01398790762412184,0.14242488201125525,0.7381413011889848,0.279586626074256
11,32768,AmplitudeDamping,0.01,0.630718871994759,0.011130761074656895,0.6662657459964976,0.7960327106667048,0.21851523968111392
12,32768,AmplitudeDamping,0.01,2.874225841005682,0.009385135258313197,3.0525931829906767,0.8432595569950456,0.1683141079041454
3,32768,PhaseDamping,0.01,0.015393247987958603,0.2231875989492299,0.01132451400917489,0.06731291212577589,0.9397344809107677
4,32768,PhaseDamping,0.01,0.016149830000358634,0.14725650738891602,0.002656711993040517,0.11804835872608328,0.8921365171425062
