n_bits,shots,noise,probability,time_sampling,l2_pop,time_density,fro_norm,fidelity
3,32768,none,0.0,0.011660108997602947,0.00759697702701023,0.0009293009934481233,3.510833468576701e-16,0.9999999999999998
4,32768,none,0.0,0.014948853000532836,0.005256292942611055,0.0011003449908457696,3.1401849173675503e-16,1.0
5,32768,none,0.0,0.025869352990412153,0.005950223440895479,0.0014144680026220158,4.1540741810552243e-16,0.9999999999999999
6,32768,none,0.0,0.024544946994865313,0.004929887818923015,0.0019711770000867546,3.8459253727671276e-16,1.0
7,32768,none,0.0,0.021478163995197974,0.005401352698389958,0.003516479002428241,4.710277376051325e-16,0.9999999999999988
8,32768,none,0.0,0.02822985200327821,0.005127679682521539,0.007884588005254045,4.440892098500626e-16,1.0
9,32768,none,0.0,0.040987309999763966,0.0054473663244175505,0.024313141009770334,5.20740757162067e-16,1.0000000000000058
10,32768,none,0.0,0.03962943899387028,0.005496045522471446,0.1362766990059754,4.965068306494546e-16,1.0
11,32768,none,0.0,0.041694947009091265,0.00543949613434312,0.4891735810087994,5.661048867003676e-16,1.0000000000000018
12,32768,none,0.0,0.04626297600043472,0.005605772588383824,2.2710862590029137,5.438959822042073e-16,1.0
3,32768,Depolarizing,0.01,0.02867743800743483,0.0051047434448502,0.009989207988837734,0.09632625706948242,0.912045420156403
4,32768,Depolarizing,0.01,0.013413501990726218,0.005459150335692846,0.0021606160007650033,0.17382036453936886,0.8364901544587345
5,32768,Depolarizing,0.01,0.01605024999298621,0.0048753681655169636,0.003318535993457772,0.2641834416219026,0.7470376919837195
6,32768,Depolarizing,0.01,0.02424463999341242,0.005566259014123196,0.007950236002216116,0.3614180728012463,0.6498023910555084
7,32768,Depolarizing,0.01,0.07000919700658415,0.005372827423506302,0.03082829900085926,0.45979152150832975,0.5506844197474099
8,32768,Depolarizing,0.01,0.038932669995119795,0.005680041956696218,0.01413419601158239,0.5543899556921941,0.45481693612766283
9,32768,Depolarizing,0.01,0.07073039999522734,0.005455054436402425,0.05054774299787823,0.6414548390455252,0.366198157177112
10,32768,Depolarizing,0.01,0.25426558499748353,0.00550349641333985,0.24757094599772245,0.7185081661330199,0.28752680298735234
11,32768,Depolarizing,0.01,1.2209126910020132,0.005437954982269591,1.2409434240107657,0.7843008689632177,0.2202235917649464
12,32768,Depolarizing,0.01,6.075464797992026,0.005516004760031275,7.842738079998526,0.8386348202382202,0.16459519183313917
3,32768,AmplitudeDamping,0.01,0.018769076996250078,0.026185753686713754,0.00971191399730742,0.08342068179250033,0.9403671791857953
4,32768,AmplitudeDamping,0.01,0.014954103986383416,0.02416680055751104,0.0018953959952341393,0.14022210156699857,0.8894739991011651
5,32768,AmplitudeDamping,0.01,0.01821063700481318,0.024545582332362734,0.003039249000721611,0.20535639547570525,0.8278832236976583
6,32768,AmplitudeDamping,0.01,0.023637771009816788,0.022724389508359543,0.007604982005432248,0.2763192021814489,0.7585137028607418
7,32768,AmplitudeDamping,0.01,0.05448477300524246,0.020320674278502936,0.0302712970005814,0.35041211858180077,0.6843405187680691
8,32768,AmplitudeDamping,0.01,0.04931237699929625,0.017535847579506613,0.019577990999096073,0.4250933301849187,0.6082018585449186
9,32768,AmplitudeDamping,0.01,0.19123056500393432,0.014842527740752011,0.0833784129936248,0.49814584248133437,0.5326452506063903
10,32768,AmplitudeDamping,0.01,0.3531184080056846,0.012884418843130218,0.33151107700541615,0.5677631451120336,0.4598194874026653
11,32768,AmplitudeDamping,0.01,1.651802050997503,0.010652689475984307,1.6291105470008915,0.6325810097741379,0.3914136664927118
12,32768,AmplitudeDamping,0.01,6.38590234000003,0.009377491143175914,6.603998686987325,0.6916700051530112,0.32864003915370427
3,32768,PhaseDamping,0.01,0.03498699399642646,0.005772583626050109,0.016349936995538883,0.04750919494120862,0.9609781040920417
4,32768,PhaseDamping,0.01,0.012874438994913362,0.007204217128749756,0.0018909399950644001,0.08299037250489082,0.9283362475067757
5,32768,PhaseDamping,0.01,0.01558788400143385,0.004482033905991327,0.0029906339914305136,0.1253747834289445,0.8881937105342042
6,32768,PhaseDamping,0.01,0.03030482301255688,0.005060215693671364,0.0075790380069520324,0.1735336133736935,0.8417137583837064
7,32768,PhaseDamping,0.01,0.061419842997565866,0.005702134137757159,0.030191583005944267,0.22619523322785168,0.7901676383564088
