n_bits,shots,sim_time_s,throughput,l2_error,backend
3,1024,0.001608111999303219,636771.5684253898,0.030508787796510367,GPU
4,1024,0.0018911820006906055,541460.3140396136,0.029908970373268663,GPU
5,1024,0.0025819410002441145,396600.85180226195,0.026094510187280054,GPU
6,1024,0.0031264939989341656,327523.4177161657,0.03452669830012439,GPU
7,1024,0.003334098999403068,307129.4524197798,0.03427720463825048,GPU
8,1024,0.004894597999737016,209210.2354585645,0.030383494504109463,GPU
9,1024,0.004935387001751224,207481.19643639983,0.03069576883887053,GPU
10,1024,0.005876310000530793,174259.01627169168,0.031127690333025836,GPU
11,1024,0.006845746000180952,149581.94475414846,0.031462897839037135,GPU
12,1024,0.007895353001003969,129696.544267215,0.031341419015392995,GPU
13,1024,0.008977935000075377,114057.40852338569,0.031310975667737106,GPU
14,1024,0.010048195999843301,101908.84015558305,0.031341419015392995,GPU
15,1024,0.012757612001223606,80265.80522293563,0.031127690333025836,GPU
16,1024,0.014658934000181034,69855.0112844054,0.031158312760827766,GPU
17,1024,0.01723541699902853,59412.54569342404,0.03125,GPU
18,1024,0.02111938600137364,48486.25807272035,0.03128050269149798,GPU
19,1024,0.029823212998962845,34335.67000428865,0.03125,GPU
20,1024,0.04196245900129725,24402.76438443094,0.031234737483827102,GPU
21,1024,0.07455592800033628,13734.655680167798,0.031272879807824054,GPU
22,1024,0.11552096100058407,8864.192187553068,0.031246185069875306,GPU
23,1024,0.206940919999397,4948.272192870234,0.031248092593155974,GPU
24,1024,0.43329030700078874,2363.311579915255,0.031249046311131234,GPU
25,1024,0.8171747760006838,1253.097905213784,0.031249523159203763,GPU
26,1024,1.681721708000623,608.8997930682718,0.031249761580511397,GPU
27,1024,3.5014560199997504,292.4497677969044,0.031249880790483076,GPU
3,2048,0.002071761000479455,988531.0127596975,0.02139541240254555,GPU
4,2048,0.04788194499997189,42771.86317308543,0.02303735568766689,GPU
5,2048,0.0163107400003355,125561.43988303868,0.020344401031249668,GPU
6,2048,0.016677441000865656,122800.61430849595,0.021148835769245814,GPU
7,2048,0.0070516730011149775,290427.53395912994,0.02123883122161284,GPU
8,2048,0.007124220999685349,287470.02656016045,0.024030185155008363,GPU
9,2048,0.00582570400001714,351545.4956163194,0.022630137160657163,GPU
10,2048,0.007823472000382026,261776.3570828904,0.022032254243512652,GPU
11,2048,0.05519934400035709,37101.890196136235,0.021727144005163075,GPU
12,2048,0.008591321999119828,238380.0770370166,0.021902013175786918,GPU
