n_bits,shots,noise,probability,time_sampling,l2_pop,time_density,fro_norm,fidelity
3,16384,none,0.0,0.006215368000084709,0.007330827909971123,0.0009875260000171693,3.510833468576701e-16,0.9999999999999998
4,16384,none,0.0,0.006775452999931986,0.006369333666110627,0.0009695339999780117,3.1401849173675503e-16,1.0
5,16384,none,0.0,0.007477144999938901,0.007204217128749756,0.001270780999902854,4.1540741810552243e-16,0.9999999999999999
6,16384,none,0.0,0.008927650000032372,0.008345985741698873,0.0018200719999867943,3.8459253727671276e-16,1.0
7,16384,none,0.0,0.01150777099996958,0.00851303691207069,0.003249475999950846,4.710277376051325e-16,0.9999999999999988
8,16384,none,0.0,0.015992634999975053,0.007389540255987157,0.006688956999937545,4.440892098500626e-16,1.0
3,16384,Depolarizing,0.01,0.00680142800001704,0.010564196456016995,0.0017688489999727608,0.09632625706948238,0.912045420156403
4,16384,Depolarizing,0.01,0.008086245999948005,0.008075114945576771,0.002019650999955047,0.1738203645393688,0.8364901544587345
5,16384,Depolarizing,0.01,0.0097700060000534,0.0064720293661189275,0.003127653999968061,0.26418344162190255,0.7470376919837196
6,16384,Depolarizing,0.01,0.017259803999991163,0.008487179343637059,0.007596992999992835,0.3614180728012463,0.6498023910555082
7,16384,Depolarizing,0.01,0.043449171000020215,0.007890785895491807,0.03053480199992009,0.4597915215083297,0.5506844197474101
8,16384,Depolarizing,0.01,0.02910664800003815,0.008577991255254328,0.01371323000000757,0.554389955692194,0.454816936127663
3,16384,AmplitudeDamping,0.01,0.006236353999952371,0.025223106017525393,0.001410947999943346,0.08342068179250026,0.9403671791857953
4,16384,AmplitudeDamping,0.01,0.007520794000015485,0.026177750113076294,0.001699363999932757,0.1402221015669986,0.8894739991011651
5,16384,AmplitudeDamping,0.01,0.00934044999996786,0.027467312242465656,0.0027956820000554217,0.20535639547570525,0.8278832236976583
6,16384,AmplitudeDamping,0.01,0.016858367000054386,0.02427158744742853,0.007315791999985777,0.276319202181449,0.7585137028607417
7,16384,AmplitudeDamping,0.01,0.04797293100000388,0.021454877544258972,0.030842060999930254,0.3504121185818007,0.6843405187680692
8,16384,AmplitudeDamping,0.01,0.034263223000039034,0.01888088795107408,0.014139835000037237,0.42509333018491874,0.6082018585449185
3,16384,PhaseDamping,0.01,0.00916767199998958,0.007847706621311245,0.0015960719999839057,0.04750919494120867,0.9609781040920417
4,16384,PhaseDamping,0.01,0.007760268999959408,0.007563435583329917,0.0017581189999873459,0.08299037250489076,0.9283362475067758
5,16384,PhaseDamping,0.01,0.009620045000019672,0.00792940411742523,0.0028699100000721955,0.12537478342894445,0.8881937105342042
6,16384,PhaseDamping,0.01,0.044917203000068184,0.008351786368699866,0.007370950999984416,0.17353361337369344,0.8417137583837063
7,16384,PhaseDamping,0.01,0.04943397499994262,0.008288655119151394,0.030136421999941376,0.22619523322785168,0.7901676383564088
8,16384,PhaseDamping,0.01,0.033006754999973964,0.007925174725649136,0.016061643000057302,0.2820498060393538,0.7348789586459723
3,16384,BitFlip,0.01,0.011238505999926929,0.012882900813756008,0.0016332089999195887,0.15191590751996528,0.8704371397883174
4,16384,BitFlip,0.01,0.007752818999961164,0.008693600495490653,0.0017659559999856356,0.27225117101223884,0.7554710136509637
5,16384,BitFlip,0.01,0.009492671999964841,0.009074759905242622,0.002874873999985539,0.40187476091646046,0.6269655009340969
6,16384,BitFlip,0.01,0.016842644000007567,0.007129366089086347,0.007403428000088752,0.5274943399617308,0.4990207760624533
7,16384,BitFlip,0.01,0.04413364699996691,0.00738399274161944,0.030431797000005645,0.6400839522760611,0.38200712746794185
8,16384,BitFlip,0.01,0.02094466799997008,0.008089403524536402,0.013448780000089755,0.7349426634344105,0.28199609032920014
3,16384,Depolarizing,0.1,0.006845028999919123,0.007227449104977008,0.0018869639999365972,0.623219076867888,0.42217605468332653
4,16384,Depolarizing,0.1,0.008000936999906116,0.00841400123793491,0.0020210999999790147,0.8242196502071264,0.20614925714041707
5,16384,Depolarizing,0.1,0.009912092000035955,0.0070531926562132415,0.0031003480000890704,0.9270528715312992,0.08950375083760562
6,16384,Depolarizing,0.1,0.01718283299999257,0.007725228189598018,0.007592960000010862,0.9715986888902325,0.03669730109919675
7,16384,Depolarizing,0.1,0.05100731999993968,0.007420730502576145,0.030552975999967202,0.9891086360092656,0.014962316124140784
8,16384,Depolarizing,0.1,0.039321771000004446,0.008244040041456565,0.01459880400000202,0.9957338388491009,0.006267826623814687
3,16384,AmplitudeDamping,0.1,0.006296517999999196,0.15852697216197462,0.001468926000029569,0.5537292775928216,0.5896381531647995
4,16384,AmplitudeDamping,0.1,0.0075387740000678605,0.16857874799134717,0.001730968000060784,0.7388617074026894,0.39095157500166877
5,16384,AmplitudeDamping,0.1,0.009251095999957215,0.1643248005278906,0.002779770999950415,0.8637869011252358,0.24164202297008575
6,16384,AmplitudeDamping,0.1,0.016548897000006946,0.15195464302618789,0.0074238810000224476,0.941418108650432,0.1415072321473606
7,16384,AmplitudeDamping,0.1,0.051952597999957106,0.13441831644649632,0.030337735999978577,0.9862713265078962,0.07955113339303349
8,16384,AmplitudeDamping,0.1,0.0368366730000389,0.1210607052907813,0.013393757000017104,1.010414429134099,0.04338079633652294
3,16384,PhaseDamping,0.1,0.016956543999981477,0.009797235825995497,0.0015184999999746651,0.37309259336936923,0.6851267825845648
4,16384,PhaseDamping,0.1,0.007587630999978501,0.006154571614236099,0.0017184890000407904,0.5478851371659625,0.5064103994008597
5,16384,PhaseDamping,0.1,0.009379128000091441,0.007137199698843253,0.00279475000002094,0.6909305513152478,0.35130208198570523
6,16384,PhaseDamping,0.1,0.016786030000048413,0.007767068371869288,0.007351500000027045,0.7983186102683939,0.23077219887064246
7,16384,PhaseDamping,0.1,0.05428150000000187,0.007454789109857826,0.03017614800000956,0.8736078759995338,0.14471569775719795
8,16384,PhaseDamping,0.1,0.32961305699996046,0.007727156844774639,0.013315209999973376,0.9235339939039944,0.08725568830014394
3,16384,BitFlip,0.1,0.007861154000011084,0.006878854364722605,0.0015514450000182478,0.7364304340803374,0.3415424874213515
4,16384,BitFlip,0.1,0.007667599999990671,0.0063541086121288665,0.0017503270000815974,0.8826133349216078,0.1624647400823887
5,16384,BitFlip,0.1,0.009499801999936608,0.008794570892128067,0.0028728359999377062,0.9470508015384911,0.07634651467399022
6,16384,BitFlip,0.1,0.016814195000051768,0.008914058675272035,0.007437897999921006,0.9755099922530215,0.03628545915988353
7,16384,BitFlip,0.1,0.07697442200003479,0.007764190080730295,0.030727897999895504,0.9883885183401736,0.017515428181989968
8,16384,BitFlip,0.1,0.03143615300007241,0.00794348582647114,0.013413447000061751,0.9943854253451012,0.008565595029284785
3,16384,Depolarizing,0.5,0.006689135999977225,0.005842183642655207,0.001810550000072908,0.9334880319347587,0.12680435180664062
4,16384,Depolarizing,0.5,0.008282437999923786,0.01051542042140715,0.002031037999927321,0.9681639217658783,0.06257932746851158
5,16384,Depolarizing,0.5,0.011896062000005259,0.00861914955966814,0.0032984059999989768,0.9842471878664868,0.03125373668963369
6,16384,Depolarizing,0.5,0.01772813100001258,0.0071141966514079134,0.007789753999986715,0.992156551919864,0.01562518824196818
7,16384,Depolarizing,0.5,0.04890508000005411,0.007628662074215375,0.03151428199998918,0.9960860804994577,0.007812510117619555
8,16384,Depolarizing,0.5,0.03946908299997176,0.007558015707618964,0.014560681000034492,0.9980449633422483,0.003906250573585492
