target,init,shots,n_bits,noise,probability,time_sampling,l2_error,fro_norm,fidelity
cudaq-cpu,ghz,8192,3,none,0.0,0.0032709420047467,0.2484737537730834,2.893410624288032e-15,0.9999999999999998
cudaq-cpu,ghz,8192,4,none,0.0,0.0031594280007993,0.1740356235540259,6.150553490970361e-15,0.9999999999999964
cudaq-cpu,ghz,8192,5,none,0.0,0.0035339989990461,0.1240994678449018,1.4409335622921434e-14,0.99999999999999
cudaq-cpu,ghz,8192,6,none,0.0,0.0038701109951944,0.0892818961008291,1.1541505555401834e-13,1.000000000000084
cudaq-cpu,ghz,8192,7,none,0.0,0.0069531699991784,0.0633360260675436,1.3957354494248653e-13,1.0000000000001013
cudaq-cpu,ghz,8192,8,none,0.0,0.0049865020046127,0.0456383009034477,1.3050710099157306e-12,1.0000000000009763
cudaq-cpu,ghz,8192,9,none,0.0,0.0065699879996827,0.0330866847578782,6.599446928745299e-12,0.9999999999950652
cudaq-cpu,ghz,8192,10,none,0.0,0.010745362000307,0.0247372408644648,2.3418994203873308e-11,0.9999999999824912
cudaq-cpu,ghz,8192,11,none,0.0,0.0142394619979313,0.0191311871362779,5.5084796135739655e-11,1.0000000000412803
cudaq-cpu,ghz,8192,3,Depol,0.01,0.0033479549965704,0.2434761465244421,1.1990534752514634,0.2472757692793462
cudaq-cpu,ghz,8192,4,Depol,0.01,0.0044115400014561,0.1647347799688928,1.1928841765513956,0.2454545281326058
cudaq-cpu,ghz,8192,5,Depol,0.01,0.0104978390008909,0.116541033038773,1.1867622817406984,0.2437789605418347
cudaq-cpu,ghz,8192,6,Depol,0.01,0.0395465149995288,0.0824165378668549,1.180747444614012,0.24214424112072
cudaq-cpu,ghz,8192,7,Depol,0.01,0.1854041129990946,0.0566411511626961,1.1748506317816678,0.2405275931818762
cudaq-cpu,ghz,8192,8,Depol,0.01,0.8230491879949113,0.040367085369048,1.1690729996688518,0.2389234923510769
cudaq-cpu,ghz,8192,9,Depol,0.01,4.039764920002199,0.0294652550608057,1.1634133946607788,0.2373305242042439
cudaq-cpu,ghz,8192,10,Depol,0.01,21.51097782099532,0.0217908329947055,1.1578701074186877,0.2357482847378751
cudaq-cpu,ghz,8192,11,Depol,0.01,105.6017126480001,0.0173606130740467,1.1524413047391049,0.2341766205736707
cudaq-cpu,ghz,8192,3,Amp Damp,0.01,0.0031555180030409,0.2408941868740596,1.2111528024974818,0.2515745144297418
cudaq-cpu,ghz,8192,4,Amp Damp,0.01,0.003868270003295,0.1688446450613056,1.2075863727460976,0.2505889728555389
cudaq-cpu,ghz,8192,5,Amp Damp,0.01,0.009849143003521,0.1207810332578858,1.2041054924006864,0.2497976501426112
cudaq-cpu,ghz,8192,6,Amp Damp,0.01,0.0238462880006409,0.0843356570600941,1.2007047249983809,0.2490939346381837
cudaq-cpu,ghz,8192,7,Amp Damp,0.01,0.1048654530022759,0.0583930073640756,1.1973665468609398,0.2484327172429095
cudaq-cpu,ghz,8192,8,Amp Damp,0.01,0.5009976079963963,0.0435402747970621,1.1940788277975645,0.247793004454965
cudaq-cpu,ghz,8192,9,Amp Damp,0.01,2.2857928259982145,0.0302847564210333,1.1908346110674983,0.2471646718481056
cudaq-cpu,ghz,8192,10,Amp Damp,0.01,11.566047535998225,0.0230819435343913,1.1876300963825204,0.2465427532070687
cudaq-cpu,ghz,8192,11,Amp Damp,0.01,64.01683553100156,0.017476956318292,1.1844631884874974,0.2459247909657763
cudaq-cpu,ghz,8192,3,Phase,0.01,0.0030581169994547,0.2446573511211677,1.1952324966399104,0.2480023374977683
cudaq-cpu,ghz,8192,4,Phase,0.01,0.0039510059941676,0.1735508453884872,1.1895691894525475,0.2451884248018476
cudaq-cpu,ghz,8192,5,Phase,0.01,0.0069551150008919,0.1218721536157247,1.184061466221637,0.2426598844137746
cudaq-cpu,ghz,8192,6,Phase,0.01,0.0235872909979661,0.0886516262243076,1.1786744503216888,0.2402146534654102
cudaq-cpu,ghz,8192,7,Phase,0.01,0.1115987040029722,0.0614192019094167,1.1733945061521482,0.237807916116181
cudaq-cpu,ghz,8192,8,Phase,0.01,0.4859276589995716,0.0444252090088538,1.1682171037295486,0.2354287019985432
cudaq-cpu,ghz,8192,9,Phase,0.01,2.2914199530059705,0.0331159456942182,1.1631401261170806,0.2330741341553032
cudaq-cpu,ghz,8192,10,Phase,0.01,11.930285736998483,0.0243168229523156,1.1581620525784508,0.2307433233148039
cudaq-cpu,ghz,8192,11,Phase,0.01,64.28715980400011,0.0189291659105006,1.1532815105860523,0.2284358728813109
cudaq-cpu,ghz,8192,3,Bit Flip,0.01,0.0029854570020688,0.2368213141807791,1.201216546019909,0.2500000000000004
cudaq-cpu,ghz,8192,4,Bit Flip,0.01,0.0036680349949165,0.164464911176706,1.1938934254324751,0.2499999999999981
cudaq-cpu,ghz,8192,5,Bit Flip,0.01,0.0093320279993349,0.1146041966720085,1.1868177633671273,0.2500000000000013
cudaq-cpu,ghz,8192,6,Bit Flip,0.01,0.0241917660023318,0.077448779376898,1.179982356591644,0.2499999999999998
cudaq-cpu,ghz,8192,7,Bit Flip,0.01,0.1220669690010254,0.0541034574211245,1.1733801475811876,0.2500000000000019
cudaq-cpu,ghz,8192,8,Bit Flip,0.01,0.4968557749962201,0.0386729847141916,1.167004224627398,0.2500000000000031
cudaq-cpu,ghz,8192,9,Bit Flip,0.01,2.300713287993858,0.0285707124552219,1.1608478218175733,0.2500000000000211
cudaq-cpu,ghz,8192,10,Bit Flip,0.01,11.591286530994694,0.0208900791459252,1.154904318912369,0.2500000000000433
cudaq-cpu,ghz,8192,11,Bit Flip,0.01,65.90403981300187,0.0166338438446248,1.1491672411443223,0.2500000000000509
cudaq-cpu,ghz,8192,3,Depol,0.1,0.0031273970016627,0.1412207382409973,1.0342170588486608,0.22447725267894
cudaq-cpu,ghz,8192,4,Depol,0.1,0.0043753270001616,0.0892057571704341,1.0086521023861383,0.2080816111582533
cudaq-cpu,ghz,8192,5,Depol,0.1,0.0099466339961509,0.0553014892998418,0.988314598717138,0.1939018587354073
cudaq-cpu,ghz,8192,6,Depol,0.1,0.0446301990014035,0.0339917054436953,0.9727213044802042,0.1809046921653586
cudaq-cpu,ghz,8192,7,Depol,0.1,0.2176611680042697,0.0224947467605367,0.9610476223913426,0.1688280388311192
cudaq-cpu,ghz,8192,8,Depol,0.1,1.010799882998981,0.0163154633267613,0.9525293443246274,0.157569028129152
cudaq-cpu,ghz,8192,9,Depol,0.1,4.13058142799855,0.0132106926352233,0.9465228518347052,0.1470635379664329
cudaq-cpu,ghz,8192,10,Depol,0.1,19.963645823998377,0.0116779890069349,0.9425017842653493,0.1372590948506528
cudaq-cpu,ghz,8192,11,Depol,0.1,109.2512179080004,0.0115625783556783,0.9400408409725964,0.128108440170469
cudaq-cpu,ghz,8192,3,Amp Damp,0.1,0.0040771839994704,0.197539488792148,1.1063441093340145,0.2666987670657988
cudaq-cpu,ghz,8192,4,Amp Damp,0.1,0.0038622530046268,0.1313123691055248,1.08342407904937,0.2565882414025846
cudaq-cpu,ghz,8192,5,Amp Damp,0.1,0.0070543639958486,0.085264518575426,1.0632658928740195,0.248609457461242
cudaq-cpu,ghz,8192,6,Amp Damp,0.1,0.0238046910017146,0.0586506884808468,1.0456393112141555,0.2416514194869735
cudaq-cpu,ghz,8192,7,Amp Damp,0.1,0.1037579229960101,0.039677921851483,1.0302123325209394,0.2352463915446963
cudaq-cpu,ghz,8192,8,Amp Damp,0.1,0.5084594520012615,0.0280012374672598,1.016704014255185,0.2291787326443435
cudaq-cpu,ghz,8192,9,Amp Damp,0.1,2.3665977350028697,0.0217812573119579,1.004881905116676,0.223345043587421
cudaq-cpu,ghz,8192,10,Amp Damp,0.1,11.756843263996416,0.0169638210605861,0.9945477856209912,0.2176942675876372
cudaq-cpu,ghz,8192,11,Amp Damp,0.1,66.72476006899524,0.0145637607929142,0.9855285460784464,0.2122002931573107
cudaq-cpu,ghz,8192,3,Phase,0.1,0.0029746840009465,0.2025468374174448,1.0092420760279988,0.2287279220613578
cudaq-cpu,ghz,8192,4,Phase,0.1,0.0036875669975415,0.1380299499187946,0.990376454986844,0.2034644840121736
cudaq-cpu,ghz,8192,5,Phase,0.1,0.0071932229984668,0.1011255106494586,0.9758200639467074,0.1826144410352653
cudaq-cpu,ghz,8192,6,Phase,0.1,0.0242766390001634,0.0717545038331603,0.9652576792201089,0.1642414895187809
cudaq-cpu,ghz,8192,7,Phase,0.1,0.116320661996724,0.0520701073701886,0.9579988763197418,0.1477923510346045
cudaq-cpu,ghz,8192,8,Phase,0.1,0.4862869780045002,0.0365563392339365,0.9533754211392328,0.1330074988674889
cudaq-cpu,ghz,8192,9,Phase,0.1,2.352785887000209,0.0274090667982152,0.9508094750570086,0.1197054854548608
cudaq-cpu,ghz,8192,10,Phase,0.1,11.563673184005893,0.0209904152931686,0.949820615736714,0.1077346526334155
cudaq-cpu,ghz,8192,11,Phase,0.1,65.85361554200063,0.0167409987675134,0.9500174160136164,0.0969611234103703
cudaq-cpu,ghz,8192,3,Bit Flip,0.1,0.0030379620002349,0.129774579147453,1.0635186881291738,0.2500000000000002
cudaq-cpu,ghz,8192,4,Bit Flip,0.1,0.0037307789971237,0.0706914649748549,1.041098496781162,0.2499999999999984
cudaq-cpu,ghz,8192,5,Bit Flip,0.1,0.0119335170020349,0.0411164996049567,1.0264926162423085,0.2500000000000006
cudaq-cpu,ghz,8192,6,Bit Flip,0.1,0.0227582579973386,0.0266471411826715,1.0170347773641606,0.25
cudaq-cpu,ghz,8192,7,Bit Flip,0.1,0.1079321760043967,0.0178940255877038,1.0109353256048184,0.2500000000000014
cudaq-cpu,ghz,8192,8,Bit Flip,0.1,0.4668581350051681,0.012975103821091,1.0070122883249637,0.2500000000000032
cudaq-cpu,ghz,8192,9,Bit Flip,0.1,2.2964184989978094,0.0117162065924822,1.0044935038340714,0.2500000000000112
cudaq-cpu,ghz,8192,10,Bit Flip,0.1,11.721990852995075,0.011750496143661,1.0028781618362006,0.2500000000000303
cudaq-cpu,ghz,8192,11,Bit Flip,0.1,64.8512222299978,0.0111037024328777,1.001842976168034,0.2500000000000392
cudaq-cpu,ghz,8192,3,Depol,0.5,0.0031514330039499,0.0098128132375299,0.915997603754981,0.1533394460349983
cudaq-cpu,ghz,8192,4,Depol,0.5,0.0042712860013125,0.0074152063225036,0.9382110215919768,0.1002171002760138
cudaq-cpu,ghz,8192,5,Depol,0.5,0.0095503749980707,0.0125132490515034,0.9548865199466144,0.0664858309967581
cudaq-cpu,ghz,8192,6,Depol,0.5,0.0408357920023263,0.0109128401555795,0.9676426979169062,0.0442700142294655
cudaq-cpu,ghz,8192,7,Depol,0.5,0.1815929379954468,0.0114875882382994,0.9771430413510478,0.0295043801565658
cudaq-cpu,ghz,8192,8,Depol,0.5,0.823961160996987,0.0108237206775687,0.9840426726585187,0.0196680936683495
cudaq-cpu,ghz,8192,9,Depol,0.5,3.980007509999268,0.011035048222646,0.9889595023778912,0.0131118136231663
cudaq-cpu,ghz,8192,10,Depol,0.5,19.89299608199508,0.0109060106661094,0.9924146528468109,0.0087411676128168
cudaq-cpu,ghz,8192,11,Depol,0.5,107.14029682199909,0.0111184546257184,0.9948172363514282,0.0058274381639536
cudaq-cpu,ghz,8192,3,Amp Damp,0.5,0.0029198699994594,0.3625621857414074,0.92030913527821,0.3387234509202982
cudaq-cpu,ghz,8192,4,Amp Damp,0.5,0.0035415019956417,0.2942713959725102,0.9393461606965272,0.2791860564270913
cudaq-cpu,ghz,8192,5,Amp Damp,0.5,0.0066411439984221,0.2571260967166342,0.9538059008689658,0.234578035801896
cudaq-cpu,ghz,8192,6,Amp Damp,0.5,0.0636324160004733,0.2131202928800761,0.9650228416087956,0.1988105815667153
cudaq-cpu,ghz,8192,7,Amp Damp,0.5,0.1101387409944436,0.1738571828493291,0.9738258360207236,0.1691733579082554
cudaq-cpu,ghz,8192,8,Amp Damp,0.5,0.5050631449994398,0.1387089424559187,0.980782571100819,0.1442201114139791
cudaq-cpu,ghz,8192,9,Amp Damp,0.5,2.330526960999123,0.110045692750559,0.9862898470576534,0.1230492483544166
cudaq-cpu,ghz,8192,10,Amp Damp,0.5,11.597407164998003,0.0905633387766998,0.990638543115112,0.1050229927912129
cudaq-cpu,ghz,8192,11,Amp Damp,0.5,64.23187498000334,0.0729341258990422,0.9940523884320276,0.0896493502648823
cudaq-cpu,ghz,8192,3,Phase,0.5,0.003491641000437,0.0076506052812462,0.9354143466934858,0.125
cudaq-cpu,ghz,8192,4,Phase,0.5,0.0037651270031346,0.010012742507036,0.9682458365518516,0.0624999999999998
cudaq-cpu,ghz,8192,5,Phase,0.5,0.0222147179956664,0.0104453962232819,0.9842509842514676,0.0312499999999997
cudaq-cpu,ghz,8192,6,Phase,0.5,0.024545936998038,0.0108759099645391,0.9921567416493058,0.0156250000000013
cudaq-cpu,ghz,8192,7,Phase,0.5,0.1043345779980882,0.010248091729402,0.9960860906569288,0.0078125000000008
cudaq-cpu,ghz,8192,8,Phase,0.5,0.4940051790035795,0.0111037024328777,0.998044963917933,0.0039062500000038
cudaq-cpu,ghz,8192,9,Phase,0.5,2.301125525998941,0.0111959174685528,0.9990229601916832,0.0019531249999903
cudaq-cpu,ghz,8192,10,Phase,0.5,11.628190071998688,0.0108882339457899,0.9995115994649686,0.0009765624999829
cudaq-cpu,ghz,8192,11,Phase,0.5,63.7582876430024,0.0111612592291625,0.999755829606673,0.0004882812500201
cudaq-cpu,ghz,8192,3,Bit Flip,0.5,0.0031883240008028,0.0061521499845479,1.0,0.2500000000000003
cudaq-cpu,ghz,8192,4,Bit Flip,0.5,0.0078405390013358,0.0098989916663639,0.999999999999998,0.2499999999999991
cudaq-cpu,ghz,8192,5,Bit Flip,0.5,0.0069048099976498,0.0101502033720641,0.9999999999999898,0.2500000000000008
cudaq-cpu,ghz,8192,6,Bit Flip,0.5,0.0232626530050765,0.0104211161964907,1.0000000000000848,0.2500000000000004
cudaq-cpu,ghz,8192,7,Bit Flip,0.5,0.1080632640005205,0.0105263970397021,1.0000000000001008,0.2500000000000017
cudaq-cpu,ghz,8192,8,Bit Flip,0.5,0.4770414450031239,0.0115857524586959,1.0000000000009743,0.2500000000000038
cudaq-cpu,ghz,8192,9,Bit Flip,0.5,2.3226794860020163,0.0114355844029593,0.9999999999950568,0.2500000000000099
cudaq-cpu,ghz,8192,10,Bit Flip,0.5,11.838782444996468,0.011012068370453,0.999999999982464,0.250000000000029
cudaq-cpu,ghz,8192,11,Bit Flip,0.5,66.32673134999641,0.010797531439207,1.000000000041244,0.2500000000000386
cudaq-cpu,ghz,8192,3,Depol,0.9,0.0031606949996785,0.0103536927532421,0.9545761047242094,0.1103933982822017
cudaq-cpu,ghz,8192,4,Depol,0.9,0.0774453410049318,0.0113702451388623,0.988683095452158,0.0455262045273636
cudaq-cpu,ghz,8192,5,Depol,0.9,0.0096589280001353,0.0100409788684955,0.9994568797028592,0.0183589488056043
cudaq-cpu,ghz,8192,6,Depol,0.9,0.0415691180023714,0.0110525888129054,1.0019029498915195,0.007358746144403
cudaq-cpu,ghz,8192,7,Depol,0.9,0.4106449449973297,0.0110525888129054,1.0018701472877862,0.0029450233294452
cudaq-cpu,ghz,8192,8,Depol,0.9,0.811527030004072,0.0102582649776144,1.0013257437010803,0.0011781620255433
cudaq-cpu,ghz,8192,9,Depol,0.9,4.025450020999415,0.0109428392729565,1.000830860938308,0.000471280084764
cudaq-cpu,ghz,8192,10,Depol,0.9,19.457018130000503,0.0112582981446961,1.0004886596185047,0.0001885135614872
cudaq-cpu,ghz,8192,11,Depol,0.9,107.04897974099732,0.0109455623884081,1.0002767482870187,7.540557736166638e-05
cudaq-cpu,ghz,8192,3,Amp Damp,0.9,0.0033025540033122,0.7859538188476315,1.0845197176211356,0.3406843470659684
cudaq-cpu,ghz,8192,4,Amp Damp,0.9,0.0039340160001302,0.7865312597218777,1.1737590460910998,0.2204132530767145
cudaq-cpu,ghz,8192,5,Amp Damp,0.9,0.0101176269963616,0.7564107574284464,1.2221232901439123,0.1440198913443152
cudaq-cpu,ghz,8192,6,Amp Damp,0.9,0.0328042339970124,0.7290052757582477,1.247993570225549,0.0944737990852995
cudaq-cpu,ghz,8192,7,Amp Damp,0.9,0.1148286319948965,0.7063027733522181,1.260430420706541,0.0620786844290163
cudaq-cpu,ghz,8192,8,Amp Damp,0.9,0.5906125830006204,0.6631196677796232,1.2645612175764946,0.0408241839155296
cudaq-cpu,ghz,8192,9,Amp Damp,0.9,2.715804338004091,0.6341978850013933,1.2634931145570387,0.0268570142872646
cudaq-cpu,ghz,8192,10,Amp Damp,0.9,11.678146597005252,0.6179191743084301,1.2591781383115324,0.0176717231512262
cudaq-cpu,ghz,8192,11,Amp Damp,0.9,64.86929566899926,0.5759813413942398,1.252867052737146,0.011628940244294
cudaq-cpu,ghz,8192,3,Phase,0.9,0.0030243069995776,0.2021450466295466,1.1972807758711974,0.0212720779386421
cudaq-cpu,ghz,8192,4,Phase,0.9,0.0036597209982573,0.1434550036552593,1.174856992125759,0.0037427693349349
cudaq-cpu,ghz,8192,5,Phase,0.9,0.0070065069958218,0.1007357472450085,1.1474043573246322,0.0004584600319676
cudaq-cpu,ghz,8192,6,Phase,0.9,0.0233020309970015,0.0729706881998843,1.1225454319217636,4.855980126651682e-05
cudaq-cpu,ghz,8192,7,Phase,0.9,0.1146503290001419,0.0504098663262621,1.101515633776935,4.9288220472329e-06
cudaq-cpu,ghz,8192,8,Phase,0.9,0.4772091930062743,0.0360518915449961,1.083945894357056,4.947369345143216e-07
cudaq-cpu,ghz,8192,9,Phase,0.9,2.298194065006101,0.0266868150609763,1.0693219953444115,4.9520276337334906e-08
cudaq-cpu,ghz,8192,10,Phase,0.9,11.638654405993291,0.0211734818978386,1.057179501049332,4.9531935489166815e-09
cudaq-cpu,ghz,8192,11,Phase,0.9,64.72641802400176,0.0168792832201597,1.0471176326274112,4.953485073052972e-10
cudaq-cpu,ghz,8192,3,Bit Flip,0.9,0.00324863899732,0.1255516753023795,1.0635186881291745,0.2499999999999999
cudaq-cpu,ghz,8192,4,Bit Flip,0.9,0.0040007379939197,0.0727782752680903,1.041098496781162,0.2499999999999985
