n_bits,shots,sim_time_s,throughput,l2_error,backend,init,method
3,1024,0.0031314829975599423,327001.61578328954,0.019384212149686726,CPU,zero,statevector
4,1024,0.028131209008279257,36400.85286411359,0.02883754503951836,CPU,zero,statevector
5,1024,0.03562569500354584,28743.29889979917,0.03385729652999944,CPU,zero,statevector
6,1024,0.01229051400150638,83316.28765684608,0.028804455476079346,CPU,zero,statevector
7,1024,0.0040865159971872345,250580.20100859102,0.033687867794258475,CPU,zero,statevector
8,1024,0.004542082999250852,225447.22326053784,0.031158312760827766,CPU,zero,statevector
9,1024,0.020558046002406627,49810.181370356186,0.029781153675736145,CPU,zero,statevector
10,1024,0.006453926005633548,158663.1143750585,0.031158312760827766,CPU,zero,statevector
11,1024,0.009886257001198828,103578.128696819,0.03032065370363286,CPU,zero,statevector
12,1024,0.011655407011858188,87856.21977492372,0.03185450474667986,CPU,zero,statevector
13,1024,0.016213702998356894,63156.45476568633,0.031066354923021223,CPU,zero,statevector
14,1024,0.017454068991355598,58668.268156104576,0.03140221716955767,CPU,zero,statevector
15,1024,0.013769365003099665,74367.99008302011,0.031004898176538172,CPU,zero,statevector
16,1024,0.04723171399382409,21680.348084210873,0.03128050269149798,CPU,zero,statevector
17,1024,0.03557042901229579,28787.95753759476,0.031188905122404905,CPU,zero,statevector
18,1024,0.04765589800081216,21487.37182504774,0.031188905122404905,CPU,zero,statevector
19,1024,0.29862841199792456,3429.010632809837,0.03128050269149798,CPU,zero,statevector
20,1024,0.19593181200616527,5226.308017647376,0.03126525506559008,CPU,zero,statevector
21,1024,0.2993437969998922,3420.8158320393345,0.03130336020473556,CPU,zero,statevector
22,1024,0.9173308790050214,1116.2820563837083,0.03127669148189608,CPU,zero,statevector
23,1024,2.234731061005732,458.2206860896956,0.031248092593155974,CPU,zero,statevector
24,1024,4.722545990007347,216.83219224687886,0.031249046311131234,CPU,zero,statevector
25,1024,8.793514154996956,116.44946285986327,0.031249523159203763,CPU,zero,statevector
26,1024,18.587446118996013,55.09094651542751,0.031249761580511397,CPU,zero,statevector
27,1024,32.77360289100034,31.244657580237888,0.031249880790483076,CPU,zero,statevector
3,2048,0.0017978279938688502,1139152.3588376162,0.03297254495338698,CPU,zero,statevector
4,2048,0.0018793189956340939,1089756.4515432315,0.02219398081516311,CPU,zero,statevector
5,2048,0.002319969004020095,882770.4147991543,0.019273197613272022,CPU,zero,statevector
6,2048,0.003030551000847481,675784.7003489746,0.0224609375,CPU,zero,statevector
7,2048,0.0072528270102338865,282372.6523616557,0.022619599261524355,CPU,zero,statevector
