n_bits,shots,noise,probability,time_sampling,l2_pop,time_density,fro_norm,fidelity
3,65536,none,0.0,0.02790362101222854,0.24940130231742838,0.001063014002284035,2.497635812364283e-15,1.0000000000000004
4,65536,none,0.0,0.02919733700400684,0.17771329073505643,0.001214987991261296,6.7079331729256196e-15,0.9999999999999971
5,65536,none,0.0,0.03628193099575583,0.12491196833162603,0.0016103509988170117,1.4882899432205556e-14,0.9999999999999909
6,65536,none,0.0,0.03211796600953676,0.08852221267054168,0.0022475659934571013,1.145160376138971e-13,1.0000000000000853
7,65536,none,0.0,0.048737698001787066,0.06258170181939171,0.004076443990925327,1.3845524871751963e-13,1.0000000000001026
8,65536,none,0.0,0.05221610999433324,0.04415758047812654,0.01008687300782185,1.303926580583946e-12,1.0000000000009777
9,65536,none,0.0,0.08231477299705148,0.03141637560608831,0.06894854300480802,6.600747210942148e-12,0.9999999999950668
10,65536,none,0.0,0.11012894799932837,0.022604081914379542,0.16981635699630715,2.3420391474426585e-11,0.999999999982493
11,65536,none,0.0,0.08309054700657725,0.016028063293787476,0.731416246999288,5.508321030019137e-11,1.0000000000412828
12,65536,none,0.0,0.08905087600578554,0.011657295419228065,3.5693093000008957,3.433141009275038e-10,0.9999999997429946
3,65536,Depolarizing,0.01,0.02304730900505092,0.20438254216878635,0.011501995992148295,0.12984379632137083,0.8796902110765186
4,65536,Depolarizing,0.01,0.031121159001486376,0.12756452240583632,0.0024532450042897835,0.2230356231279317,0.7872248586434965
5,65536,Depolarizing,0.01,0.029809068000758998,0.0745776714502574,0.0037422220048028976,0.3278312187484563,0.6826813654120594
6,65536,Depolarizing,0.01,0.03725971298990771,0.042478692905533695,0.008864950999850407,0.43620753310660726,0.5740224922755831
7,65536,Depolarizing,0.01,0.10796503200253937,0.024018797775313357,0.03382585600775201,0.5410985032047517,0.46831119984551683
8,65536,Depolarizing,0.01,0.04970315200625919,0.013254592593292959,0.020270108987460844,0.6371563567217924,0.3710086301605708
9,65536,Depolarizing,0.01,0.22882480900443625,0.0073813751375635984,0.370503544996609,0.721006971780452,0.2856744257578703
10,65536,Depolarizing,0.01,0.539406619995134,0.004973148126839643,0.9821187929919688,0.791148322362028,0.21401013114747747
11,65536,Depolarizing,0.01,2.699886251008138,0.004056887050264616,2.249819774995558,0.8476084439416463,0.15615283123505427
12,65536,Depolarizing,0.01,12.717837534000864,0.003988590254661615,11.16431813800591,0.89149064800831,0.11110299715390931
3,65536,AmplitudeDamping,0.01,0.024041637996560894,0.21076203262536217,0.010837009001988918,0.1248483582212464,0.8948578027052619
4,65536,AmplitudeDamping,0.01,0.028715951993945055,0.13385471765674437,0.0024633519933559,0.2099821742133548,0.8134333203345449
5,65536,AmplitudeDamping,0.01,0.029038034001132473,0.08455939883232451,0.0033336789929307997,0.30497510918804904,0.7206861847156825
6,65536,AmplitudeDamping,0.01,0.03951530400081538,0.05419077248959923,0.008874567996826954,0.4033663236989591,0.6229823638462477
7,65536,AmplitudeDamping,0.01,0.08377524999377783,0.035235976840398975,0.03395355700922664,0.4994855655059152,0.5260854608569356
8,65536,AmplitudeDamping,0.01,0.08994558900303673,0.023913876822223415,0.025020412998856045,0.5889916676662261,0.4346209366492332
9,65536,AmplitudeDamping,0.01,0.12871761100541335,0.017416395471787114,0.10047347100044135,0.6690290427096766,0.35183504197786913
10,65536,AmplitudeDamping,0.01,0.5132374850072665,0.013127596575611142,0.5010802970064105,0.7381413011889848,0.279586626074256
11,65536,AmplitudeDamping,0.01,2.417339369014371,0.010606867099134365,2.4550271999905817,0.7960327106667048,0.21851523968111392
12,65536,AmplitudeDamping,0.01,10.618870828009676,0.008499131810504278,13.409932458002004,0.8432595569950456,0.1683141079041454
3,65536,PhaseDamping,0.01,0.030169999998179264,0.22278733953743493,0.013493072998244315,0.06731291212577581,0.9397344809107678
4,65536,PhaseDamping,0.01,0.036841267996351235,0.14719781547640587,0.002959420991828665,0.11804835872608328,0.8921365171425062
5,65536,PhaseDamping,0.01,0.032842057989910245,0.09599072440373523,0.003878867006278597,0.17828468161132996,0.8350560409909176
6,65536,PhaseDamping,0.01,0.04810370800259989,0.06245346497597542,0.009731651007314213,0.24533881601682145,0.7709209280169691
7,65536,PhaseDamping,0.01,0.09275921800872311,0.037996517259432344,0.043465777998790145,0.31639123758275767,0.7023018498247893
8,65536,PhaseDamping,0.01,0.10935148899443448,0.02333600200175466,0.02429155699792318,0.3887506945290733,0.6316966803763526
9,65536,PhaseDamping,0.01,0.3918454369995743,0.01444884056303841,0.5495577809924725,0.46003667963659534,0.5613715483089131
10,65536,PhaseDamping,0.01,1.1320989400119288,0.009105854168642867,1.2060455099999672,0.5282992386959203,0.49324875664886103
11,65536,PhaseDamping,0.01,2.368133144991589,0.006067091019516863,2.6047387629951118,0.5920785116615513,0.4288416110933423
12,65536,PhaseDamping,0.01,9.902373336997698,0.004784646299009267,11.213033982014167,0.6504090627090483,0.369233931952615
3,65536,BitFlip,0.01,0.08536645000276621,0.18854383394715116,0.020423289999598637,0.21625570338090813,0.8044503220305137
4,65536,BitFlip,0.01,0.06423292099498212,0.108621170849467,0.0028664099954767153,0.3482262611393553,0.6749723515455246
5,65536,BitFlip,0.01,0.038520097004948184,0.06015548024366259,0.004481127005419694,0.48040113082213365,0.5422245849275741
6,65536,BitFlip,0.01,0.06821749299706426,0.03203968570859353,0.010817944988957606,0.6017629127038399,0.4179823977412146
7,65536,BitFlip,0.01,0.10771543699956965,0.01670506414089289,0.04496489999291953,0.705742749912805,0.3099571915647058
8,65536,BitFlip,0.01,0.08258126699365675,0.00904873209094823,0.06490115499764215,0.7898592146343795,0.22165951366106917
9,65536,BitFlip,0.01,0.2331018410040997,0.005808570269169707,0.28626878099748865,0.8546414953975838,0.15323369276295587
10,65536,BitFlip,0.01,0.9150439820077736,0.004301300803945684,0.8798790790024213,0.9024218977326728,0.10263768254731562
11,65536,BitFlip,0.01,3.016358722001314,0.004038249408037724,3.4940981170075247,0.9363200153965903,0.06675809856878404
12,65536,BitFlip,0.01,10.595108351000817,0.00395882511430213,9.415931419003755,0.9595324639933076,0.04225368614455871
3,65536,Depolarizing,0.1,0.05208436900284141,0.029777596249060928,0.014076876002945937,0.7337216663885384,0.3155463785284825
4,65536,Depolarizing,0.1,0.024742430992773734,0.004970197745602106,0.0024427379976259544,0.8941321073880795,0.13581797465356546
5,65536,Depolarizing,0.1,0.036193438005284406,0.0030313956923719025,0.0037861269956920296,0.9598701015492798,0.055912347629394274
6,65536,Depolarizing,0.1,0.040040623003733344,0.0039889404843022475,0.00903969700448215,0.9842037065933449,0.02372531892550113
7,65536,Depolarizing,0.1,0.07269614998949692,0.0038925766052457502,0.0345391099981498,0.9934184772933876,0.010528579803412246
8,65536,Depolarizing,0.1,0.06122966800467111,0.003989057220682609,0.0303256150073139,0.9971317351342731,0.004833630660768594
9,65536,Depolarizing,0.1,0.1759159029898001,0.0036835361528798527,0.1391178320045583,0.9987066810453887,0.002273352904235396
10,65536,Depolarizing,0.1,0.45924286599620245,0.0038318097617314364,0.45471792299940716,0.9994010111316417,0.001088229501688705
11,65536,Depolarizing,0.1,2.356853980003507,0.0038902431591741828,2.678564791000099,0.999716816451071,0.000527585818714312
12,65536,Depolarizing,0.1,11.601799825002672,0.0038717053735690472,12.34185070800595,0.99986405328784,0.00025808755833029665
3,65536,AmplitudeDamping,0.1,0.06058171798940748,0.16898111283799416,0.015410585008794442,0.7283040781305062,0.39056325072655634
4,65536,AmplitudeDamping,0.1,0.043426983000244945,0.16735097060355542,0.0022556659969268367,0.8913081150406718,0.20606307512276814
5,65536,AmplitudeDamping,0.1,0.05107558199961204,0.16356024041872613,0.005617707996862009,0.9683065240258395,0.10899686669972367
6,65536,AmplitudeDamping,0.1,0.05952868200256489,0.15023765122237967,0.00887085399881471,1.0029678124871984,0.05979900826412582
7,65536,AmplitudeDamping,0.1,0.06833854300202802,0.13747445785013557,0.03386309801135212,1.0191195441902021,0.033541447905485314
8,65536,AmplitudeDamping,0.1,0.2520175499957986,0.12280212955818867,0.13340025799698196,1.0267688272825983,0.01879292810835523
9,65536,AmplitudeDamping,0.1,0.1947379089979222,0.1088862889542244,0.5125353589974111,1.0300621886640529,0.010392917267198206
10,65536,AmplitudeDamping,0.1,0.8880699169967556,0.09711362047267764,0.7602750379883219,1.0310304433579045,0.005658042815083297
11,65536,AmplitudeDamping,0.1,2.146430428008898,0.08493450729288654,3.050954881007783,1.0308119733367376,0.0030356723137227
12,65536,AmplitudeDamping,0.1,11.23309344300651,0.07638315402193867,13.13424496499647,1.0300578575378259,0.0016082084432914338
