n_bits,shots,noise,probability,time_sampling,l2_pop,time_density,fro_norm,fidelity
3,524288,none,0.0,0.1918927229999099,0.25024340782116383,0.010089085000799969,2.497404505479342e-15,1.0000000000000004
4,524288,none,0.0,0.17371606700180564,0.17649323140965356,0.0016155560006154701,6.6785394297581636e-15,0.9999999999999969
5,524288,none,0.0,0.1934034510049969,0.1248857327870833,0.002117238997016102,1.4892034130546408e-14,0.9999999999999908
6,524288,none,0.0,0.20935907401144505,0.08846351582967095,0.0027231029962422326,1.1455967356184344e-13,1.000000000000085
7,524288,none,0.0,0.2047263220010791,0.062343347249348736,0.003557039992301725,1.3852189133902164e-13,1.0000000000001024
8,524288,none,0.0,0.2289655189961195,0.04417320844969916,0.006384373002219945,1.3039931043402584e-12,1.0000000000009774
9,524288,none,0.0,0.21270797500619665,0.031180510102827744,0.011854280004627071,6.600651850579229e-12,0.9999999999950666
10,524288,none,0.0,0.22438699500344228,0.02209888828715631,0.03800512100860942,2.3420264297560534e-11,0.9999999999824927
11,524288,none,0.0,0.23344323999481276,0.01567610981412356,0.17706077099137474,5.508336555954485e-11,1.0000000000412825
12,524288,none,0.0,0.26250767400779296,0.011134574318333729,0.6717010269931052,3.4331392053931206e-10,0.9999999997429944
3,524288,Depolarizing,0.01,0.193351920999703,0.20439002831083777,0.010632625999278389,0.12984379632137086,0.8796902110765186
4,524288,Depolarizing,0.01,0.17519364300824236,0.12536262842661844,0.0029459979996317998,0.2230356231279317,0.7872248586434965
5,524288,Depolarizing,0.01,0.18087716400623322,0.07457272976387697,0.004493692991673015,0.32783121874845633,0.6826813654120594
6,524288,Depolarizing,0.01,0.24188955199497286,0.04247487282412007,0.007767154005705379,0.4362075331066073,0.574022492275583
7,524288,Depolarizing,0.01,0.264814946000115,0.023295988751791865,0.0111771779920673,0.5410985032047517,0.46831119984551683
8,524288,Depolarizing,0.01,0.2899818270088872,0.012205294247067585,0.01615681500697974,0.6371563567217924,0.37100863016057073
9,524288,Depolarizing,0.01,0.2945420100004412,0.0063537032411609675,0.042194216992356814,0.7210069717804519,0.2856744257578703
10,524288,Depolarizing,0.01,0.4106127609993564,0.0033017279146325055,0.1306517639895901,0.791148322362028,0.21401013114747747
11,524288,Depolarizing,0.01,0.8573055110027781,0.0019776933662825633,0.6209499950055033,0.8476084439416463,0.15615283123505427
12,524288,Depolarizing,0.01,2.875578396007768,0.0014991857319680202,2.7724764559970936,0.8914906480083099,0.11110299715390931
3,524288,AmplitudeDamping,0.01,0.18049645199789666,0.2107484118005734,0.010277224006131291,0.1248483582212464,0.894857802705262
4,524288,AmplitudeDamping,0.01,0.1854783349990612,0.13389697484707763,0.0026027779967989773,0.20998217421335483,0.8134333203345449
5,524288,AmplitudeDamping,0.01,0.18138006699155085,0.08525925032166624,0.004080341997905634,0.30497510918804904,0.7206861847156826
6,524288,AmplitudeDamping,0.01,0.19115595900802873,0.05377211649201085,0.009035922004841268,0.40336632369895914,0.6229823638462476
7,524288,AmplitudeDamping,0.01,0.24201959399215411,0.03479159617285629,0.00968785300210584,0.4994855655059153,0.5260854608569355
8,524288,AmplitudeDamping,0.01,0.24006607600313146,0.02391657725235869,0.013749545003520325,0.5889916676662261,0.4346209366492332
9,524288,AmplitudeDamping,0.01,0.2524199879990192,0.0169116692547851,0.037183620006544515,0.6690290427096766,0.35183504197786913
10,524288,AmplitudeDamping,0.01,0.3657743700023275,0.01268891255746712,0.1287664169940399,0.7381413011889848,0.279586626074256
11,524288,AmplitudeDamping,0.01,0.7605228030006401,0.00983912664916156,0.6035083629976725,0.7960327106667048,0.21851523968111392
12,524288,AmplitudeDamping,0.01,2.787380647001555,0.007725876150899455,2.779388069000561,0.8432595569950456,0.1683141079041454
3,524288,PhaseDamping,0.01,0.18928763999429066,0.2228235890498234,0.010373731987783685,0.06731291212577589,0.9397344809107677
4,524288,PhaseDamping,0.01,0.18474776300718077,0.14749608719768315,0.002621919004013762,0.11804835872608328,0.8921365171425062
5,524288,PhaseDamping,0.01,0.21407345400075428,0.095925099502051,0.003982440000982024,0.17828468161133004,0.8350560409909173
6,524288,PhaseDamping,0.01,0.1968414919974748,0.060914557999155954,0.005999382003210485,0.24533881601682153,0.7709209280169689
7,524288,PhaseDamping,0.01,0.19982005099882372,0.03801653792581546,0.009563076004269533,0.3163912375827578,0.7023018498247893
8,524288,PhaseDamping,0.01,0.21653094899374992,0.023275985481576625,0.013204164992203005,0.3887506945290733,0.6316966803763526
9,524288,PhaseDamping,0.01,0.24209284399694297,0.013921677698648256,0.03631541400682181,0.4600366796365953,0.5613715483089131
10,524288,PhaseDamping,0.01,0.3482210319925798,0.008274443738370463,0.1262122860061936,0.5282992386959203,0.493248756648861
11,524288,PhaseDamping,0.01,0.8036543539928971,0.004919963558464531,0.5986032380023971,0.5920785116615512,0.4288416110933423
12,524288,PhaseDamping,0.01,2.786179834001814,0.002978437111945408,2.7754035539983306,0.6504090627090483,0.369233931952615
3,524288,BitFlip,0.01,0.18373574200086296,0.1876122477179356,0.010810228006448597,0.21625570338090816,0.8044503220305135
4,524288,BitFlip,0.01,0.1781436129967915,0.10737798184186322,0.002675074996659532,0.3482262611393553,0.6749723515455246
5,524288,BitFlip,0.01,0.18962603599356953,0.05973664314714072,0.00411623201216571,0.4804011308221337,0.5422245849275741
6,524288,BitFlip,0.01,0.19503916399844456,0.03185043281048766,0.0061813890060875565,0.60176291270384,0.41798239774121454
7,524288,BitFlip,0.01,0.20849907900264952,0.01663865169571948,0.009425566997379065,0.705742749912805,0.3099571915647057
8,524288,BitFlip,0.01,0.23323393899772782,0.00835229077004136,0.013225432994659059,0.7898592146343795,0.22165951366106923
9,524288,BitFlip,0.01,0.28618298600486014,0.004298400472655191,0.04202659499424044,0.8546414953975838,0.15323369276295584
10,524288,BitFlip,0.01,0.3716315789934015,0.0023376563198988253,0.13448503200197592,0.9024218977326728,0.10263768254731562
11,524288,BitFlip,0.01,0.8157355379953515,0.0016126945691085624,0.6105687520030187,0.9363200153965903,0.06675809856878404
12,524288,BitFlip,0.01,2.8149784459965304,0.001458267510403146,2.755939384995145,0.9595324639933077,0.04225368614455871
3,524288,Depolarizing,0.1,0.2235909070004709,0.028676219114199413,0.013217849991633557,0.7337216663885385,0.31554637852848244
4,524288,Depolarizing,0.1,0.22413165999751072,0.005418707979072958,0.0030153459956636652,0.8941321073880795,0.13581797465356546
5,524288,Depolarizing,0.1,0.18644370199763216,0.0016600355462063677,0.00452516000950709,0.9598701015492798,0.05591234762939427
6,524288,Depolarizing,0.1,0.20333294100419153,0.0011356110933813182,0.006646199006354436,0.9842037065933449,0.023725318925501122
7,524288,Depolarizing,0.1,0.21983989600266796,0.001317708751174392,0.011370737993274815,0.9934184772933876,0.010528579803412246
8,524288,Depolarizing,0.1,0.25527643600071315,0.001444163977656275,0.013603368002804928,0.9971317351342731,0.004833630660768594
9,524288,Depolarizing,0.1,0.28492710800492205,0.0013683947061422649,0.042770034007844515,0.9987066810453887,0.002273352904235396
10,524288,Depolarizing,0.1,0.3849717480043182,0.0013713929516898462,0.13349860200833064,0.9994010111316417,0.001088229501688705
11,524288,Depolarizing,0.1,0.8360385400010273,0.0013400070998651832,0.6070785420015454,0.999716816451071,0.000527585818714312
12,524288,Depolarizing,0.1,2.956773850994068,0.0013451014192259868,2.886820223007817,0.99986405328784,0.00025808755833029665
3,524288,AmplitudeDamping,0.1,0.2173079560016049,0.16809005622856324,0.01190940300875809,0.7283040781305062,0.39056325072655634
4,524288,AmplitudeDamping,0.1,0.22058874000504147,0.1689368260324869,0.0027442120044725016,0.8913081150406716,0.20606307512276814
5,524288,AmplitudeDamping,0.1,0.24812750799173955,0.16258714220113002,0.004762434007716365,0.9683065240258394,0.10899686669972364
6,524288,AmplitudeDamping,0.1,0.26595940098923165,0.15103409742843074,0.007161663001170382,1.0029678124871984,0.05979900826412581
7,524288,AmplitudeDamping,0.1,0.28205116499157157,0.1365950827370992,0.009374646993819624,1.0191195441902021,0.03354144790548531
8,524288,AmplitudeDamping,0.1,0.2506969139940338,0.12207463787283525,0.013558443009969778,1.0267688272825983,0.01879292810835523
9,524288,AmplitudeDamping,0.1,0.29750423500081524,0.1086412323241513,0.03749857000366319,1.0300621886640529,0.010392917267198206
10,524288,AmplitudeDamping,0.1,0.3721455269987928,0.09630183663577807,0.13272490599774756,1.0310304433579045,0.005658042815083297
11,524288,AmplitudeDamping,0.1,0.8326387010019971,0.08576369722992522,0.6124696740007494,1.0308119733367376,0.0030356723137227
12,524288,AmplitudeDamping,0.1,2.8991454080096446,0.07608637712020518,2.8707859050045954,1.0300578575378259,0.001608208443291434
3,524288,PhaseDamping,0.1,0.4233733220025897,0.0749565335772774,0.029671732991118915,0.49502222049913214,0.5501547296043674
4,524288,PhaseDamping,0.1,0.39208557100209873,0.026404076011404008,0.004819356006919406,0.687835609767639,0.35354243553962983
5,524288,PhaseDamping,0.1,0.4323905830096919,0.0074971627455741605,0.006363784006680362,0.815147684739328,0.21554907630040143
6,524288,PhaseDamping,0.1,0.4441420009970898,0.002115391519257826,0.010357432998716831,0.8909581981312588,0.12869569273859427
7,524288,PhaseDamping,0.1,0.4254086789878784,0.0013241011481545113,0.01283142200554721,0.9351598917097813,0.07629819685515166
8,524288,PhaseDamping,0.1,0.42192998199607246,0.0014610688923715172,0.020581194999977015,0.9615131404832483,0.04480935297404551
9,524288,PhaseDamping,0.1,0.5435514429991599,0.0013493274997827477,0.0493324489943916,0.9774935788911369,0.025882739635632916
10,524288,PhaseDamping,0.1,0.5836534279951593,0.0014264749160677898,0.14586085600603838,0.9871202042443499,0.014644756146092652
11,524288,PhaseDamping,0.1,1.2339662589947693,0.0013896602340594294,0.6536340120073874,0.9927916900485428,0.008117344549425183
12,524288,PhaseDamping,0.1,3.2429557540017413,0.0013685728190192606,3.4881739279953763,0.9960456708698844,0.0044176900710959765
3,524288,BitFlip,0.1,0.6980859239993151,0.015320374423857634,0.04471910100255627,0.8573325820138168,0.20156202346120977
4,524288,BitFlip,0.1,0.49495533799927216,0.002354235403016477,0.006700742000248283,0.9402776985672323,0.09159985014664991
5,524288,BitFlip,0.1,0.5743361140048364,0.001514040802019201,0.006960878003155813,0.9727981244373411,0.04354089991233842
6,524288,BitFlip,0.1,0.5251983950001886,0.0013353620078780412,0.019243411006755196,0.9870146358485776,0.021233860534420005
7,524288,BitFlip,0.1,0.667938996994053,0.0012496205308976075,0.016769524998380803,0.9936494921088571,0.01049283182256007
8,524288,BitFlip,0.1,0.6915649599977769,0.0014279278630276433,0.02084077798645012,0.9968567495427678,0.005218874137223722
9,524288,BitFlip,0.1,0.6736284170037834,0.001437503258491534,0.056516701995860785,0.9984353592827706,0.0026035839547143315
10,524288,BitFlip,0.1,0.755504018990905,0.0013563569054173893,0.14208802201028448,0.9992191639907925,0.0013005959024766833
