n_bits,shots,noise,probability,time_sampling,l2_pop,time_density,fro_norm,fidelity
3,4096,none,0.0,0.00963180500548333,0.00845727933383241,0.00128092200611718,3.510833468576701e-16,0.9999999999999998
4,4096,none,0.0,0.0029161279962863773,0.011683091908208397,0.0014442090032389387,3.1401849173675503e-16,1.0
5,4096,none,0.0,0.0031968090042937547,0.01787402853293274,0.001554212998598814,4.1540741810552243e-16,0.9999999999999999
6,4096,none,0.0,0.004006447008578107,0.015436948202673082,0.002446680999128148,3.8459253727671276e-16,1.0
7,4096,none,0.0,0.03766747900226619,0.01627888972477505,0.0044982819963479415,4.710277376051325e-16,0.9999999999999988
8,4096,none,0.0,0.04512977700505871,0.01646094514749763,0.5999201629892923,4.440892098500626e-16,1.0
9,4096,none,0.0,0.021092442009830847,0.016227548201058463,0.15631066299101803,5.20740757162067e-16,1.0000000000000058
10,4096,none,0.0,0.06205271500220988,0.015120959538283225,1.67489904499962,4.965068306494546e-16,1.0
11,4096,none,0.0,0.023379133999696933,0.015316784317732542,1.369435799002531,5.661048867003676e-16,1.0000000000000018
12,4096,none,0.0,0.022999080989393406,0.015746597164645604,5.747658341002534,5.438959822042073e-16,1.0
3,4096,Depolarizing,0.01,0.047484524999163114,0.013982247132105814,0.013994827997521497,0.09632625706948242,0.912045420156403
4,4096,Depolarizing,0.01,0.04884017599397339,0.014591360153792905,0.002980725999805145,0.17382036453936886,0.8364901544587345
5,4096,Depolarizing,0.01,0.03682413199567236,0.0176458115230397,0.004809360994840972,0.2641834416219026,0.7470376919837195
6,4096,Depolarizing,0.01,0.07487167698855046,0.014854507563648688,0.012248373997863382,0.3614180728012463,0.6498023910555084
7,4096,Depolarizing,0.01,0.08848789699550252,0.01368494771214992,0.059682138002244756,0.45979152150832975,0.5506844197474099
8,4096,Depolarizing,0.01,0.8078074029908748,0.014830412645007266,0.04039287999330554,0.5543899556921941,0.45481693612766283
9,4096,Depolarizing,0.01,0.22791790000337642,0.014741727675244657,0.19079886699910276,0.6414548390455252,0.366198157177112
10,4096,Depolarizing,0.01,0.6995039900066331,0.01588228121805722,0.8408338820008794,0.7185081661330199,0.28752680298735234
11,4096,Depolarizing,0.01,2.8392501040070783,0.015211352044380093,2.4388717580004595,0.7843008689632177,0.2202235917649464
12,4096,Depolarizing,0.01,4.38824867499352,0.015704904332104874,10.197351397000602,0.8386348202382202,0.16459519183313917
3,4096,AmplitudeDamping,0.01,0.0032625359890516847,0.033095240630528405,0.010145656997337937,0.08342068179250033,0.9403671791857953
4,4096,AmplitudeDamping,0.01,0.006726955994963646,0.02674426550318194,0.0019230819889344275,0.14022210156699857,0.8894739991011651
5,4096,AmplitudeDamping,0.01,0.005496358993696049,0.028509102689443358,0.0030799910018686205,0.20535639547570525,0.8278832236976583
6,4096,AmplitudeDamping,0.01,0.012071509001543745,0.031832042994153556,0.007485452006221749,0.2763192021814489,0.7585137028607418
7,4096,AmplitudeDamping,0.01,0.03661558098974638,0.02427204789382142,0.030716598994331434,0.35041211858180077,0.6843405187680691
8,4096,AmplitudeDamping,0.01,0.06251682000583969,0.023667793551556956,0.017675832990789786,0.4250933301849187,0.6082018585449186
9,4096,AmplitudeDamping,0.01,0.08559378699283116,0.01997183724239996,0.07403102699026931,0.49814584248133437,0.5326452506063903
10,4096,AmplitudeDamping,0.01,0.6975527679896913,0.018838419652207446,0.6162628390011378,0.5677631451120336,0.4598194874026653
11,4096,AmplitudeDamping,0.01,1.780351020002854,0.017880696702734917,1.7846144629875198,0.6325810097741379,0.3914136664927118
12,4096,AmplitudeDamping,0.01,15.709001575000002,0.01743512799937219,10.258696479009814,0.6916700051530112,0.32864003915370427
3,4096,PhaseDamping,0.01,0.0033118369901785627,0.02521631119858468,0.011101493000751361,0.04750919494120862,0.9609781040920417
4,4096,PhaseDamping,0.01,0.006703673003357835,0.013948102399497755,0.002187282996601425,0.08299037250489082,0.9283362475067757
5,4096,PhaseDamping,0.01,0.009376376998261549,0.016348309612092975,0.0035176770034013316,0.1253747834289445,0.8881937105342042
6,4096,PhaseDamping,0.01,0.01337188899924513,0.015382796876975942,0.008417304998147301,0.1735336133736935,0.8417137583837064
7,4096,PhaseDamping,0.01,0.045902914003818296,0.017128165739053108,0.037045956996735185,0.22619523322785168,0.7901676383564088
8,4096,PhaseDamping,0.01,0.03162697798688896,0.015957162732781437,0.02275269600795582,0.28204980603935365,0.7348789586459722
9,4096,PhaseDamping,0.01,0.11657519600703381,0.01598701713256338,0.37128392499289475,0.33981146348462155,0.6771700873987946
10,4096,PhaseDamping,0.01,0.508535043001757,0.015731448919518567,0.4847106219967827,0.3982654990404556,0.6183133833038026
11,4096,PhaseDamping,0.01,2.2366066929971566,0.015281721049344556,2.363753950005048,0.4563049573350268,0.5594894805294941
12,4096,PhaseDamping,0.01,13.503525038991938,0.015636439903912027,9.963388525007758,0.5129573672204749,0.5017541619129984
3,4096,BitFlip,0.01,0.011978660986642353,0.0161834115421646,0.011069383996073157,0.15191590751996528,0.8704371397883175
4,4096,BitFlip,0.01,0.01035580100142397,0.010775427973981401,0.0024109990044962615,0.2722511710122388,0.7554710136509637
5,4096,BitFlip,0.01,0.006392776995198801,0.01613915418070157,0.0036238439934095368,0.40187476091646024,0.6269655009340969
6,4096,BitFlip,0.01,0.014868416008539498,0.017544183811739923,0.00860491800995078,0.5274943399617312,0.4990207760624532
7,4096,BitFlip,0.01,0.050215349008794874,0.015886033676755312,0.04130441200686619,0.6400839522760611,0.38200712746794185
8,4096,BitFlip,0.01,0.1281655269995099,0.015460097850573793,0.023309939992032014,0.7349426634344105,0.28199609032920026
9,4096,BitFlip,0.01,0.1325603199948091,0.01605398654567734,0.31321957099135034,0.8108517036350703,0.20123413175691618
10,4096,BitFlip,0.01,0.750795191997895,0.015386671149012432,0.7169674620090518,0.868952930650034,0.13914153532501514
11,4096,BitFlip,0.01,2.8858396369905677,0.015421495798197028,3.178952490008669,0.911700696025595,0.09342611649529847
12,4096,BitFlip,0.01,5.260758538992377,0.01572765957852188,11.592551612004172,0.942046521262153,0.061045013362643286
3,4096,Depolarizing,0.1,0.013488096999935806,0.01341218915509802,0.013953724002931267,0.6232190768678881,0.42217605468332653
