n_bits,shots,noise,probability,time_sampling,l2_pop,time_density,fro_norm,fidelity
3,4096,none,0.0,0.002700970013393089,0.012501335072746199,0.0013344370090635493,2.8777593299067095e-16,0.9999999999999998
4,4096,none,0.0,0.0028058019961463287,0.01581458470771645,0.0015131480031413957,2.172217384091364e-16,1.0
5,4096,none,0.0,0.0034747719910228625,0.015440808887540914,0.0019157909991918132,2.893194259083379e-16,1.0
6,4096,none,0.0,0.003953549996367656,0.017561162605814886,0.00245161700877361,2.43628310082355e-16,1.0
7,4096,none,0.0,0.00458175600215327,0.015704904332104874,0.0032519530068384483,2.9134834419659634e-16,0.9999999999999986
8,4096,none,0.0,0.005423137001344003,0.015689715833066043,0.005207747002714314,2.9627291917956094e-16,1.0
9,4096,none,0.0,0.006261684000492096,0.01619813712441247,0.011913956011994742,3.23365438168166e-16,1.0000000000000056
10,4096,none,0.0,0.00724450200505089,0.015655487833868553,0.03896798599453177,3.1614004236683415e-16,1.0
11,4096,none,0.0,0.008312085992656648,0.015659294639477125,0.16450111399171874,3.26096423932479e-16,1.0000000000000018
12,4096,none,0.0,0.00988066999707371,0.015746597164645604,0.5873935790004907,3.3622594716541207e-16,1.0
3,4096,Depolarizing,0.01,0.0036410320026334375,0.011113092457754924,0.014064916002098471,0.09632625706948247,0.912045420156403
4,4096,Depolarizing,0.01,0.004145382001297548,0.008679877360659755,0.0027428720059106126,0.17382036453936897,0.8364901544587344
5,4096,Depolarizing,0.01,0.008638087994768284,0.01828611651472071,0.003995210005086847,0.2641834416219027,0.7470376919837194
6,4096,Depolarizing,0.01,0.017329805006738752,0.017581515515028158,0.005926902987994254,0.36141807280124644,0.6498023910555082
7,4096,Depolarizing,0.01,0.010530422994634137,0.015693514335925973,0.009100415001739748,0.45979152150832986,0.5506844197474099
8,4096,Depolarizing,0.01,0.014065612005651928,0.015382796876975942,0.010888837001402862,0.5543899556921941,0.45481693612766283
9,4096,Depolarizing,0.01,0.031104053996386938,0.01556767438176744,0.028255912999156862,0.6414548390455252,0.366198157177112
10,4096,Depolarizing,0.01,0.1243647680094,0.016157609480248337,0.11437717700027861,0.7185081661330199,0.28752680298735234
11,4096,Depolarizing,0.01,0.47618055500788614,0.015312892363834688,0.5384818599995924,0.7843008689632177,0.22022359176494638
12,4096,Depolarizing,0.01,1.6678066210006364,0.01581458470771645,2.4984091090009315,0.8386348202382202,0.16459519183313914
3,4096,AmplitudeDamping,0.01,0.0034477299923310056,0.03617402896276451,0.012648470001295209,0.08342068179250034,0.940367179185795
4,4096,AmplitudeDamping,0.01,0.0038770060054957867,0.029604504670359605,0.0023957869998412207,0.14022210156699863,0.889473999101165
5,4096,AmplitudeDamping,0.01,0.005295857001328841,0.028414864386926808,0.0038248510099947453,0.20535639547570533,0.8278832236976581
6,4096,AmplitudeDamping,0.01,0.007814646000042558,0.023181791934510195,0.005845106003107503,0.27631920218144895,0.7585137028607416
7,4096,AmplitudeDamping,0.01,0.013830836993292905,0.024907130361048534,0.007437689011567272,0.3504121185818009,0.6843405187680691
8,4096,AmplitudeDamping,0.01,0.016151708987308666,0.022094389349118684,0.010512148000998423,0.42509333018491874,0.6082018585449186
9,4096,AmplitudeDamping,0.01,0.033011203006026335,0.020736149773033275,0.028016236014082097,0.49814584248133437,0.5326452506063902
10,4096,AmplitudeDamping,0.01,0.11107159899256658,0.018854232984675607,0.11491791099251714,0.5677631451120336,0.4598194874026653
11,4096,AmplitudeDamping,0.01,0.4960112620028667,0.018246959903373824,0.529270371000166,0.6325810097741379,0.3914136664927118
12,4096,AmplitudeDamping,0.01,8.343993115995545,0.017201088822078648,2.5360972240014235,0.6916700051530114,0.32864003915370427
3,4096,PhaseDamping,0.01,0.003889878003974445,0.010461076799623315,0.014144843997200951,0.04750919494120869,0.9609781040920415
4,4096,PhaseDamping,0.01,0.006035165992216207,0.012812150159572194,0.0024418649991275743,0.08299037250489089,0.9283362475067756
5,4096,PhaseDamping,0.01,0.005472096003359184,0.01411377776640101,0.004006767994724214,0.12537478342894456,0.8881937105342039
6,4096,PhaseDamping,0.01,0.007809496994013898,0.0183933673846068,0.0058720030065160245,0.1735336133736937,0.8417137583837062
7,4096,PhaseDamping,0.01,0.010526465004659258,0.016308155168129623,0.007677258996409364,0.2261952332278519,0.7901676383564086
8,4096,PhaseDamping,0.01,0.014117749000433832,0.015855989141728043,0.010668722999980673,0.28204980603935365,0.7348789586459723
9,4096,PhaseDamping,0.01,0.03108961699763313,0.015254393898255184,0.02909183299925644,0.33981146348462155,0.6771700873987945
10,4096,PhaseDamping,0.01,0.11054477299330756,0.014962454537152893,0.11640978200011887,0.39826549904045566,0.6183133833038026
11,4096,PhaseDamping,0.01,0.4782984660123475,0.015371168201852728,0.5433379559981404,0.4563049573350268,0.5594894805294941
12,4096,PhaseDamping,0.01,8.73052593000466,0.01559827426265946,2.602077636998729,0.5129573672204749,0.5017541619129984
3,4096,BitFlip,0.01,0.062364819998038,0.015590629922939065,0.01772279701253865,0.1519159075199653,0.8704371397883173
4,4096,BitFlip,0.01,0.06015596800716594,0.01724262068653279,0.0034028249938273802,0.2722511710122389,0.7554710136509637
5,4096,BitFlip,0.01,0.03950352899846621,0.01528562093993997,0.004834815001231618,0.40187476091646035,0.6269655009340966
