n_bits,shots,noise,probability,time_sampling,l2_pop,time_density,fro_norm,fidelity
3,262144,none,0.0,0.08383888700336684,0.0015162162008689247,0.0025167040002997965,3.510833468576701e-16,0.9999999999999998
4,262144,none,0.0,0.09716073700110428,0.0020885040766566855,0.0010440689948154613,3.1401849173675503e-16,1.0
5,262144,none,0.0,0.09451561799505726,0.002059265309934197,0.0013403069897321984,4.1540741810552243e-16,0.9999999999999999
6,262144,none,0.0,0.11004631299874745,0.0017040129286005623,0.0018118300067726523,3.8459253727671276e-16,1.0
7,262144,none,0.0,0.13179866698919795,0.0017692630071881484,0.003311409003799781,4.710277376051325e-16,0.9999999999999988
8,262144,none,0.0,0.17869291600072756,0.0017529768791328163,0.007043197998427786,4.440892098500626e-16,1.0
9,262144,none,0.0,0.2683824400010053,0.0019159276666973761,0.027927482995437458,5.20740757162067e-16,1.0000000000000058
10,262144,none,0.0,0.2589138410112355,0.0018985085670293219,0.09862528598750941,4.965068306494546e-16,1.0
11,262144,none,0.0,0.26520302999415435,0.0019637281969984437,0.46104788201046176,5.661048867003676e-16,1.0000000000000018
12,262144,none,0.0,0.31712825600698125,0.0019566459509658446,2.0647702669957653,5.438959822042073e-16,1.0
3,262144,Depolarizing,0.01,0.0796697839978151,0.0022882079264105832,0.009841238002991304,0.09632625706948238,0.912045420156403
4,262144,Depolarizing,0.01,0.09110049599257763,0.0018930509648789151,0.0021309449948603287,0.1738203645393688,0.8364901544587345
5,262144,Depolarizing,0.01,0.10343349300092086,0.0022381905230264222,0.003209327012882568,0.26418344162190255,0.7470376919837196
6,262144,Depolarizing,0.01,0.1179531060042791,0.002269151754379889,0.0077646379941143095,0.3614180728012463,0.6498023910555082
7,262144,Depolarizing,0.01,0.16830082799424417,0.0016657957891250711,0.030860028011375107,0.4597915215083297,0.5506844197474101
8,262144,Depolarizing,0.01,0.13513604999752715,0.0020223580766655373,0.025436014009756036,0.554389955692194,0.454816936127663
9,262144,Depolarizing,0.01,0.18416116799926385,0.0019806031636704284,0.22085944599530194,0.6414548390455241,0.3661981571771122
10,262144,Depolarizing,0.01,0.7434756029979326,0.001968790352404025,0.3076552470010938,0.7185081661330189,0.28752680298735245
11,262144,Depolarizing,0.01,1.2643834540067473,0.001944642721485402,1.1679124660004163,0.7843008689632226,0.22022359176494644
12,262144,Depolarizing,0.01,5.781652197998483,0.001976263553267083,6.053980584998499,0.8386348202382442,0.16459519183313925
3,262144,AmplitudeDamping,0.01,0.08281432700459845,0.023062966879264405,0.010315806997823529,0.08342068179250026,0.9403671791857953
4,262144,AmplitudeDamping,0.01,0.08639284200035036,0.025347540710711745,0.0017686009960016236,0.1402221015669986,0.8894739991011651
5,262144,AmplitudeDamping,0.01,0.10196035999979358,0.02449085793620479,0.0029338579915929586,0.20535639547570525,0.8278832236976583
6,262144,AmplitudeDamping,0.01,0.11403211200376973,0.022391841435864326,0.007494828998460434,0.276319202181449,0.7585137028607417
7,262144,AmplitudeDamping,0.01,0.16752170999825466,0.019367908888481167,0.03072491000057198,0.3504121185818007,0.6843405187680692
