n_bits,shots,noise,probability,time_sampling,l2_pop,time_density,fro_norm,fidelity
3,131072,none,0.0,0.04847983398940414,0.24972347453217708,0.0009570230031386018,2.497635812364283e-15,1.0000000000000004
4,131072,none,0.0,0.04374254899448715,0.1773970062633487,0.0011923419951926917,6.7079331729256196e-15,0.9999999999999971
5,131072,none,0.0,0.04833892900205683,0.12548386671784256,0.0015702800010330975,1.4882899432205556e-14,0.9999999999999909
6,131072,none,0.0,0.06178763200296089,0.08826336697991327,0.0021439569973153993,1.145160376138971e-13,1.0000000000000853
7,131072,none,0.0,0.06991691600705963,0.06259051489004454,0.00394164900353644,1.3845524871751963e-13,1.0000000000001026
8,131072,none,0.0,0.09250650300236885,0.04438435923617974,0.007771884003886953,1.303926580583946e-12,1.0000000000009777
9,131072,none,0.0,0.1374249849905027,0.03138729201163037,0.02602709700295236,6.600747210942148e-12,0.9999999999950668
10,131072,none,0.0,0.13371047799591906,0.022254605138670877,0.1222917519917246,2.3420391474426585e-11,0.999999999982493
11,131072,none,0.0,0.14001554300193675,0.01582003478406937,0.6592639449954731,5.508321030019137e-11,1.0000000000412828
12,131072,none,0.0,0.14802137301012408,0.011423815248351357,2.7002446059923386,3.433141009275038e-10,0.9999999997429946
3,131072,Depolarizing,0.01,0.08013618100085296,0.20347391734698841,0.014299970003776252,0.12984379632137083,0.8796902110765186
4,131072,Depolarizing,0.01,0.044707945999107324,0.12656463732357004,0.002407097999821417,0.2230356231279317,0.7872248586434965
5,131072,Depolarizing,0.01,0.0822170760075096,0.07396775865464637,0.00363622501026839,0.3278312187484563,0.6826813654120594
6,131072,Depolarizing,0.01,0.06415477799600922,0.04279733598771757,0.008582564987591468,0.43620753310660726,0.5740224922755831
7,131072,Depolarizing,0.01,0.11389896098989993,0.023432015731033602,0.033658847998594865,0.5410985032047517,0.46831119984551683
8,131072,Depolarizing,0.01,0.07184013200458139,0.012530820074578399,0.016511531997821294,0.6371563567217924,0.3710086301605708
9,131072,Depolarizing,0.01,0.13855366500501987,0.006646179232569456,0.06823050999082625,0.721006971780452,0.2856744257578703
10,131072,Depolarizing,0.01,0.38879691700276453,0.00411704637549806,0.3097585970099317,0.791148322362028,0.21401013114747747
11,131072,Depolarizing,0.01,1.5068235279904911,0.0030834271384749695,1.5156409839983098,0.8476084439416463,0.15615283123505427
12,131072,Depolarizing,0.01,8.899256263990537,0.0028376630165414733,10.118162643004325,0.89149064800831,0.11110299715390931
3,131072,AmplitudeDamping,0.01,0.06857932399725541,0.21184286391558557,0.011943609002628364,0.1248483582212464,0.8948578027052619
4,131072,AmplitudeDamping,0.01,0.0451064510125434,0.13448958572568429,0.0021171140106162056,0.2099821742133548,0.8134333203345449
5,131072,AmplitudeDamping,0.01,0.051160413000616245,0.08575147508423457,0.0035672420053742826,0.30497510918804904,0.7206861847156825
6,131072,AmplitudeDamping,0.01,0.06461372500052676,0.053658293804483226,0.008965690998593345,0.4033663236989591,0.6229823638462477
7,131072,AmplitudeDamping,0.01,0.11653333299909718,0.03496033332345276,0.033335682994220406,0.4994855655059152,0.5260854608569356
8,131072,AmplitudeDamping,0.01,0.08580632299708668,0.024031219443182747,0.018593191998661496,0.5889916676662261,0.4346209366492332
9,131072,AmplitudeDamping,0.01,0.20781611801066902,0.017214095200662267,0.06328783300705254,0.6690290427096766,0.35183504197786913
10,131072,AmplitudeDamping,0.01,0.40511563800100703,0.012635396824872518,0.3299606039945502,0.7381413011889848,0.279586626074256
11,131072,AmplitudeDamping,0.01,1.989159937002114,0.010116093826831301,1.7921445510000922,0.7960327106667048,0.21851523968111392
12,131072,AmplitudeDamping,0.01,7.966167696999037,0.00818582481616905,8.233021949010435,0.8432595569950456,0.1683141079041454
3,131072,PhaseDamping,0.01,0.05343538500892464,0.22357688437670895,0.009763252004631795,0.06731291212577581,0.9397344809107678
4,131072,PhaseDamping,0.01,0.043854253002791665,0.14686551775214718,0.002012062002904713,0.11804835872608328,0.8921365171425062
5,131072,PhaseDamping,0.01,0.056221202001324855,0.0960932438922363,0.003270047003752552,0.17828468161132996,0.8350560409909176
6,131072,PhaseDamping,0.01,0.06333461499889381,0.06105277570085272,0.008402506995480508,0.24533881601682145,0.7709209280169691
7,131072,PhaseDamping,0.01,0.11844992999976967,0.03773681938505534,0.033384451002348214,0.31639123758275767,0.7023018498247893
