n_bits,shots,noise,probability,time_sampling,l2_pop,time_density,fro_norm,fidelity
3,4096,none,0.0,0.005790321996755665,0.010692133027567476,0.0012863640004070476,3.510833468576701e-16,0.9999999999999998
4,4096,none,0.0,0.0024955720000434667,0.01633736818781407,0.0010545490004005842,3.1401849173675503e-16,1.0
5,4096,none,0.0,0.0026713580009527504,0.016109581724925413,0.0013869850008632056,4.1540741810552243e-16,0.9999999999999999
6,4096,none,0.0,0.0038103689985291567,0.01367623395914152,0.001967645999684464,3.8459253727671276e-16,1.0
7,4096,none,0.0,0.005073620002804091,0.013601941676937616,0.003697524000017438,4.710277376051325e-16,0.9999999999999988
8,4096,none,0.0,0.006873657999676652,0.015613551714179181,0.010046742998383706,4.440892098500626e-16,1.0
9,4096,none,0.0,0.009853595998720266,0.015320675282946516,0.024955552999017527,5.20740757162067e-16,1.0000000000000058
10,4096,none,0.0,0.010559839000052307,0.01586350561010079,0.11816048900072929,4.965068306494546e-16,1.0
11,4096,none,0.0,0.012361177999991924,0.01563262753279504,0.5940952599994489,5.661048867003676e-16,1.0000000000000018
12,4096,none,0.0,0.014543240002240054,0.016020536832541912,3.0538359980018868,5.438959822042073e-16,1.0
3,4096,Depolarizing,0.01,0.003236798002035357,0.013487526676692512,0.009773883000889327,0.09632625706948238,0.912045420156403
4,4096,Depolarizing,0.01,0.003779779999604216,0.013693655920293124,0.00214361899998039,0.1738203645393688,0.8364901544587345
5,4096,Depolarizing,0.01,0.005595262999122497,0.021611617164385477,0.0032462700000905897,0.26418344162190255,0.7470376919837196
6,4096,Depolarizing,0.01,0.012229256000864552,0.012927931928587624,0.00779392100230325,0.3614180728012463,0.6498023910555082
7,4096,Depolarizing,0.01,0.04105527099818573,0.01525830077343725,0.03048057200066978,0.4597915215083297,0.5506844197474101
8,4096,Depolarizing,0.01,0.019585637001000578,0.016402907258047682,0.016553266999835614,0.554389955692194,0.454816936127663
9,4096,Depolarizing,0.01,0.08241875499879825,0.015498603757913943,0.06439356800183305,0.6414548390455241,0.3661981571771122
10,4096,Depolarizing,0.01,0.331694737997168,0.01559827426265946,0.3297472240010393,0.7185081661330189,0.28752680298735245
11,4096,Depolarizing,0.01,1.6636679009970976,0.0155523518638994,1.542770357002155,0.7843008689632226,0.22022359176494644
12,4096,Depolarizing,0.01,3.668851120997715,0.015540850061366747,7.777465405997646,0.8386348202382442,0.16459519183313925
3,4096,AmplitudeDamping,0.01,0.0028439000016078353,0.025624300319144387,0.00942404799934593,0.08342068179250026,0.9403671791857953
4,4096,AmplitudeDamping,0.01,0.003506238997943001,0.032215463287513055,0.0018280840013176203,0.1402221015669986,0.8894739991011651
5,4096,AmplitudeDamping,0.01,0.005283815000439063,0.03196657676432209,0.0029393200020422228,0.20535639547570525,0.8278832236976583
6,4096,AmplitudeDamping,0.01,0.011914263999642571,0.025749603268428144,0.007564542996988166,0.276319202181449,0.7585137028607417
7,4096,AmplitudeDamping,0.01,0.04939213500256301,0.02362746501354533,0.030288680998637574,0.3504121185818007,0.6843405187680692
8,4096,AmplitudeDamping,0.01,0.018165617999329697,0.022032254243512652,0.015363620997959515,0.42509333018491874,0.6082018585449185
9,4096,AmplitudeDamping,0.01,0.06434072200136143,0.022078197049875802,0.06208806700306013,0.49814584248133437,0.5326452506063903
10,4096,AmplitudeDamping,0.01,0.30023026300114,0.018989684065068416,0.3083325360021263,0.5677631451120332,0.4598194874026653
11,4096,AmplitudeDamping,0.01,1.5994533220000449,0.017628914256382515,1.567459541001881,0.6325810097741386,0.3914136664927118
12,4096,AmplitudeDamping,0.01,14.461817290000909,0.017173345112372045,7.398848196997278,0.6916700051530112,0.3286400391537041
3,4096,PhaseDamping,0.01,0.014950452001357917,0.012601062402894473,0.009536380999634275,0.04750919494120867,0.9609781040920417
4,4096,PhaseDamping,0.01,0.0035744939996220637,0.013323011376603763,0.001870535001216922,0.08299037250489076,0.9283362475067758
5,4096,PhaseDamping,0.01,0.0051667600018845405,0.01605398654567734,0.002990564000356244,0.12537478342894445,0.8881937105342042
6,4096,PhaseDamping,0.01,0.0119732320017647,0.014197989598192101,0.007521737999923062,0.17353361337369344,0.8417137583837063
7,4096,PhaseDamping,0.01,0.036863697998342104,0.016794319845624843,0.030491494999296265,0.22619523322785168,0.7901676383564088
8,4096,PhaseDamping,0.01,0.023550973000965314,0.01586726250905461,0.015468781999516068,0.2820498060393538,0.7348789586459723
9,4096,PhaseDamping,0.01,0.0643568969971966,0.016529600468565192,0.06344765799804009,0.3398114634846217,0.6771700873987947
10,4096,PhaseDamping,0.01,0.3005828850000398,0.015211352044380093,0.3104603439969651,0.39826549904046255,0.6183133833038033
11,4096,PhaseDamping,0.01,1.8672829440001806,0.015344000353975262,1.5300680179971096,0.45630495733505394,0.5594894805294932
12,4096,PhaseDamping,0.01,12.809495604000404,0.015723869324320915,7.750240409997787,0.5129573672205866,0.501754161912997
3,4096,BitFlip,0.01,0.0029741389989794698,0.02044668624629893,0.009484414000326069,0.15191590751996528,0.8704371397883174
4,4096,BitFlip,0.01,0.0036158299990347587,0.01581081529169158,0.0019385819978197105,0.27225117101223884,0.7554710136509637
5,4096,BitFlip,0.01,0.005340353000065079,0.015344000353975262,0.003079814003285719,0.40187476091646046,0.6269655009340969
6,4096,BitFlip,0.01,0.011970273000770248,0.01904296875,0.007670422000956023,0.5274943399617308,0.4990207760624533
7,4096,BitFlip,0.01,0.03954761100249016,0.015262206648523227,0.03191514099671622,0.6400839522760611,0.38200712746794185
8,4096,BitFlip,0.01,0.019724837999092415,0.013943828428997692,0.035353052997379564,0.7349426634344105,0.28199609032920014
9,4096,BitFlip,0.01,0.06698025899822824,0.015904782690334306,0.06270703299742308,0.8108517036350704,0.20123413175691612
10,4096,BitFlip,0.01,0.30100334800226847,0.01568591641036036,0.3137590129990713,0.868952930650034,0.13914153532501505
11,4096,BitFlip,0.01,1.4704430560013861,0.01564025134574899,1.8969503500011342,0.9117006960255942,0.09342611649529847
12,4096,BitFlip,0.01,3.6068375640024897,0.015502449088269086,7.513663007001014,0.9420465212621765,0.06104501336264325
3,4096,none,0.0,0.0022986129988566972,0.021625402722439988,0.008959929000411648,3.510833468576701e-16,0.9999999999999998
4,4096,none,0.0,0.00227692900080001,0.012840033000297565,0.0010273230000166222,3.1401849173675503e-16,1.0
5,4096,none,0.0,0.0026937779985019006,0.01342107434266089,0.00132711200058111,4.1540741810552243e-16,0.9999999999999999
6,4096,none,0.0,0.0036532340018311515,0.016758791310283704,0.002044172000751132,3.8459253727671276e-16,1.0
7,4096,none,0.0,0.0053305319997889455,0.016504339630034736,0.0035163140018994454,4.710277376051325e-16,0.9999999999999988
8,4096,none,0.0,0.006959143000131007,0.01649350171294388,0.007357550999586238,4.440892098500626e-16,1.0
9,4096,none,0.0,0.010669306997442618,0.015479362777487654,0.026396895002108067,5.20740757162067e-16,1.0000000000000058
10,4096,none,0.0,0.010574517997156363,0.01556001500891425,0.11174247799863224,4.965068306494546e-16,1.0
11,4096,none,0.0,0.01215049500024179,0.01586350561010079,0.5834329120007169,5.661048867003676e-16,1.0000000000000018
12,4096,none,0.0,0.014250969001295744,0.015605914857907117,2.9496391959983157,5.438959822042073e-16,1.0
