n_bits,shots,noise,probability,time_sampling,l2_pop,time_density,fro_norm,fidelity
3,8192,none,0.0,0.006201569995027967,0.015291468910927341,0.0009524699999019504,3.510833468576701e-16,0.9999999999999998
4,8192,none,0.0,0.010280333008267917,0.012230202617448444,0.0011775549937738106,3.1401849173675503e-16,1.0
5,8192,none,0.0,0.004542583003058098,0.010372385637816407,0.001457403996028006,4.1540741810552243e-16,0.9999999999999999
6,8192,none,0.0,0.005903137993300334,0.011686917621974052,0.002054041004157625,3.8459253727671276e-16,1.0
7,8192,none,0.0,0.012837537011364475,0.011021536465132532,0.0036705539969261736,4.710277376051325e-16,0.9999999999999988
8,8192,none,0.0,0.010779421994811855,0.010867686212917473,0.08080664399312809,4.440892098500626e-16,1.0
9,8192,none,0.0,0.047703179996460676,0.01133349061370621,0.030574271993828006,5.20740757162067e-16,1.0000000000000058
10,8192,none,0.0,0.03360199899179861,0.011001237712931699,0.15502333600306883,4.965068306494546e-16,1.0
11,8192,none,0.0,0.029494608999812044,0.010544783773434674,0.7346358710055938,5.661048867003676e-16,1.0000000000000018
12,8192,none,0.0,0.01915404899045825,0.011243729433270951,2.9618559630034724,5.438959822042073e-16,1.0
3,8192,Depolarizing,0.01,0.005028210987802595,0.007914826697972327,0.010995668009854853,0.09632625706948242,0.912045420156403
4,8192,Depolarizing,0.01,0.0059383440093370155,0.011241078548067713,0.002603524990263395,0.17382036453936886,0.8364901544587345
5,8192,Depolarizing,0.01,0.010913720994722098,0.009999339558726755,0.003823557010036893,0.2641834416219026,0.7470376919837195
6,8192,Depolarizing,0.01,0.015368616994237527,0.01167798900693496,0.00892731299973093,0.3614180728012463,0.6498023910555084
7,8192,Depolarizing,0.01,0.050655932995141484,0.009988902610097062,0.036744685989106074,0.45979152150832975,0.5506844197474099
8,8192,Depolarizing,0.01,0.1869874990079552,0.011574171207161678,0.02151974399748724,0.5543899556921941,0.45481693612766283
9,8192,Depolarizing,0.01,0.10467113000049721,0.011211877444536167,0.09544325800379738,0.6414548390455252,0.366198157177112
10,8192,Depolarizing,0.01,0.8639376560022356,0.010831977808339364,0.735613608994754,0.7185081661330199,0.28752680298735234
11,8192,Depolarizing,0.01,2.2717438250110717,0.010862200252844068,2.6316672370012384,0.7843008689632177,0.2202235917649464
12,8192,Depolarizing,0.01,10.702180734995636,0.010974114304520286,9.513796965999063,0.8386348202382202,0.16459519183313917
3,8192,AmplitudeDamping,0.01,0.004959821002557874,0.024706500503810236,0.009856810997007415,0.08342068179250033,0.9403671791857953
4,8192,AmplitudeDamping,0.01,0.004937286998028867,0.02339422681619627,0.0019329109927639365,0.14022210156699857,0.8894739991011651
5,8192,AmplitudeDamping,0.01,0.007286590989679098,0.02520981009285081,0.0031414179975399747,0.20535639547570525,0.8278832236976583
6,8192,AmplitudeDamping,0.01,0.014916686996002682,0.024793198695783558,0.007770713011268526,0.2763192021814489,0.7585137028607418
7,8192,AmplitudeDamping,0.01,0.043129564000992104,0.02091859219972822,0.030930195993278176,0.35041211858180077,0.6843405187680691
8,8192,AmplitudeDamping,0.01,0.035104998998576775,0.01932338731163443,0.06337621100828983,0.4250933301849187,0.6082018585449186
9,8192,AmplitudeDamping,0.01,0.09322614800476003,0.017804698908937357,0.12775759299984202,0.49814584248133437,0.5326452506063903
10,8192,AmplitudeDamping,0.01,0.33389214098860975,0.01603634122496222,0.7594824730040273,0.5677631451120336,0.4598194874026653
11,8192,AmplitudeDamping,0.01,2.2413951700000325,0.01433065956519826,2.0136398789909435,0.6325810097741379,0.3914136664927118
12,8192,AmplitudeDamping,0.01,10.087950119006564,0.013401074386341267,10.462666170002194,0.6916700051530112,0.32864003915370427
