n_bits,shots,noise,probability,time_sampling,l2_pop,time_density,fro_norm,fidelity
3,131072,none,0.0,0.06949228599842172,0.0023844512791637556,0.0018321549869142473,2.8777593299067095e-16,0.9999999999999998
4,131072,none,0.0,0.05123874299169984,0.002120724670517126,0.001512078000814654,2.172217384091364e-16,1.0
5,131072,none,0.0,0.06365978300163988,0.002938574979787774,0.0018781420076265931,2.893194259083379e-16,1.0
6,131072,none,0.0,0.05752776499139145,0.0021360124749264056,0.002477374000591226,2.43628310082355e-16,1.0
7,131072,none,0.0,0.07732281599601265,0.0027246660479595722,0.00318266601243522,2.9134834419659634e-16,0.9999999999999986
8,131072,none,0.0,0.08641199600242544,0.0026211162159691733,0.005019917007302865,2.9627291917956094e-16,1.0
9,131072,none,0.0,0.08434081899758894,0.0027414485854203537,0.010962070999084972,3.23365438168166e-16,1.0000000000000056
10,131072,none,0.0,0.09357262900448404,0.0027433800576641782,0.038989863998722285,3.1614004236683415e-16,1.0
11,131072,none,0.0,0.08534766999946442,0.0028200496236703704,0.16596091398969293,3.26096423932479e-16,1.0000000000000018
12,131072,none,0.0,0.08660280199546833,0.0027564612839070593,0.7495514140027808,3.3622594716541207e-16,1.0
3,131072,Depolarizing,0.01,0.05109361099312082,0.0022314642189610575,0.011352287998306565,0.09632625706948247,0.912045420156403
4,131072,Depolarizing,0.01,0.06741568500001449,0.002744589188591554,0.002689350993023254,0.17382036453936897,0.8364901544587344
5,131072,Depolarizing,0.01,0.0679625019984087,0.0020558634862871358,0.0045376719936029986,0.2641834416219027,0.7470376919837194
6,131072,Depolarizing,0.01,0.06020536299911328,0.0029755421163589167,0.007722006994299591,0.36141807280124644,0.6498023910555082
7,131072,Depolarizing,0.01,0.06600941099168267,0.002808570699902256,0.008490388005157001,0.45979152150832986,0.5506844197474099
8,131072,Depolarizing,0.01,0.0882202120119473,0.0029103715228138744,0.013126678997650743,0.5543899556921941,0.45481693612766283
9,131072,Depolarizing,0.01,0.10775519500020891,0.0027425100022779505,0.03790847999334801,0.6414548390455252,0.366198157177112
10,131072,Depolarizing,0.01,0.2139473240094958,0.002807472059396606,0.13659986900165677,0.7185081661330199,0.28752680298735234
11,131072,Depolarizing,0.01,0.6538032759999624,0.0027791319735859955,0.5776724410097813,0.7843008689632177,0.22022359176494638
12,131072,Depolarizing,0.01,2.528606512991246,0.002834666604463481,2.704524130997015,0.8386348202382202,0.16459519183313914
3,131072,AmplitudeDamping,0.01,0.05843963999359403,0.023453277502733176,0.010329229000490159,0.08342068179250034,0.940367179185795
4,131072,AmplitudeDamping,0.01,0.06808182199893054,0.02450784076926778,0.002412458008620888,0.14022210156699863,0.889473999101165
5,131072,AmplitudeDamping,0.01,0.055593147000763565,0.024510089850540207,0.004092060000402853,0.20535639547570533,0.8278832236976581
6,131072,AmplitudeDamping,0.01,0.06254962499951944,0.02253256654596549,0.00619892799295485,0.27631920218144895,0.7585137028607416
7,131072,AmplitudeDamping,0.01,0.07903130400518421,0.01977097497314175,0.0076043610024498776,0.3504121185818009,0.6843405187680691
8,131072,AmplitudeDamping,0.01,0.07033147499896586,0.016592324716076228,0.011624197999481112,0.42509333018491874,0.6082018585449186
9,131072,AmplitudeDamping,0.01,0.0946335529879434,0.014210271121617856,0.034659942000871524,0.49814584248133437,0.5326452506063902
10,131072,AmplitudeDamping,0.01,0.20923492399742827,0.011713314782776964,0.12223712100239936,0.5677631451120336,0.4598194874026653
11,131072,AmplitudeDamping,0.01,0.6143345140008023,0.009728558050299398,0.5838462520041503,0.6325810097741379,0.3914136664927118
12,131072,AmplitudeDamping,0.01,2.5423011160019087,0.008007928219401054,2.6693610130023444,0.6916700051530114,0.32864003915370427
3,131072,PhaseDamping,0.01,0.05898017900472041,0.00262167133726984,0.010976361008943059,0.04750919494120869,0.9609781040920415
4,131072,PhaseDamping,0.01,0.05468595000274945,0.0012038014479563,0.0025445089995628223,0.08299037250489089,0.9283362475067756
5,131072,PhaseDamping,0.01,0.06806538099772297,0.002815959809060077,0.003656180007965304,0.12537478342894456,0.8881937105342039
6,131072,PhaseDamping,0.01,0.06935492699267343,0.0028819526602188775,0.005822506995173171,0.1735336133736937,0.8417137583837062
7,131072,PhaseDamping,0.01,0.12069371799589135,0.0029196766842883993,0.009709546997328289,0.2261952332278519,0.7901676383564086
8,131072,PhaseDamping,0.01,0.0743218940042425,0.0028757454045763155,0.010330295001040213,0.28204980603935365,0.7348789586459723
9,131072,PhaseDamping,0.01,0.12010220299998764,0.0027674623046524435,0.03526114599662833,0.33981146348462155,0.6771700873987945
10,131072,PhaseDamping,0.01,0.1977453500003321,0.002804899974042939,0.12190030499186832,0.39826549904045566,0.6183133833038026
11,131072,PhaseDamping,0.01,0.604560419000336,0.00281033177377774,0.5794687579909805,0.4563049573350268,0.5594894805294941
12,131072,PhaseDamping,0.01,2.539662707989919,0.0027174999429791366,2.661882678992697,0.5129573672204749,0.5017541619129984
3,131072,BitFlip,0.01,0.06342896899150219,0.0028304333947585083,0.010817731992574409,0.1519159075199653,0.8704371397883173
4,131072,BitFlip,0.01,0.05606711099972017,0.0029156667266836394,0.007379956005024724,0.2722511710122389,0.7554710136509637
5,131072,BitFlip,0.01,0.07070668200321961,0.003442894782554403,0.0039163740002550185,0.40187476091646035,0.6269655009340966
6,131072,BitFlip,0.01,0.0687012199923629,0.0028669677008279553,0.005823072002385743,0.5274943399617313,0.4990207760624531
7,131072,BitFlip,0.01,0.07239696200122125,0.0028548415482793224,0.007565997002529912,0.6400839522760612,0.38200712746794174
8,131072,BitFlip,0.01,0.06820437998976558,0.0027604916475417016,0.010371969998232089,0.7349426634344105,0.28199609032920026
9,131072,BitFlip,0.01,0.11222812699270435,0.002783840508006709,0.036185459000989795,0.8108517036350703,0.20123413175691618
10,131072,BitFlip,0.01,0.1981464650016278,0.0027876224900925386,0.12831646400445607,0.868952930650034,0.13914153532501514
11,131072,BitFlip,0.01,0.6073236020019976,0.0027935880027864218,0.5797270500042941,0.911700696025595,0.09342611649529847
12,131072,BitFlip,0.01,2.558216801000526,0.0027969406136216703,2.6865448629978346,0.942046521262153,0.06104501336264328
3,131072,Depolarizing,0.1,0.059807935991557315,0.001833500817669956,0.011254241995629855,0.623219076867888,0.4221760546833265
4,131072,Depolarizing,0.1,0.05264118200284429,0.0026903759281166773,0.0031332660000771284,0.8242196502071266,0.206149257140417
5,131072,Depolarizing,0.1,0.06489359700935893,0.0027759256082194404,0.00412986999435816,0.927052871531299,0.08950375083760559
6,131072,Depolarizing,0.1,0.07759673600958195,0.002930362941445712,0.006193476001499221,0.9715986888902336,0.03669730109919672
7,131072,Depolarizing,0.1,0.07210851399577223,0.002760723583535229,0.00779845000943169,0.9891086360092656,0.014962316124140777
8,131072,Depolarizing,0.1,0.0690737109980546,0.002742913232989574,0.010845946002518758,0.995733838849101,0.006267826623814688
9,131072,Depolarizing,0.1,0.09728080801141914,0.0027351991228951027,0.03549896299955435,0.9982598970345132,0.0027301543729423916
10,131072,Depolarizing,0.1,0.20413623200147413,0.0027128264596050626,0.11786810899502598,0.9992577759820248,0.0012341617543593637
11,131072,Depolarizing,0.1,0.6114865619892953,0.0027992912902184384,0.5761535580095369,0.9996704561344147,0.0005746649888968833
12,131072,Depolarizing,0.1,2.5447358039964456,0.0028001437026852235,2.676205257012043,0.9998488842288868,0.0002734477238432155
3,131072,AmplitudeDamping,0.1,0.05607062499620952,0.1568215515152814,0.010562572002527304,0.5537292775928218,0.5896381531647995
4,131072,AmplitudeDamping,0.1,0.06209100999694783,0.16780860850581117,0.0027440690028015524,0.7388617074026894,0.39095157500166866
5,131072,AmplitudeDamping,0.1,0.0659671659959713,0.16191832576495252,0.0037355230015236884,0.8637869011252359,0.2416420229700857
6,131072,AmplitudeDamping,0.1,0.0629916059988318,0.15055989865656833,0.005968837009277195,0.941418108650432,0.14150723214736058
7,131072,AmplitudeDamping,0.1,0.07521147798979655,0.13679147557180285,0.0074730579945025966,0.9862713265078964,0.07955113339303348
8,131072,AmplitudeDamping,0.1,0.08019859199703205,0.12285237702462035,0.010435166987008415,1.010414429134099,0.043380796336522955
9,131072,AmplitudeDamping,0.1,0.10921494300418999,0.10873569773257849,0.034771671998896636,1.0223966778977325,0.023132673253562573
10,131072,AmplitudeDamping,0.1,0.19568783999420702,0.09682262876340676,0.1173943239991786,1.027678614191651,0.01213556780393437
