n_bits,shots,noise,probability,time_sampling,l2_pop,time_density,fro_norm,fidelity
3,16384,none,0.0,0.00663633800286334,0.2520531152841068,0.0013358730066101998,2.497404505479342e-15,1.0000000000000004
4,16384,none,0.0,0.00673164299223572,0.17687080523231202,0.0017117359966505319,6.6785394297581636e-15,0.9999999999999969
5,16384,none,0.0,0.007408231002045795,0.12540738953320527,0.0019899550097761676,1.4892034130546408e-14,0.9999999999999908
6,16384,none,0.0,0.008056779988692142,0.08948648988260492,0.002677131997188553,1.1455967356184344e-13,1.000000000000085
7,16384,none,0.0,0.009133495012065396,0.061965985592862496,0.003655403997981921,1.3852189133902164e-13,1.0000000000001024
8,16384,none,0.0,0.010317312000552192,0.04524463306655508,0.005681169001036324,1.3039931043402584e-12,1.0000000000009774
9,16384,none,0.0,0.012406181995174848,0.03277877709559015,0.013299918005941436,6.600651850579229e-12,0.9999999999950666
10,16384,none,0.0,0.013292793009895831,0.023362994982036006,0.04342210400500335,2.3420264297560534e-11,0.9999999999824927
11,16384,none,0.0,0.01658661499095615,0.017544820813046452,0.19588192700757645,5.508336555954485e-11,1.0000000000412825
12,16384,none,0.0,0.023092100993380882,0.013359869339926465,0.6520114309969358,3.4331392053931206e-10,0.9999999997429944
3,16384,Depolarizing,0.01,0.00751340200076811,0.20064260245136634,0.010758802003692836,0.12984379632137086,0.8796902110765186
4,16384,Depolarizing,0.01,0.008073414996033534,0.12545562200404764,0.0028478539898060262,0.2230356231279317,0.7872248586434965
5,16384,Depolarizing,0.01,0.009726492004119791,0.07423285300128397,0.004406827996717766,0.32783121874845633,0.6826813654120594
6,16384,Depolarizing,0.01,0.012523301993496716,0.043987592914826804,0.006509325001388788,0.4362075331066073,0.574022492275583
7,16384,Depolarizing,0.01,0.01878661099181045,0.024034370477715894,0.009694260006654076,0.5410985032047517,0.46831119984551683
8,16384,Depolarizing,0.01,0.025374210003064945,0.014503268301053853,0.014541846001520753,0.6371563567217924,0.37100863016057073
9,16384,Depolarizing,0.01,0.04620908400102053,0.010042091832848573,0.03574127299361862,0.7210069717804519,0.2856744257578703
10,16384,Depolarizing,0.01,0.141295520006679,0.008435668040008419,0.14070792899292428,0.791148322362028,0.21401013114747747
11,16384,Depolarizing,0.01,0.5659879589948105,0.00809538800370569,0.6226886420045048,0.8476084439416463,0.15615283123505427
12,16384,Depolarizing,0.01,2.6096157249994576,0.007742087632044228,2.8374791819951497,0.8914906480083099,0.11110299715390931
3,16384,AmplitudeDamping,0.01,0.01015860699408222,0.21169082907938583,0.014211419998900965,0.1248483582212464,0.894857802705262
4,16384,AmplitudeDamping,0.01,0.01056181700550951,0.13360920532237203,0.0033795420022215694,0.20998217421335483,0.8134333203345449
5,16384,AmplitudeDamping,0.01,0.019232375008868985,0.08721409135798834,0.004011184995761141,0.30497510918804904,0.7206861847156826
6,16384,AmplitudeDamping,0.01,0.012166938002337702,0.054355087909467734,0.006165653001517057,0.40336632369895914,0.6229823638462476
7,16384,AmplitudeDamping,0.01,0.031690431002061814,0.03549004087982661,0.00832030299352482,0.4994855655059153,0.5260854608569355
8,16384,AmplitudeDamping,0.01,0.02008607798779849,0.024751543199228117,0.011590711990720592,0.5889916676662261,0.4346209366492332
9,16384,AmplitudeDamping,0.01,0.04147186300542671,0.01811644352170402,0.03323010200983845,0.6690290427096766,0.35183504197786913
10,16384,AmplitudeDamping,0.01,0.1418933209934039,0.014530213431847122,0.14043388100981247,0.7381413011889848,0.279586626074256
11,16384,AmplitudeDamping,0.01,0.5729716859932523,0.01229400170771083,0.6111038369999733,0.7960327106667048,0.21851523968111392
12,16384,AmplitudeDamping,0.01,2.615262064995477,0.010893364823010648,2.83047036199423,0.8432595569950456,0.1683141079041454
3,16384,PhaseDamping,0.01,0.015336444004788063,0.22324934820270115,0.010872218990698457,0.06731291212577589,0.9397344809107677
4,16384,PhaseDamping,0.01,0.0079459590051556,0.14642671085880266,0.002820352994604036,0.11804835872608328,0.8921365171425062
5,16384,PhaseDamping,0.01,0.009815105993766338,0.09979604545548314,0.004427710999152623,0.17828468161133004,0.8350560409909173
6,16384,PhaseDamping,0.01,0.03337388500222005,0.06248146020568307,0.006256903987377882,0.24533881601682153,0.7709209280169689
7,16384,PhaseDamping,0.01,0.04014049899706151,0.03895028207919186,0.008094731005257927,0.3163912375827578,0.7023018498247893
8,16384,PhaseDamping,0.01,0.06683774500561412,0.02417053838386707,0.012323173999902792,0.3887506945290733,0.6316966803763526
9,16384,PhaseDamping,0.01,0.07249471300747246,0.016302214876889366,0.03406324300158303,0.4600366796365953,0.5613715483089131
10,16384,PhaseDamping,0.01,0.19642977899638936,0.011249029329597923,0.13440466600877699,0.5282992386959203,0.493248756648861
11,16384,PhaseDamping,0.01,0.5980801230034558,0.009030728387784024,0.6127210289996583,0.5920785116615512,0.4288416110933423
12,16384,PhaseDamping,0.01,2.6399262070044642,0.008258036340658945,2.8536231650068657,0.6504090627090483,0.369233931952615
3,16384,BitFlip,0.01,0.007895146001828834,0.18948584205258953,0.01238309100153856,0.21625570338090816,0.8044503220305135
4,16384,BitFlip,0.01,0.007807661997503601,0.10467929665607616,0.002642682011355646,0.3482262611393553,0.6749723515455246
5,16384,BitFlip,0.01,0.01006310099910479,0.057686973594173185,0.004162432000157423,0.4804011308221337,0.5422245849275741
6,16384,BitFlip,0.01,0.012233468994963914,0.03397087618324749,0.006126139996922575,0.60176291270384,0.41798239774121454
7,16384,BitFlip,0.01,0.06333303901192266,0.018798035443920818,0.00794191200111527,0.705742749912805,0.3099571915647057
8,16384,BitFlip,0.01,0.032418143993709236,0.010964605260198056,0.01155553299759049,0.7898592146343795,0.22165951366106923
9,16384,BitFlip,0.01,0.050340456000412814,0.008960326808350863,0.03343385500193108,0.8546414953975838,0.15323369276295584
