n_bits,shots,noise,probability,time_sampling,l2_pop,time_density,fro_norm,fidelity
3,262144,none,0.0,0.09369029799927375,0.0013506937521808385,0.001516612002887996,2.8777593299067095e-16,0.9999999999999998
4,262144,none,0.0,0.10058317400034866,0.0019116619929083237,0.0015798460008227266,2.172217384091364e-16,1.0
5,262144,none,0.0,0.09498503600116237,0.0019469536198474995,0.0020057949986949097,2.893194259083379e-16,0.9999999999999999
6,262144,none,0.0,0.099903151000035,0.001794140980016805,0.0026084159981110133,2.43628310082355e-16,1.0
7,262144,none,0.0,0.10584533500150428,0.00189208984375,0.0032276630008709617,2.9134834419659634e-16,0.9999999999999986
8,262144,none,0.0,0.13099589100238518,0.0019531771533678652,0.006117670000094222,2.9627291917956094e-16,1.0
9,262144,none,0.0,0.1370422250001866,0.0019060359252262677,0.012327934000495588,3.23365438168166e-16,1.0000000000000058
10,262144,none,0.0,0.13213605000055395,0.0018553551839908037,0.03627150100146537,3.1614004236683415e-16,1.0
11,262144,none,0.0,0.13358303100176272,0.0019725194260386426,0.15285561100245104,3.26096423932479e-16,1.0000000000000018
12,262144,none,0.0,0.1499215930016362,0.0019443508594999869,0.6849420500002452,3.3622594716541207e-16,1.0
3,262144,Depolarizing,0.01,0.08711398800005554,0.0025823443737988316,0.010529393002798315,0.09632625706948245,0.912045420156403
4,262144,Depolarizing,0.01,0.09201461399788968,0.0017489045319429041,0.002895244000683306,0.17382036453936892,0.8364901544587345
5,262144,Depolarizing,0.01,0.10329491700031213,0.0015578263390489775,0.004176536000159103,0.26418344162190255,0.7470376919837194
6,262144,Depolarizing,0.01,0.10292678000041633,0.0020628731599547693,0.007226869998703478,0.3614180728012463,0.6498023910555082
7,262144,Depolarizing,0.01,0.1290712190020713,0.0019438343809431973,0.009069329000340076,0.45979152150832975,0.55068441974741
8,262144,Depolarizing,0.01,0.1364404010018916,0.0020336665968280405,0.013924238999607041,0.554389955692194,0.454816936127663
9,262144,Depolarizing,0.01,0.16459460999976727,0.0019908919282328116,0.038039717997889966,0.6414548390455241,0.3661981571771121
10,262144,Depolarizing,0.01,0.25253202200110536,0.001973323390531719,0.1436829200029024,0.7185081661330189,0.28752680298735245
11,262144,Depolarizing,0.01,0.6152652799974021,0.002033745305880057,0.5287982580011885,0.7843008689632226,0.22022359176494646
12,262144,Depolarizing,0.01,2.391287097998429,0.0019666013113755344,2.458736897999188,0.8386348202382442,0.16459519183313923
3,262144,AmplitudeDamping,0.01,0.08712935299990932,0.023682869554861038,0.010500579999643378,0.08342068179250031,0.9403671791857953
4,262144,AmplitudeDamping,0.01,0.09248574999946868,0.02496794050365712,0.0024718950007809326,0.14022210156699863,0.8894739991011651
5,262144,AmplitudeDamping,0.01,0.1034396619979816,0.024810433825071865,0.00398224199670949,0.20535639547570533,0.8278832236976582
6,262144,AmplitudeDamping,0.01,0.12485922800260596,0.022146002141080964,0.006760774002032122,0.27631920218144906,0.7585137028607416
