n_bits,shots,noise,probability,time_sampling,l2_pop,time_density,fro_norm,fidelity
3,4096,none,0.0,0.0023741009936202317,0.251244546631801,0.0014149880007607862,2.497635812364283e-15,1.0000000000000004
4,4096,none,0.0,0.02091474799090065,0.1785474352385075,0.0012293179897824302,6.7079331729256196e-15,0.9999999999999971
5,4096,none,0.0,0.0034567149996291846,0.12609904640920191,0.0016153180040419102,1.4882899432205556e-14,0.9999999999999909
6,4096,none,0.0,0.004576814986648969,0.0922444571713944,0.002257385989651084,1.145160376138971e-13,1.0000000000000853
7,4096,none,0.0,0.0066772270074579865,0.06491662032876995,0.00428504501178395,1.3845524871751963e-13,1.0000000000001026
8,4096,none,0.0,0.007002603990258649,0.046991838436463325,0.012264652003068477,1.303926580583946e-12,1.0000000000009777
9,4096,none,0.0,0.014612847997341305,0.03503907066523734,0.0396397520089522,6.600747210942148e-12,0.9999999999950668
10,4096,none,0.0,0.0102387219958473,0.02737207308237102,0.18539058900205418,2.3420391474426585e-11,0.999999999982493
11,4096,none,0.0,0.01665852799487766,0.021710677808023153,1.3357742910011439,5.508321030019137e-11,1.0000000000412828
12,4096,none,0.0,0.013747452991083264,0.019201935646714536,3.2205936049867887,3.433141009275038e-10,0.9999999997429946
3,4096,Depolarizing,0.01,0.0383536709996406,0.2027681590837077,0.017391613000654615,0.12984379632137083,0.8796902110765186
4,4096,Depolarizing,0.01,0.014652423997176811,0.12607730120045688,0.0024867940082913265,0.2230356231279317,0.7872248586434965
5,4096,Depolarizing,0.01,0.007990124999196269,0.07757143358643558,0.003564006998203695,0.3278312187484563,0.6826813654120594
6,4096,Depolarizing,0.01,0.01394289500603918,0.043799944026684814,0.008652044998598285,0.43620753310660726,0.5740224922755831
7,4096,Depolarizing,0.01,0.03906639800698031,0.027124891430334277,0.03451505399425514,0.5410985032047517,0.46831119984551683
8,4096,Depolarizing,0.01,0.028661374002695084,0.02011754304145768,0.0314406899997266,0.6371563567217924,0.3710086301605708
9,4096,Depolarizing,0.01,0.10593218500434887,0.017249532942046578,0.08712860499508679,0.721006971780452,0.2856744257578703
10,4096,Depolarizing,0.01,0.47452529400470667,0.01592725237333993,0.6191278439946473,0.791148322362028,0.21401013114747747
11,4096,Depolarizing,0.01,2.4488167370000156,0.015712493075882898,2.690403607004555,0.8476084439416463,0.15615283123505427
12,4096,Depolarizing,0.01,4.605171597999288,0.015893535936288863,11.71565827500308,0.89149064800831,0.11110299715390931
3,4096,AmplitudeDamping,0.01,0.0035559130046749488,0.219715168975438,0.010703998996177688,0.1248483582212464,0.8948578027052619
4,4096,AmplitudeDamping,0.01,0.003819443008978851,0.13433237508679716,0.0025048609968507662,0.2099821742133548,0.8134333203345449
5,4096,AmplitudeDamping,0.01,0.006597195999347605,0.08223952238834789,0.003859916003420949,0.30497510918804904,0.7206861847156825
6,4096,AmplitudeDamping,0.01,0.015894853000645526,0.05456529314335544,0.009466479008551687,0.4033663236989591,0.6229823638462477
7,4096,AmplitudeDamping,0.01,0.05395083599432837,0.03963207790566997,0.04069841600721702,0.4994855655059152,0.5260854608569356
8,4096,AmplitudeDamping,0.01,0.05543221200059634,0.028868532059138575,0.13483606299269013,0.5889916676662261,0.4346209366492332
9,4096,AmplitudeDamping,0.01,0.20804237699485384,0.023052874285376713,0.13509508699644357,0.6690290427096766,0.35183504197786913
10,4096,AmplitudeDamping,0.01,1.0687476840103045,0.019897086485165222,0.7778893490030896,0.7381413011889848,0.279586626074256
11,4096,AmplitudeDamping,0.01,2.2249578279879643,0.018292634467704287,2.415448871004628,0.7960327106667048,0.21851523968111392
12,4096,AmplitudeDamping,0.01,16.06694541500474,0.017328825706850938,12.9560677989939,0.8432595569950456,0.1683141079041454
3,4096,PhaseDamping,0.01,0.028382454009260982,0.2268030928056074,0.012501780001912266,0.06731291212577581,0.9397344809107678
