n_bits,shots,noise,probability,time_sampling,l2_pop,time_density,fro_norm,fidelity
3,131072,none,0.0,0.055885066991322674,0.2497673444540333,0.0014346969983307645,2.497404505479342e-15,1.0000000000000004
4,131072,none,0.0,0.05871551000745967,0.1770002966836176,0.0016281249991152436,6.6785394297581636e-15,0.9999999999999969
5,131072,none,0.0,0.05708561600476969,0.12515436546553474,0.0019891010015271604,1.4892034130546408e-14,0.9999999999999908
6,131072,none,0.0,0.06023282000387553,0.0880560893620791,0.002797275999910198,1.1455967356184344e-13,1.000000000000085
7,131072,none,0.0,0.0619289649912389,0.06259939645826992,0.0032657480041962117,1.3852189133902164e-13,1.0000000000001024
8,131072,none,0.0,0.06855666999763343,0.04409011323276486,0.005456701997900382,1.3039931043402584e-12,1.0000000000009774
9,131072,none,0.0,0.06706979199952912,0.03126489947193078,0.012121284002205357,6.600651850579229e-12,0.9999999999950666
10,131072,none,0.0,0.07941220299107954,0.02227137223740451,0.043760321001173,2.3420264297560534e-11,0.9999999999824927
11,131072,none,0.0,0.07546705199638382,0.015864943903079375,0.18681380699854344,5.508336555954485e-11,1.0000000000412825
12,131072,none,0.0,0.09232704099849798,0.011444218952744103,0.8156690939940745,3.4331392053931206e-10,0.9999999997429944
3,131072,Depolarizing,0.01,0.052324723001220264,0.20337796163490707,0.011244619003264233,0.12984379632137086,0.8796902110765186
4,131072,Depolarizing,0.01,0.07179208999150433,0.12508243305124728,0.0031305960001191124,0.2230356231279317,0.7872248586434965
5,131072,Depolarizing,0.01,0.07281476000207476,0.07442292016169644,0.004553217993816361,0.32783121874845633,0.6826813654120594
6,131072,Depolarizing,0.01,0.07145011599641293,0.04221608112124658,0.006339195999316871,0.4362075331066073,0.574022492275583
7,131072,Depolarizing,0.01,0.06560762900335249,0.023228946789080784,0.008370557989110239,0.5410985032047517,0.46831119984551683
8,131072,Depolarizing,0.01,0.08010166199528612,0.012432814135904314,0.011827761001768522,0.6371563567217924,0.37100863016057073
9,131072,Depolarizing,0.01,0.12899088799895253,0.006593854018041759,0.041036210997845046,0.7210069717804519,0.2856744257578703
10,131072,Depolarizing,0.01,0.23793815899989568,0.00404882989801496,0.14341949998924974,0.791148322362028,0.21401013114747747
11,131072,Depolarizing,0.01,0.7022850989887957,0.003101496675354948,0.6682183340017218,0.8476084439416463,0.15615283123505427
12,131072,Depolarizing,0.01,2.9535320610011695,0.0027801161930275245,3.0903530459909234,0.8914906480083099,0.11110299715390931
3,131072,AmplitudeDamping,0.01,0.05320055400079582,0.20997871251605274,0.011542098000063561,0.1248483582212464,0.894857802705262
4,131072,AmplitudeDamping,0.01,0.061079517006874084,0.1354566558131451,0.002543829003116116,0.20998217421335483,0.8134333203345449
5,131072,AmplitudeDamping,0.01,0.057087121007498354,0.08497827999651603,0.003984440991189331,0.30497510918804904,0.7206861847156826
6,131072,AmplitudeDamping,0.01,0.05973242499749176,0.05403073861785818,0.006231240011402406,0.40336632369895914,0.6229823638462476
7,131072,AmplitudeDamping,0.01,0.07640867900045123,0.03534424374098069,0.008034379003220238,0.4994855655059153,0.5260854608569355
8,131072,AmplitudeDamping,0.01,0.06978105299640447,0.0238053614704396,0.013420491988654248,0.5889916676662261,0.4346209366492332
9,131072,AmplitudeDamping,0.01,0.12421834799170028,0.017063324652470294,0.04081586499523837,0.6690290427096766,0.35183504197786913
10,131072,AmplitudeDamping,0.01,0.22529382699576672,0.012911978829583254,0.14310401400143746,0.7381413011889848,0.279586626074256
11,131072,AmplitudeDamping,0.01,0.693070641005761,0.009977953065614857,0.671856093002134,0.7960327106667048,0.21851523968111392
12,131072,AmplitudeDamping,0.01,2.967328291008016,0.008106087178456836,3.090834287009784,0.8432595569950456,0.1683141079041454
3,131072,PhaseDamping,0.01,0.049674802998197265,0.22289966596713312,0.01086526399012655,0.06731291212577589,0.9397344809107677
4,131072,PhaseDamping,0.01,0.056786241999361664,0.1477481660969618,0.0027027160103898495,0.11804835872608328,0.8921365171425062
5,131072,PhaseDamping,0.01,0.06293323398858774,0.09638049026799068,0.003952362007112242,0.17828468161133004,0.8350560409909173
6,131072,PhaseDamping,0.01,0.0729319329984719,0.061393547697781506,0.006053147008060478,0.24533881601682153,0.7709209280169689
7,131072,PhaseDamping,0.01,0.07004385600157548,0.038283144711783214,0.00890684399928432,0.3163912375827578,0.7023018498247893
8,131072,PhaseDamping,0.01,0.08037609299935866,0.023587319235053448,0.01228093598911073,0.3887506945290733,0.6316966803763526
9,131072,PhaseDamping,0.01,0.11460307100787759,0.014292301797592248,0.042124263010919094,0.4600366796365953,0.5613715483089131
10,131072,PhaseDamping,0.01,0.22834903601324186,0.008724165108588321,0.1429526790016098,0.5282992386959203,0.493248756648861
11,131072,PhaseDamping,0.01,0.7085679070005426,0.0054641061036865704,0.6748755979933776,0.5920785116615512,0.4288416110933423
12,131072,PhaseDamping,0.01,2.9547102530050324,0.0038768436310726083,3.117830643997877,0.6504090627090483,0.369233931952615
3,131072,BitFlip,0.01,0.049911527006770484,0.18696885607525693,0.010904324008151889,0.21625570338090816,0.8044503220305135
4,131072,BitFlip,0.01,0.05974473099922761,0.10840715231530924,0.002572896992205642,0.3482262611393553,0.6749723515455246
5,131072,BitFlip,0.01,0.05909358098870143,0.059596868755465666,0.004202397001790814,0.4804011308221337,0.5422245849275741
6,131072,BitFlip,0.01,0.05996019300073385,0.032454658789335275,0.006297494008322246,0.60176291270384,0.41798239774121454
