n_bits,shots,noise,probability,time_sampling,l2_pop,time_density,fro_norm,fidelity
3,262144,none,0.0,0.11364620400127023,0.0015372804015815647,0.0026718279987107962,3.510833468576701e-16,0.9999999999999998
4,262144,none,0.0,0.10061793799104635,0.0020489718765870726,0.001180341001600027,3.1401849173675503e-16,1.0
5,262144,none,0.0,0.10916211899893824,0.0020194129650959276,0.0016035080043366179,4.1540741810552243e-16,0.9999999999999999
6,262144,none,0.0,0.14124768199690152,0.0021554963692716872,0.0023713150003459305,3.8459253727671276e-16,1.0
7,262144,none,0.0,0.15670593600952998,0.0018063064859023912,0.0038368040113709867,4.710277376051325e-16,0.9999999999999988
8,262144,none,0.0,0.21562700999493245,0.00202407707504766,0.007399608002742752,4.440892098500626e-16,1.0
9,262144,none,0.0,0.342925193006522,0.0019360781853645685,0.05258132999006193,5.20740757162067e-16,1.0000000000000058
10,262144,none,0.0,0.2971398270019563,0.0019949882001627957,0.14838152400625404,4.965068306494546e-16,1.0
11,262144,none,0.0,0.308314223002526,0.0019795522332552874,1.2459455220086966,5.661048867003676e-16,1.0000000000000018
12,262144,none,0.0,0.3493351560027804,0.0019291810778530336,4.121225690993015,5.438959822042073e-16,1.0
3,262144,Depolarizing,0.01,0.10535718000028282,0.0015974520206494052,0.011779265012592077,0.09632625706948242,0.912045420156403
4,262144,Depolarizing,0.01,0.10599488600564655,0.0017910968482341724,0.0023046620044624433,0.17382036453936886,0.8364901544587345
5,262144,Depolarizing,0.01,0.10723921901080757,0.0016793682105420845,0.0037315480003599077,0.2641834416219026,0.7470376919837195
6,262144,Depolarizing,0.01,0.14230249599495437,0.0016615973556934863,0.009642432996770367,0.3614180728012463,0.6498023910555084
7,262144,Depolarizing,0.01,0.21721830700698774,0.0018442236682857291,0.04208803700748831,0.45979152150832975,0.5506844197474099
8,262144,Depolarizing,0.01,0.20487201400101185,0.0019280492879015522,0.030323996004881337,0.5543899556921941,0.45481693612766283
9,262144,Depolarizing,0.01,0.47587597799429204,0.0018846226054861288,0.1291991420002887,0.6414548390455252,0.366198157177112
