n_bits,shots,noise,probability,time_sampling,l2_pop,time_density,fro_norm,fidelity
3,262144,none,0.0,0.11131612899771426,0.001831984283988037,0.0013163740077288821,2.8777593299067095e-16,0.9999999999999998
4,262144,none,0.0,0.11105936599778943,0.0018528043916892876,0.0015174529980868101,2.172217384091364e-16,1.0
5,262144,none,0.0,0.11199823199422099,0.0019441487755354544,0.0019140850054100156,2.893194259083379e-16,1.0
6,262144,none,0.0,0.11677511400193907,0.0018649227446224507,0.002459971990901977,2.43628310082355e-16,1.0
7,262144,none,0.0,0.12532108199957293,0.0020450122047265024,0.01228869499755092,2.9134834419659634e-16,0.9999999999999986
8,262144,none,0.0,0.1293598699994618,0.0018889878594495614,0.004952036004397087,2.9627291917956094e-16,1.0
9,262144,none,0.0,0.132263122999575,0.0020065235094294735,0.011554828000953421,3.23365438168166e-16,1.0000000000000056
10,262144,none,0.0,0.14796059498621617,0.0018855720978672502,0.03351453099458013,3.1614004236683415e-16,1.0
11,262144,none,0.0,0.17431237301207148,0.0019751513748502594,0.16762673899938818,3.26096423932479e-16,1.0000000000000018
12,262144,none,0.0,0.19290882300992962,0.001971427279711889,0.7136774620012147,3.3622594716541207e-16,1.0
3,262144,Depolarizing,0.01,0.10028165800031275,0.001253788337184374,0.011146285003633238,0.09632625706948247,0.912045420156403
4,262144,Depolarizing,0.01,0.11068970800261013,0.0017962242456338912,0.0030772340105613694,0.17382036453936897,0.8364901544587344
5,262144,Depolarizing,0.01,0.11732603500422556,0.002199615440621106,0.003937577988835983,0.2641834416219027,0.7470376919837194
6,262144,Depolarizing,0.01,0.12082934800127987,0.0019840533491456256,0.005946053002844565,0.36141807280124644,0.6498023910555082
7,262144,Depolarizing,0.01,0.1282424869859824,0.0019910600337516367,0.008972969008027576,0.45979152150832986,0.5506844197474099
8,262144,Depolarizing,0.01,0.13533099299820606,0.0019375282653738785,0.014927936004824005,0.5543899556921941,0.45481693612766283
9,262144,Depolarizing,0.01,0.16321919900656212,0.0019108244696413074,0.0352815389924217,0.6414548390455252,0.366198157177112
10,262144,Depolarizing,0.01,0.2706591699970886,0.0019484777594959751,0.11756793600216042,0.7185081661330199,0.28752680298735234
11,262144,Depolarizing,0.01,0.6847496600094019,0.0019857322250068274,0.5725320930068847,0.7843008689632177,0.22022359176494638
12,262144,Depolarizing,0.01,2.613899700008915,0.001969750986718509,2.6843836970074335,0.8386348202382202,0.16459519183313914
3,262144,AmplitudeDamping,0.01,0.10038544199778698,0.023306803830287524,0.010715551004977897,0.08342068179250034,0.940367179185795
4,262144,AmplitudeDamping,0.01,0.1068835920013953,0.02522153383982289,0.002472531996318139,0.14022210156699863,0.889473999101165
5,262144,AmplitudeDamping,0.01,0.11412882700096816,0.02462456374962718,0.003706439005327411,0.20535639547570533,0.8278832236976581
6,262144,AmplitudeDamping,0.01,0.11176021400024183,0.022482416000676957,0.005923914999584667,0.27631920218144895,0.7585137028607416
7,262144,AmplitudeDamping,0.01,0.12494548800168559,0.01966182379653987,0.008765217993641272,0.3504121185818009,0.6843405187680691
8,262144,AmplitudeDamping,0.01,0.13543556300282944,0.01684389156469392,0.012158868994447403,0.42509333018491874,0.6082018585449186
9,262144,AmplitudeDamping,0.01,0.16280789200391155,0.013873062224207103,0.035104523005429655,0.49814584248133437,0.5326452506063902
10,262144,AmplitudeDamping,0.01,0.26066328899469227,0.011619659293222735,0.11757174700323958,0.5677631451120336,0.4598194874026653
11,262144,AmplitudeDamping,0.01,0.6627811279904563,0.009491787044001675,0.5728450030001113,0.6325810097741379,0.3914136664927118
12,262144,AmplitudeDamping,0.01,2.6104942439997103,0.007754922080820252,2.6736866120045306,0.6916700051530114,0.32864003915370427
3,262144,PhaseDamping,0.01,0.09998589601309504,0.0019160567812917802,0.010827903999597766,0.04750919494120869,0.9609781040920415
4,262144,PhaseDamping,0.01,0.10679153299133759,0.0013273721377293564,0.002545862997067161,0.08299037250489089,0.9283362475067756
5,262144,PhaseDamping,0.01,0.11579260200960562,0.002320333316577949,0.0036880859988741577,0.12537478342894456,0.8881937105342039
