n_bits,shots,sim_time_s,throughput,l2_error,backend,init,method
3,1024,0.013748565994319506,74480.4949420242,0.2569231820688336,CPU,ghz,statevector
4,1024,0.03845097300654743,26631.315671143962,0.17903349902857305,CPU,ghz,statevector
5,1024,0.060231260998989455,17001.138329432957,0.13126685624645745,CPU,ghz,statevector
6,1024,0.04511947299761232,22695.300542499448,0.09286077303654817,CPU,ghz,statevector
7,1024,0.07403704800526612,13830.913408745913,0.0721070896170888,CPU,ghz,statevector
8,1024,0.07611523100058548,13453.286373027277,0.05371981460732448,CPU,ghz,statevector
9,1024,0.06434142999933101,15915.095452660082,0.04254496271639056,CPU,ghz,statevector
10,1024,0.06430239698966034,15924.756275643294,0.037619844305191844,CPU,ghz,statevector
11,1024,0.06470545900810976,15825.558085781582,0.03447141131781795,CPU,ghz,statevector
12,1024,0.048472915004822426,21125.199503642918,0.03291464755147015,CPU,ghz,statevector
13,1024,0.06468247500015423,15831.181475315507,0.032388913968314455,CPU,ghz,statevector
14,1024,0.06881336600054055,14880.829982825664,0.03197403426512676,CPU,ghz,statevector
15,1024,0.03000344699830748,34129.411865835435,0.03137183282072072,CPU,ghz,statevector
16,1024,0.025976018005167134,39420.97667919334,0.03128050269149798,CPU,ghz,statevector
17,1024,0.04825325899582822,21221.364552568997,0.031341419015392995,CPU,ghz,statevector
18,1024,0.06928019699989818,14780.558432902622,0.03125,CPU,ghz,statevector
19,1024,0.09372845500183757,10925.177417892188,0.03128050269149798,CPU,ghz,statevector
20,1024,0.1700254880124703,6022.626442483118,0.031234737483827102,CPU,ghz,statevector
21,1024,0.39597184999729507,2586.0424169217963,0.031272879807824054,CPU,ghz,statevector
22,1024,1.2097336690058,846.4673061811677,0.031246185069875306,CPU,ghz,statevector
23,1024,2.1154413190088235,484.0597518818384,0.031248092593155974,CPU,ghz,statevector
24,1024,4.593813494007918,222.90848362383147,0.031249046311131234,CPU,ghz,statevector
25,1024,8.9727553390112,114.12324991721495,0.031249523159203763,CPU,ghz,statevector
26,1024,15.921690516013769,64.31477857015736,0.031249761580511397,CPU,ghz,statevector
27,1024,31.22682923899265,32.792314332104546,0.031249880790483076,CPU,ghz,statevector
3,2048,0.0015767800068715587,1298849.5484943234,0.24625936112788735,CPU,ghz,statevector
4,2048,0.0019326220062794164,1059700.237990513,0.173727971059547,CPU,ghz,statevector
5,2048,0.002413716007140465,848484.2433581365,0.12733004443596355,CPU,ghz,statevector
6,2048,0.0030912869988242164,662507.2342939898,0.08731091368318945,CPU,ghz,statevector
7,2048,0.004234053994878195,483697.18536357884,0.06671072775431074,CPU,ghz,statevector
8,2048,0.005164741989574395,396534.8131879802,0.04901332066925627,CPU,ghz,statevector
9,2048,0.02242829100578092,91313.24359364364,0.03778426195733028,CPU,ghz,statevector
