n_bits,shots,sim_time_s,throughput,l2_error,backend,init,method
3,1024,0.0017921090038726106,571393.8146548085,0.027413415718004295,GPU,zero,statevector
4,1024,0.0018301850068382919,559506.2773293043,0.028202205230846975,GPU,zero,statevector
5,1024,0.0022202489926712587,461209.53252544435,0.03340357690720131,GPU,zero,statevector
6,1024,0.0051567740010796115,198573.7594444933,0.02833714478231818,GPU,zero,statevector
7,1024,0.0035112319892505184,291635.5293910886,0.028903610521384262,GPU,zero,statevector
8,1024,0.004225087002851069,242361.87309492315,0.030912483967469557,GPU,zero,statevector
9,1024,0.004866395000135526,210422.7050971987,0.03072682172373491,GPU,zero,statevector
10,1024,0.005643390002660453,181451.2198372357,0.03247712724280447,GPU,zero,statevector
11,1024,0.006693941992125474,152974.13709359878,0.031462897839037135,GPU,zero,statevector
12,1024,0.00746332599374,137204.2439066575,0.03066468450802262,GPU,zero,statevector
13,1024,0.008724195999093354,117374.71282240991,0.031462897839037135,GPU,zero,statevector
14,1024,0.010910117998719215,93857.82996299505,0.031035641761856844,GPU,zero,statevector
15,1024,0.012298460002057254,83262.4572368173,0.031158312760827766,GPU,zero,statevector
16,1024,0.02467780699953437,41494.77301687793,0.031219467506144103,GPU,zero,statevector
17,1024,0.030347936000907794,33741.998136854156,0.03125,GPU,zero,statevector
18,1024,0.02810723400034476,36431.902192419206,0.031219467506144103,GPU,zero,statevector
19,1024,0.02845974700176157,35980.64311452303,0.03128050269149798,GPU,zero,statevector
20,1024,0.04170299100223929,24554.59369676902,0.03126525506559008,GPU,zero,statevector
21,1024,0.06836460399790667,14978.511395039382,0.031242369673918732,GPU,zero,statevector
22,1024,0.1154231010004878,8871.707579539665,0.031246185069875306,GPU,zero,statevector
23,1024,0.20359862099576276,5029.503613491131,0.031248092593155974,GPU,zero,statevector
24,1024,0.4058418399945367,2523.150397735691,0.031249046311131234,GPU,zero,statevector
25,1024,0.8306745939917164,1232.7330189301679,0.031249523159203763,GPU,zero,statevector
26,1024,1.7093865420029033,599.0453152861319,0.031249761580511397,GPU,zero,statevector
27,1024,3.551631983005791,288.3181604681282,0.031249880790483076,GPU,zero,statevector
3,2048,0.001822478006943129,1123744.6993586181,0.024656994478423042,GPU,zero,statevector
4,2048,0.002216603999841027,923935.8947953179,0.01774013879353999,GPU,zero,statevector
5,2048,0.002602698004920967,786875.7712680497,0.02182568031115919,GPU,zero,statevector
6,2048,0.0032551510084886104,629156.6795701133,0.021705186299700068,GPU,zero,statevector
7,2048,0.0036744440003531054,557363.2363979943,0.021858427036718156,GPU,zero,statevector
8,2048,0.004438927004230209,461372.75923850446,0.02224762841776273,GPU,zero,statevector
9,2048,0.00524549100373406,390430.56189441733,0.021506558149946522,GPU,zero,statevector
10,2048,0.006334284000331536,323319.8890186812,0.022333196535213422,GPU,zero,statevector
11,2048,0.007212794997030869,283939.85976907075,0.02177099297813277,GPU,zero,statevector
12,2048,0.00889316399116069,230289.24261776774,0.022140203220223895,GPU,zero,statevector
13,2048,0.00932386500062421,219651.39991440153,0.022075497178627567,GPU,zero,statevector
14,2048,0.010235054010991007,200096.64802948147,0.0219780809275916,GPU,zero,statevector
15,2048,0.013235014994279481,154741.0411612831,0.02202143024175719,GPU,zero,statevector
16,2048,0.01940800400916487,105523.47366750806,0.022064694390029303,GPU,zero,statevector
17,2048,0.025785307996557094,79425.074165236,0.022129432018798165,GPU,zero,statevector
18,2048,0.030323189988848753,67539.06830887993,0.02215096918401124,GPU,zero,statevector
19,2048,0.029904695998993702,68484.22736244887,0.022107873872405804,GPU,zero,statevector
20,2048,0.04294126199965831,47693.05569119735,0.022107873872405804,GPU,zero,statevector
21,2048,0.06919659099366982,29596.833754243085,0.022129432018798165,GPU,zero,statevector
22,2048,0.11849481001263484,17283.457391776283,0.022124044451580453,GPU,zero,statevector
23,2048,0.2053565500100376,9972.898356053878,0.022105177625810934,GPU,zero,statevector
24,2048,0.4308159450010862,4753.77019760686,0.022095738171765716,GPU,zero,statevector
25,2048,0.8279235990048619,2473.6582004204633,0.022096412552213365,GPU,zero,statevector
26,2048,1.7109349109960021,1197.006377529452,0.022096749734719045,GPU,zero,statevector
27,2048,3.5548321349924663,576.1172179806291,0.022096918324042453,GPU,zero,statevector
3,4096,0.0024560290039516985,1667732.7480292874,0.015678314802736643,GPU,zero,statevector
4,4096,0.002804763993481174,1460372.4268850833,0.016740998767513445,GPU,zero,statevector
5,4096,0.012133109994465485,337588.6315930861,0.01664100897260935,GPU,zero,statevector
6,4096,0.003757440994377248,1090103.6120405835,0.014774038350007098,GPU,zero,statevector
7,4096,0.004453201006981544,919787.8096179492,0.014954485186634331,GPU,zero,statevector
8,4096,0.005520758000784554,741927.1048319667,0.015689715833066043,GPU,zero,statevector
9,4096,0.0063831040024524555,641694.072104461,0.014542258409995538,GPU,zero,statevector
10,4096,0.00724849799007643,565082.5875384993,0.015916021497076778,GPU,zero,statevector
11,4096,0.008579558008932509,477413.8709401459,0.015605914857907117,GPU,zero,statevector
12,4096,0.009626707003917545,425482.9817021699,0.015761730851141575,GPU,zero,statevector
13,4096,0.010992098003043793,372631.32105133956,0.015663100519868595,GPU,zero,statevector
14,4096,0.01221491199976299,335327.8353605393,0.015525501069906881,GPU,zero,statevector
15,4096,0.015112376990146004,271036.1184524968,0.015525501069906881,GPU,zero,statevector
16,4096,0.016846924991114065,243130.4230392455,0.015533177461510611,GPU,zero,statevector
17,4096,0.019448093997198157,210611.89855366296,0.015613551714179181,GPU,zero,statevector
18,4096,0.023845304996939376,171773.8565527149,0.01562881423171799,GPU,zero,statevector
19,4096,0.03599457700329367,113794.91970763254,0.01564025134574899,GPU,zero,statevector
20,4096,0.04609067100682296,88868.30915075321,0.015625,GPU,zero,statevector
21,4096,0.07151755000813864,57272.65544658449,0.015613551714179181,GPU,zero,statevector
22,4096,0.12192762599443085,33593.69926703148,0.015621184836959366,GPU,zero,statevector
23,4096,0.2075805279891938,19732.10127017901,0.015621184836959366,GPU,zero,statevector
24,4096,0.40890744401258416,10016.936741982974,0.015626907232231698,GPU,zero,statevector
25,4096,0.8297609769942937,4936.3613300269335,0.015624046296577987,GPU,zero,statevector
