n_bits,shots,noise,probability,time_sampling,l2_pop,time_density,fro_norm,fidelity
3,8192,none,0.01,0.05225407299985818,0.011590895967255098,0.0009644659985497128,3.510833468576701e-16,0.9999999999999998
4,8192,none,0.01,0.004178983999736374,0.007501118894402937,0.001062757000909187,3.1401849173675503e-16,1.0
5,8192,none,0.01,0.004565053999613156,0.010426834230499327,0.0012734539996017702,4.1540741810552243e-16,0.9999999999999999
6,8192,none,0.01,0.005486766000103671,0.012477472987481092,0.0018272769993927795,3.8459253727671276e-16,1.0
7,8192,none,0.01,0.006918144999872311,0.01041110208018574,0.0033823289995780215,4.710277376051325e-16,0.9999999999999988
8,8192,none,0.01,0.011711117000231752,0.011862822864508146,0.008104660000753938,4.440892098500626e-16,1.0
3,8192,Depolarizing,0.01,0.007379126000159886,0.017494852126315068,0.0016864919998624828,0.09632625706948238,0.912045420156403
4,8192,Depolarizing,0.01,0.0052995179994468344,0.011597322145032833,0.002045715000349446,0.1738203645393688,0.8364901544587345
5,8192,Depolarizing,0.01,0.006948846999875968,0.01056172773257972,0.0031033549985295394,0.26418344162190255,0.7470376919837196
6,8192,Depolarizing,0.01,0.014719425998919178,0.008851570796036767,0.007752752000669716,0.3614180728012463,0.6498023910555082
7,8192,Depolarizing,0.01,0.045316230000025826,0.009885434492689379,0.03136475100109237,0.4597915215083297,0.5506844197474101
8,8192,Depolarizing,0.01,0.031578299998727744,0.010554671055281878,0.015922589000183507,0.554389955692194,0.454816936127663
3,8192,AmplitudeDamping,0.01,0.0038175919999048347,0.028486095449748252,0.0016071670015662676,0.08342068179250026,0.9403671791857953
4,8192,AmplitudeDamping,0.01,0.0047419990005437285,0.03422107915049564,0.0019732199998543365,0.1402221015669986,0.8894739991011651
5,8192,AmplitudeDamping,0.01,0.007079533999785781,0.02535421254747597,0.0029070549990137806,0.20535639547570525,0.8278832236976583
6,8192,AmplitudeDamping,0.01,0.013733592999415123,0.02439391258316534,0.0074301320000813575,0.276319202181449,0.7585137028607417
7,8192,AmplitudeDamping,0.01,0.05109519799952977,0.02370805348888714,0.03166380999937246,0.3504121185818007,0.6843405187680692
8,8192,AmplitudeDamping,0.01,0.06298797999988892,0.02007824730743086,0.03732157199920039,0.42509333018491874,0.6082018585449185
3,8192,PhaseDamping,0.01,0.00397388800047338,0.007111577960756596,0.00156335800056695,0.04750919494120867,0.9609781040920417
4,8192,PhaseDamping,0.01,0.006288048998612794,0.011820037536045122,0.0018302460011909716,0.08299037250489076,0.9283362475067758
5,8192,PhaseDamping,0.01,0.006511453999337391,0.009206400212385158,0.0029023189999861643,0.12537478342894445,0.8881937105342042
6,8192,PhaseDamping,0.01,0.013596504999441095,0.010199995463501164,0.007424862998959725,0.17353361337369344,0.8417137583837063
7,8192,PhaseDamping,0.01,0.04638855200028047,0.010214594004625014,0.030483255999570247,0.22619523322785168,0.7901676383564088
8,8192,PhaseDamping,0.01,0.02526616099930834,0.011036398488570026,0.024492085998645052,0.2820498060393538,0.7348789586459723
3,8192,BitFlip,0.01,0.019470445999104413,0.009707468433628439,0.0023277909986063605,0.15191590751996528,0.8704371397883174
4,8192,BitFlip,0.01,0.005011930001273868,0.011151909761285397,0.0018735909998213174,0.27225117101223884,0.7554710136509637
5,8192,BitFlip,0.01,0.00661168900114717,0.010740800247782683,0.003079526999499649,0.40187476091646046,0.6269655009340969
6,8192,BitFlip,0.01,0.031152261999523034,0.010479578140300172,0.007562300001154654,0.5274943399617308,0.4990207760624533
7,8192,BitFlip,0.01,0.07385708099900512,0.010888233945789921,0.030665719999888097,0.6400839522760611,0.38200712746794185
8,8192,BitFlip,0.01,0.028599768000276526,0.010493787744305398,0.02288358099940524,0.7349426634344105,0.28199609032920014
3,8192,none,0.1,0.003528565001033712,0.010255359365043078,0.0010930360003840178,3.510833468576701e-16,0.9999999999999998
4,8192,none,0.1,0.01725459299996146,0.012094205152832847,0.0010804100002133055,3.1401849173675503e-16,1.0
5,8192,none,0.1,0.004435027998624719,0.0113413766106806,0.001262454001334845,4.1540741810552243e-16,0.9999999999999999
6,8192,none,0.1,0.005500684001162881,0.009094033462982995,0.0018352740007685497,3.8459253727671276e-16,1.0
7,8192,none,0.1,0.006973569999900064,0.010974114304520286,0.003384520001418423,4.710277376051325e-16,0.9999999999999988
8,8192,none,0.1,0.009936125001331675,0.010747734718288642,0.007033718999082339,4.440892098500626e-16,1.0
3,8192,Depolarizing,0.1,0.004274191000149585,0.011713662632710113,0.0018475880006008083,0.623219076867888,0.42217605468332653
4,8192,Depolarizing,0.1,0.005100397000205703,0.010008276851938298,0.0020317440012149746,0.8242196502071264,0.20614925714041707
