n_bits,shots,noise,probability,time_sampling,l2_pop,time_density,fro_norm,fidelity
3,262144,none,0.0,0.09121900500031188,0.249979392067056,0.0021379810059443116,2.497635812364283e-15,1.0000000000000004
4,262144,none,0.0,0.0955233610002324,0.17670969965234756,0.0011932509951293468,6.7079331729256196e-15,0.9999999999999971
5,262144,none,0.0,0.09950008800660726,0.1250565985604324,0.0015330729947891086,1.4882899432205556e-14,0.9999999999999909
6,262144,none,0.0,0.15187564700318035,0.08858109711522553,0.0032663230085745454,1.145160376138971e-13,1.0000000000000853
7,262144,none,0.0,0.13962700399861205,0.0623558727691142,0.004092945993761532,1.3845524871751963e-13,1.0000000000001026
8,262144,none,0.0,0.18380437001178507,0.04417938208548232,0.01723995500651654,1.303926580583946e-12,1.0000000000009777
9,262144,none,0.0,0.26513116699061356,0.03128040499783238,0.024127426993800327,6.600747210942148e-12,0.9999999999950668
10,262144,none,0.0,0.2574324689921923,0.022227666496210552,0.12580907500523608,2.3420391474426585e-11,0.999999999982493
11,262144,none,0.0,0.30367122299503535,0.015727314458899546,0.5854803830006858,5.508321030019137e-11,1.0000000000412828
12,262144,none,0.0,0.29730429100163747,0.011245794826601296,2.6917862609989243,3.433141009275038e-10,0.9999999997429946
3,262144,Depolarizing,0.01,0.08706070500193164,0.20400828351508063,0.013938846008386463,0.12984379632137083,0.8796902110765186
4,262144,Depolarizing,0.01,0.08319587701407727,0.12495804153257449,0.002462798001943156,0.2230356231279317,0.7872248586434965
5,262144,Depolarizing,0.01,0.10057127600884996,0.07496799868778757,0.003555846997187473,0.3278312187484563,0.6826813654120594
6,262144,Depolarizing,0.01,0.1273953779891599,0.041910691245699225,0.008624998008599505,0.43620753310660726,0.5740224922755831
7,262144,Depolarizing,0.01,0.1687122220027959,0.023275805426137122,0.034149737999541685,0.5410985032047517,0.46831119984551683
8,262144,Depolarizing,0.01,0.1725020939920796,0.012376482961780387,0.017199950001668185,0.6371563567217924,0.3710086301605708
9,262144,Depolarizing,0.01,0.1904995590011822,0.0063498085297875664,0.05781389700132422,0.721006971780452,0.2856744257578703
10,262144,Depolarizing,0.01,0.4252890089992434,0.0034588809035585207,0.29688492001150735,0.791148322362028,0.21401013114747747
11,262144,Depolarizing,0.01,1.5940468949993374,0.0024531261947501365,1.6117579409910832,0.8476084439416463,0.15615283123505427
12,262144,Depolarizing,0.01,9.34043981099967,0.0020760296098192637,8.987961847000406,0.89149064800831,0.11110299715390931
3,262144,AmplitudeDamping,0.01,0.0779081039945595,0.21032043981563325,0.009691782004665583,0.1248483582212464,0.8948578027052619
4,262144,AmplitudeDamping,0.01,0.08806576899951324,0.13468031941145783,0.002066205008304678,0.2099821742133548,0.8134333203345449
5,262144,AmplitudeDamping,0.01,0.09830364400113467,0.08499001702097096,0.0033203529892489314,0.30497510918804904,0.7206861847156825
6,262144,AmplitudeDamping,0.01,0.12239540999871679,0.053825625791461114,0.008361624990357086,0.4033663236989591,0.6229823638462477
7,262144,AmplitudeDamping,0.01,0.16407327800698113,0.03537713635361967,0.0336652550031431,0.4994855655059152,0.5260854608569356
8,262144,AmplitudeDamping,0.01,0.12584746499487665,0.024019461177673156,0.02252758899703622,0.5889916676662261,0.4346209366492332
9,262144,AmplitudeDamping,0.01,0.18849659399711527,0.017013058847776312,0.06557602099201176,0.6690290427096766,0.35183504197786913
10,262144,AmplitudeDamping,0.01,0.6371920550009236,0.012803557296379843,0.3295724700001301,0.7381413011889848,0.279586626074256
11,262144,AmplitudeDamping,0.01,1.7832803710043663,0.009922719078504793,1.7675203690014314,0.7960327106667048,0.21851523968111392
12,262144,AmplitudeDamping,0.01,8.114219469003729,0.00791111192699313,8.094261452992214,0.8432595569950456,0.1683141079041454
3,262144,PhaseDamping,0.01,0.08246046800923068,0.22306156931304394,0.012902101007057354,0.06731291212577581,0.9397344809107678
4,262144,PhaseDamping,0.01,0.09057969399145804,0.1474646072846835,0.002016302998526953,0.11804835872608328,0.8921365171425062
5,262144,PhaseDamping,0.01,0.10330353300378192,0.096097605283138,0.0033496309915790334,0.17828468161132996,0.8350560409909176
6,262144,PhaseDamping,0.01,0.13540220499271527,0.061104220892579546,0.00837320501159411,0.24533881601682145,0.7709209280169691
7,262144,PhaseDamping,0.01,0.17456381500232965,0.03772980129544333,0.03622757199627813,0.31639123758275767,0.7023018498247893
8,262144,PhaseDamping,0.01,0.12427952700818423,0.023252477717059336,0.019868813003995456,0.3887506945290733,0.6316966803763526
9,262144,PhaseDamping,0.01,0.2020370370009914,0.013909987976282437,0.07076798898924608,0.46003667963659534,0.5613715483089131
10,262144,PhaseDamping,0.01,0.6845031950069824,0.008395593183721697,0.34395588299958035,0.5282992386959203,0.49324875664886103
11,262144,PhaseDamping,0.01,2.1313564849988325,0.005024308211877063,1.6819599290029146,0.5920785116615513,0.4288416110933423
12,262144,PhaseDamping,0.01,9.13076335300866,0.0032952537612554603,9.342263116006507,0.6504090627090483,0.369233931952615
3,262144,BitFlip,0.01,0.1180097989999922,0.18742727513693455,0.013214232996688224,0.21625570338090813,0.8044503220305137
4,262144,BitFlip,0.01,0.08494728099321947,0.10825757483965355,0.0020323969947639853,0.3482262611393553,0.6749723515455246
5,262144,BitFlip,0.01,0.09348969900747761,0.05938406291021152,0.0036397150106495246,0.48040113082213365,0.5422245849275741
6,262144,BitFlip,0.01,0.11702030799642671,0.03221377838039956,0.00840905100631062,0.6017629127038399,0.4179823977412146
7,262144,BitFlip,0.01,0.16309511300642043,0.01677310198318162,0.03314835899800528,0.705742749912805,0.3099571915647058
8,262144,BitFlip,0.01,0.12168237200239673,0.008631637485724724,0.016957143001491204,0.7898592146343795,0.22165951366106917
9,262144,BitFlip,0.01,0.19901452299382072,0.004570656859229994,0.06729859601182397,0.8546414953975838,0.15323369276295587
10,262144,BitFlip,0.01,0.5261834039993118,0.0026981588637954262,0.3232968349911971,0.9024218977326728,0.10263768254731562
11,262144,BitFlip,0.01,1.8708502480003517,0.0021157784312661673,1.6297267159970943,0.9363200153965903,0.06675809856878404
12,262144,BitFlip,0.01,7.729608164008823,0.001984097355282425,7.949536454005283,0.9595324639933076,0.04225368614455871
3,262144,Depolarizing,0.1,0.07976650299679022,0.02816553665293111,0.013715302004129626,0.7337216663885384,0.3155463785284825
4,262144,Depolarizing,0.1,0.08538425499864388,0.004609919203742386,0.002375098003540188,0.8941321073880795,0.13581797465356546
5,262144,Depolarizing,0.1,0.09516603300289717,0.002094557139518746,0.0037227399880066514,0.9598701015492798,0.055912347629394274
6,262144,Depolarizing,0.1,0.11933548600063659,0.0019327983520702372,0.00871636500232853,0.9842037065933449,0.02372531892550113
7,262144,Depolarizing,0.1,0.17333698699076194,0.00211720165858514,0.03353648200572934,0.9934184772933876,0.010528579803412246
8,262144,Depolarizing,0.1,0.12730277499940712,0.0019901169975341023,0.035959950007963926,0.9971317351342731,0.004833630660768594
9,262144,Depolarizing,0.1,0.20301214499340858,0.0018648837294206442,0.06589596800040454,0.9987066810453887,0.002273352904235396
10,262144,Depolarizing,0.1,0.5162397870008135,0.0019999275776483648,0.39765500101202633,0.9994010111316417,0.001088229501688705
11,262144,Depolarizing,0.1,1.9674853290052852,0.001951835623959145,1.9282161879964406,0.999716816451071,0.000527585818714312
12,262144,Depolarizing,0.1,8.51090443499561,0.0019205703236944939,9.327662253999733,0.99986405328784,0.00025808755833029665
3,262144,AmplitudeDamping,0.1,0.0770720220025396,0.1683679364951348,0.009607429994503036,0.7283040781305062,0.39056325072655634
4,262144,AmplitudeDamping,0.1,0.09559096000157297,0.16927212160068042,0.0033919850102392957,0.8913081150406718,0.20606307512276814
5,262144,AmplitudeDamping,0.1,0.10497759400459472,0.1631241429928601,0.003957970999181271,0.9683065240258395,0.10899686669972367
6,262144,AmplitudeDamping,0.1,0.11814033299742732,0.15196875236572707,0.010018998000305146,1.0029678124871984,0.05979900826412582
7,262144,AmplitudeDamping,0.1,0.18294181599048898,0.13668401875168462,0.040277270003571175,1.0191195441902021,0.033541447905485314
8,262144,AmplitudeDamping,0.1,0.15279621801164467,0.12198768930913166,0.02119874898926355,1.0267688272825983,0.01879292810835523
9,262144,AmplitudeDamping,0.1,0.24917762698896695,0.10885818804207517,0.1437254549964564,1.0300621886640529,0.010392917267198206
10,262144,AmplitudeDamping,0.1,0.4937924730038503,0.0966678301145789,0.3392456569999922,1.0310304433579045,0.005658042815083297
11,262144,AmplitudeDamping,0.1,1.796602948990767,0.08570757568659879,1.810127211996587,1.0308119733367376,0.0030356723137227
12,262144,AmplitudeDamping,0.1,7.614630359996227,0.07583570998292695,7.765187826997135,1.0300578575378259,0.0016082084432914338
3,262144,PhaseDamping,0.1,0.08185755599697586,0.07558559814550678,0.014570208004442975,0.4950222204991321,0.5501547296043674
4,262144,PhaseDamping,0.1,0.08679080099682324,0.02641575091735295,0.0020214359974488616,0.687835609767639,0.35354243553962983
5,262144,PhaseDamping,0.1,0.09866126600536518,0.007882907375609724,0.003513515999657102,0.815147684739328,0.21554907630040146
6,262144,PhaseDamping,0.1,0.14254100200196262,0.0028970861475394807,0.008287699005450122,0.8909581981312588,0.1286956927385943
7,262144,PhaseDamping,0.1,0.1744025310035795,0.0019108625468442955,0.033594426000490785,0.9351598917097813,0.07629819685515167
8,262144,PhaseDamping,0.1,0.12862500399933197,0.0018174540538035595,0.01996822000364773,0.9615131404832483,0.04480935297404552
9,262144,PhaseDamping,0.1,0.2370817550108768,0.0018748451208679799,0.07070322000072338,0.9774935788911369,0.025882739635632916
10,262144,PhaseDamping,0.1,0.48611746399546973,0.0019246196812748033,0.39542416400217917,0.9871202042443499,0.01464475614609265
11,262144,PhaseDamping,0.1,1.772328140999889,0.0019516417712695407,2.0655558229918825,0.9927916900485428,0.008117344549425181
12,262144,PhaseDamping,0.1,10.68670151999686,0.0019640838616384695,10.714058666999335,0.9960456708698844,0.0044176900710959765
3,262144,BitFlip,0.1,0.1002201840019552,0.01722159603732381,0.010050762997707352,0.8573325820138169,0.20156202346120977
4,262144,BitFlip,0.1,0.13434095900447574,0.0030167382346103075,0.002179358998546377,0.9402776985672323,0.09159985014664991
5,262144,BitFlip,0.1,0.10481787900789641,0.001741282906598745,0.003919487004168332,0.9727981244373411,0.04354089991233843
6,262144,BitFlip,0.1,0.14604716400208417,0.0020042958159770113,0.011301884005661123,0.9870146358485776,0.021233860534420015
7,262144,BitFlip,0.1,0.20260946200869512,0.001982086745249453,0.03548665599373635,0.9936494921088571,0.010492831822560075
8,262144,BitFlip,0.1,0.18983110699628014,0.0018343339801122243,0.037836203002370894,0.9968567495427678,0.005218874137223722
9,262144,BitFlip,0.1,0.30719265900552273,0.0019005769685300953,0.2763804989954224,0.9984353592827706,0.0026035839547143315
10,262144,BitFlip,0.1,0.6037984619906638,0.0018957702159308957,0.42320804599148687,0.9992191639907925,0.0013005959024766833
11,262144,BitFlip,0.1,1.8693601569975726,0.001943325253287716,2.032103430989082,0.9996098913516349,0.0006500619015132251
12,262144,BitFlip,0.1,9.790926798988949,0.001953922049490171,11.225426321994746,0.9998050090711345,0.0003249858136230695
3,262144,Depolarizing,0.5,0.13888738800596911,0.001642624765929146,0.013949290994787589,0.9352441505808844,0.12515927523928536
4,262144,Depolarizing,0.5,0.16203281900379807,0.0020225595411525266,0.003108653996605426,0.9682376305794603,0.06250794583395283
5,262144,Depolarizing,0.5,0.1383636839891551,0.0018820032323522964,0.004472076005185954,0.98425052507025,0.03125045195238614
6,262144,Depolarizing,0.5,0.194998177990783,0.002128382298975116,0.011586984997848049,0.9921567147702629,0.01562502666824483
7,262144,Depolarizing,0.5,0.21095587298623286,0.0019417595987918557,0.04341909800132271,0.9960860890357406,0.00781250161484407
8,262144,Depolarizing,0.5,0.1993574299995089,0.0018833249644160173,0.03345077999983914,0.9980449638184568,0.0039062500992853785
9,262144,Depolarizing,0.5,0.2641145770030562,0.0019676739499521253,0.08225467200099956,0.9990229601855234,0.00195312500614398
10,262144,Depolarizing,0.5,0.6555214259860804,0.0019546517722777708,0.40507286199135706,0.9995115994645855,0.0009765625003659005
11,262144,Depolarizing,0.5,2.8687068369908957,0.001963624449343704,3.0563467309984844,0.9997558296066491,0.000488281250044045
12,262144,Depolarizing,0.5,9.92362542799674,0.001960984450325338,15.20085422298871,0.9998779219790347,0.00024414062493874597
3,262144,AmplitudeDamping,0.5,0.16942061799636576,0.001208699334519184,0.022865330000058748,1.1475995434354016,0.2088191787286307
4,262144,AmplitudeDamping,0.5,0.18014868099999148,0.0021119991399833424,0.0033584039920242503,1.2335147520375869,0.10552802642259435
5,262144,AmplitudeDamping,0.5,0.236544736995711,0.001656343134137369,0.012362302004476078,1.2752129642601144,0.0528920800941561
6,262144,AmplitudeDamping,0.5,0.30056152401084546,0.0021394569010036953,0.017911379007273354,1.2957078969697318,0.026458937824258632
7,262144,AmplitudeDamping,0.5,0.35511224300717004,0.002061581837591754,0.07020770199596882,1.3058602068388874,0.013230744100225292
8,262144,AmplitudeDamping,0.5,0.7181715530023212,0.0018013935961540704,0.8388447629986331,1.3109119757042873,0.0066155035835994275
9,262144,AmplitudeDamping,0.5,0.854418920003809,0.00193445400887845,0.9522240019869059,1.3134317234854185,0.0033077662143670985
10,262144,AmplitudeDamping,0.5,1.7347568819968728,0.001974119656279458,2.5083103039942216,1.3146900613232813,0.001653884773429315
11,262144,AmplitudeDamping,0.5,4.8312565319938585,0.0019239088225504327,3.8156440669990843,1.3153188462811738,0.0008269425860715234
12,262144,AmplitudeDamping,0.5,14.468395178992068,0.0019351384345925925,14.77317656800733,1.3156331425247465,0.000413471317434573
3,262144,PhaseDamping,0.5,0.15325042900803965,0.0010736594044343432,0.02143539401004091,0.9103713244783189,0.14963738685855388
4,262144,PhaseDamping,0.5,0.14951806000317447,0.0013852867099722174,0.003557457006536424,0.9563823330487818,0.07467975431644988
5,262144,PhaseDamping,0.5,0.23512476599717047,0.0020934035384638896,0.005640457005938515,0.9783660116997703,0.03740670315481308
6,262144,PhaseDamping,0.5,0.26660313599859364,0.0020465841942151532,0.014330610007164069,0.9892329356003885,0.018712466257449455
7,262144,PhaseDamping,0.5,0.34430349299509544,0.002130650999648285,0.06229595599870663,0.9946298892959798,0.009357375067071322
8,262144,PhaseDamping,0.5,0.31914850500470493,0.0019918638204840483,0.047314063005615026,0.997318415949725,0.0046788303103246585
9,262144,PhaseDamping,0.5,0.6533920689980732,0.0019344765762234694,0.591396366013214,0.998660090165433,0.002339433003300098
10,262144,PhaseDamping,0.5,1.4771483290096512,0.0019150464171093793,0.9982276399969123,0.9993302674053579,0.0011697187326872127
11,262144,PhaseDamping,0.5,3.1774734560021898,0.0019973865622380303,2.6991987469955347,0.9996651895602209,0.0005848596452605018
12,262144,PhaseDamping,0.5,10.451403138999012,0.0019149476311083634,10.713421206994099,0.9998326084822384,0.00029242985740336947
3,262144,BitFlip,0.5,0.10216185200260952,0.0010176308246665382,0.01353337500768248,0.9354143466934858,0.12500000000000006
4,262144,BitFlip,0.5,0.10701186799269635,0.0013937277195255097,0.002248265009257011,0.9682458365518515,0.06249999999999982
5,262144,BitFlip,0.5,0.12774421500216704,0.0021399397662585657,0.004150801003561355,0.9842509842514675,0.031249999999999716
6,262144,BitFlip,0.5,0.1474741650017677,0.0020773259612975573,0.009993055995437317,0.9921567416493058,0.01562500000000133
7,262144,BitFlip,0.5,0.23433173599187285,0.0017617790186484046,0.040120327001204714,0.9960860906569289,0.007812500000000801
8,262144,BitFlip,0.5,0.2286776630062377,0.001908629940718851,0.031376416998682544,0.998044963917933,0.00390625000000382
