n_bits,shots,noise,probability,time_sampling,l2_pop,time_density,fro_norm,fidelity
3,32768,none,0.0,0.011154602998431074,0.004398979478851932,0.0010258010006509721,3.510833468576701e-16,0.9999999999999998
4,32768,none,0.0,0.012881837999884738,0.006406511208396044,0.001125050002883654,3.1401849173675503e-16,1.0
5,32768,none,0.0,0.013386876998993102,0.0057716155319673225,0.0014201250014593825,4.1540741810552243e-16,0.9999999999999999
6,32768,none,0.0,0.016406165002990747,0.005172887028908705,0.0019795299995166715,3.8459253727671276e-16,1.0
7,32768,none,0.0,0.021127650998096215,0.005083902447011426,0.003532499002176337,4.710277376051325e-16,0.9999999999999988
8,32768,none,0.0,0.028055414000846213,0.005680041956696218,0.006918407998455223,4.440892098500626e-16,1.0
9,32768,none,0.0,0.0407219709995843,0.005638901962485398,0.023691580001468537,5.20740757162067e-16,1.0000000000000058
10,32768,none,0.0,0.04329938500086428,0.005417880111882382,0.11566478899840149,4.965068306494546e-16,1.0
11,32768,none,0.0,0.04682373799732886,0.005399800659844899,0.584410764000495,5.661048867003676e-16,1.0000000000000018
12,32768,none,0.0,0.0491511129985156,0.005541440961538935,3.0603474769995955,5.438959822042073e-16,1.0
3,32768,Depolarizing,0.01,0.011696690999087878,0.0040204520398863415,0.00976720900143846,0.09632625706948238,0.912045420156403
4,32768,Depolarizing,0.01,0.013008131998503814,0.004459744937043839,0.002189102000556886,0.1738203645393688,0.8364901544587345
5,32768,Depolarizing,0.01,0.01566385199839715,0.0068684214849244985,0.0033722470034263097,0.26418344162190255,0.7470376919837196
6,32768,Depolarizing,0.01,0.02433340099742054,0.005434014496737965,0.007787507001921767,0.3614180728012463,0.6498023910555082
7,32768,Depolarizing,0.01,0.0592797330027679,0.005708663550336876,0.030569340000511147,0.4597915215083297,0.5506844197474101
8,32768,Depolarizing,0.01,0.03469454899823177,0.00552005543416633,0.015833547000511317,0.554389955692194,0.454816936127663
9,32768,Depolarizing,0.01,0.08431391200065264,0.005725767832493217,0.06272284499937086,0.6414548390455241,0.3661981571771122
10,32768,Depolarizing,0.01,0.3256072039985156,0.005581297114089029,0.8224072140001226,0.7185081661330189,0.28752680298735245
11,32768,Depolarizing,0.01,2.122187501998269,0.005550341261862265,1.5750658709985146,0.7843008689632226,0.22022359176494644
12,32768,Depolarizing,0.01,8.227097573999345,0.005573783135718785,7.443502342997817,0.8386348202382442,0.16459519183313925
