n_bits,shots,noise,probability,time_sampling,l2_pop,time_density,fro_norm,fidelity
3,524288,none,0.0,0.1885848350066226,0.0012111919130052332,0.0033399200037820265,3.510833468576701e-16,0.9999999999999998
4,524288,none,0.0,0.2027688539965311,0.0013728750446602622,0.004575151993776672,3.1401849173675503e-16,1.0
5,524288,none,0.0,0.22732803200779017,0.0012342948031177198,0.0024233019939856604,4.1540741810552243e-16,0.9999999999999999
6,524288,none,0.0,0.2502950040070573,0.0011718853065911695,0.002070271992124617,3.8459253727671276e-16,1.0
7,524288,none,0.0,0.3863275860057911,0.0014988265467390112,0.005407422999269329,4.710277376051325e-16,0.9999999999999988
8,524288,none,0.0,0.46301085999584757,0.001340031533698975,0.04373087399289943,4.440892098500626e-16,1.0
9,524288,none,0.0,1.21158016899426,0.0013720904506617335,0.6095497919886839,5.20740757162067e-16,1.0000000000000058
10,524288,none,0.0,0.831865279993508,0.0013626587742552568,0.3990451729914639,4.965068306494546e-16,1.0
11,524288,none,0.0,0.8782815890008351,0.001366982274319987,1.5698422370041953,5.661048867003676e-16,1.0000000000000018
12,524288,none,0.0,0.8713649339915719,0.0013800613091467647,6.406656691993703,5.438959822042073e-16,1.0
3,524288,Depolarizing,0.01,0.31109496600402053,0.0010666019073315327,0.02168700599577278,0.09632625706948242,0.912045420156403
4,524288,Depolarizing,0.01,0.3674937440082431,0.001126485980232011,0.003563343998393975,0.17382036453936886,0.8364901544587345
5,524288,Depolarizing,0.01,0.3854346479929518,0.0012996170285005,0.007142399001168087,0.2641834416219026,0.7470376919837195
6,524288,Depolarizing,0.01,0.42782179899222683,0.0012620019469413819,0.014936923995264806,0.3614180728012463,0.6498023910555084
7,524288,Depolarizing,0.01,0.5788534379971679,0.0012590870489737845,0.04737136501353234,0.45979152150832975,0.5506844197474099
8,524288,Depolarizing,0.01,0.3681595410016598,0.0013608768758878145,0.024424859991995618,0.5543899556921941,0.45481693612766283
9,524288,Depolarizing,0.01,0.7038425259961514,0.001447412469077113,0.24908798999967985,0.6414548390455252,0.366198157177112
10,524288,Depolarizing,0.01,1.1870894680032507,0.0013529892845197448,0.9226985400018748,0.7185081661330199,0.28752680298735234
11,524288,Depolarizing,0.01,3.203209858009359,0.0014137841391633813,2.427192125993315,0.7843008689632177,0.2202235917649464
12,524288,Depolarizing,0.01,9.477091252003447,0.0013942079229350218,12.239331226010108,0.8386348202382202,0.16459519183313917
3,524288,AmplitudeDamping,0.01,0.3383135300100548,0.02242953094355661,0.018902647992945276,0.08342068179250033,0.9403671791857953
4,524288,AmplitudeDamping,0.01,0.38381301499612164,0.024546646479926083,0.0030184159986674786,0.14022210156699857,0.8894739991011651
5,524288,AmplitudeDamping,0.01,0.4187861680111382,0.02455711520296851,0.00860152899986133,0.20535639547570525,0.8278832236976583
6,524288,AmplitudeDamping,0.01,0.4437420989997918,0.02220488323166741,0.014296798995928839,0.2763192021814489,0.7585137028607418
7,524288,AmplitudeDamping,0.01,0.5772100850008428,0.01969674208624492,0.05281884800933767,0.35041211858180077,0.6843405187680691
8,524288,AmplitudeDamping,0.01,1.5653266070003156,0.016809564679100046,0.31203943099535536,0.4250933301849187,0.6082018585449186
9,524288,AmplitudeDamping,0.01,1.2238219669961836,0.014006952041580822,1.0311557850072859,0.49814584248133437,0.5326452506063903
10,524288,AmplitudeDamping,0.01,2.0522620279953117,0.011450649290093236,1.2751407509931596,0.5677631451120336,0.4598194874026653
11,524288,AmplitudeDamping,0.01,3.7327002520032693,0.009439057344870714,3.125762575000408,0.6325810097741379,0.3914136664927118
12,524288,AmplitudeDamping,0.01,11.842387363998569,0.007571185741736852,12.689221512002405,0.6916700051530112,0.32864003915370427
3,524288,PhaseDamping,0.01,0.2771746880025603,0.001278376143302168,0.01603321300353855,0.04750919494120862,0.9609781040920417
4,524288,PhaseDamping,0.01,0.3184253439976601,0.0013866726269909345,0.006219087998033501,0.08299037250489082,0.9283362475067757
5,524288,PhaseDamping,0.01,0.2658619279973209,0.00125313240642749,0.0037467039946932346,0.1253747834289445,0.8881937105342042
6,524288,PhaseDamping,0.01,0.29756864700175356,0.0014116828293695327,0.008947807000367902,0.1735336133736935,0.8417137583837064
7,524288,PhaseDamping,0.01,0.3919257910019951,0.0012388519360067938,0.036952637005015276,0.22619523322785168,0.7901676383564088
8,524288,PhaseDamping,0.01,0.4267795310006477,0.0013616358703003554,0.07378178299404681,0.28204980603935365,0.7348789586459722
9,524288,PhaseDamping,0.01,0.49306335201254115,0.0014652087829669011,0.12901402699935716,0.33981146348462155,0.6771700873987946
10,524288,PhaseDamping,0.01,1.1284249699965585,0.0014107702583132905,0.637139095008024,0.3982654990404556,0.6183133833038026
11,524288,PhaseDamping,0.01,2.8439982569980202,0.0013625813488683995,2.4290189589955844,0.4563049573350268,0.5594894805294941
12,524288,PhaseDamping,0.01,9.746139899987611,0.001403082784355357,15.762832623993745,0.5129573672204749,0.5017541619129984
3,524288,BitFlip,0.01,0.31867436999164056,0.0016568262699145988,0.01721016400551889,0.15191590751996528,0.8704371397883175
4,524288,BitFlip,0.01,0.3834762419865001,0.0011418441000048934,0.008627079994766973,0.2722511710122388,0.7554710136509637
5,524288,BitFlip,0.01,0.43367082699842285,0.0016962882578885768,0.006981355996686034,0.40187476091646024,0.6269655009340969
6,524288,BitFlip,0.01,0.432884740002919,0.0013774834323558396,0.012479883007472381,0.5274943399617312,0.4990207760624532
7,524288,BitFlip,0.01,0.5891505900071934,0.0012529262687996229,0.05275512600201182,0.6400839522760611,0.38200712746794185
8,524288,BitFlip,0.01,0.5836059059947729,0.0014377790851009496,0.2311911099968711,0.7349426634344105,0.28199609032920026
9,524288,BitFlip,0.01,0.8016777090087999,0.0013240654300657165,0.19441485199786257,0.8108517036350703,0.20123413175691618
10,524288,BitFlip,0.01,1.1140846560010687,0.001402237261511816,0.5681944520038087,0.868952930650034,0.13914153532501514
11,524288,BitFlip,0.01,2.679260956007056,0.0014124454305177838,2.2704996120010037,0.911700696025595,0.09342611649529847
12,524288,BitFlip,0.01,9.116466373001458,0.0013707720648827324,10.301632079004776,0.942046521262153,0.061045013362643286
3,524288,Depolarizing,0.1,0.2306477310048649,0.0017064407697317846,0.015449724000063725,0.6232190768678881,0.42217605468332653
4,524288,Depolarizing,0.1,0.3104071100096917,0.0013151801594095758,0.008108106994768605,0.8242196502071266,0.20614925714041704
5,524288,Depolarizing,0.1,0.35363775299629197,0.001510369636499523,0.00559022999368608,0.927052871531299,0.08950375083760562
6,524288,Depolarizing,0.1,0.3722848809993593,0.001353279648649008,0.012692320000496693,0.9715986888902336,0.036697301099196736
7,524288,Depolarizing,0.1,0.5200862889905693,0.0014327730738905278,0.04704024500097148,0.9891086360092654,0.014962316124140784
