n_bits,shots,noise,probability,time_sampling,l2_pop,time_density,fro_norm,fidelity
3,16384,none,0.0,0.0069457110002986155,0.003995822095540261,0.0013251929995021783,2.8777593299067095e-16,0.9999999999999998
4,16384,none,0.0,0.006948354002815904,0.008132576710913511,0.0020384849995025434,2.172217384091364e-16,1.0
5,16384,none,0.0,0.009921539000060875,0.006373426504983698,0.0024556470016250387,2.893194259083379e-16,0.9999999999999999
6,16384,none,0.0,0.011223116001929156,0.005879051232055189,0.0032767490010883193,2.43628310082355e-16,1.0
7,16384,none,0.0,0.01192430700029945,0.00794723673487353,0.0038949500012677163,2.9134834419659634e-16,0.9999999999999986
8,16384,none,0.0,0.009928578001563437,0.007844383031825632,0.005174175999854924,2.9627291917956094e-16,1.0
9,16384,none,0.0,0.01821201600250788,0.008187360602204088,0.011877765999088297,3.23365438168166e-16,1.0000000000000058
10,16384,none,0.0,0.013082761997793568,0.007765149629653284,0.04063980399951106,3.1614004236683415e-16,1.0
11,16384,none,0.0,0.016611758001090493,0.008058489962938968,0.17185603600228205,3.26096423932479e-16,1.0000000000000018
12,16384,none,0.0,0.024970324997411808,0.007753146732519735,0.6200181630010775,3.3622594716541207e-16,1.0
3,16384,Depolarizing,0.01,0.00790034899910097,0.010029099563693227,0.010311550002370495,0.09632625706948245,0.912045420156403
4,16384,Depolarizing,0.01,0.00830559000314679,0.007869512432268652,0.00278012399940053,0.17382036453936892,0.8364901544587345
5,16384,Depolarizing,0.01,0.010920868000539485,0.008141732958703036,0.004069980001077056,0.26418344162190255,0.7470376919837194
6,16384,Depolarizing,0.01,0.014321224996820092,0.007258309403769475,0.006635262001509545,0.3614180728012463,0.6498023910555082
7,16384,Depolarizing,0.01,0.01574799899753998,0.008523095729839442,0.008507353999448242,0.45979152150832975,0.55068441974741
8,16384,Depolarizing,0.01,0.023775756999384612,0.0071928319641876145,0.013106751001032535,0.554389955692194,0.454816936127663
9,16384,Depolarizing,0.01,0.04285046400036663,0.007987447755789,0.033113135999883525,0.6414548390455241,0.3661981571771121
10,16384,Depolarizing,0.01,0.14245044000199414,0.0078628822828066,0.1343857339998067,0.7185081661330189,0.28752680298735245
11,16384,Depolarizing,0.01,0.48491460099830874,0.007787664994012003,0.537717192000855,0.7843008689632226,0.22022359176494646
12,16384,Depolarizing,0.01,2.2709435260003374,0.007700595494565128,2.47121609199894,0.8386348202382442,0.16459519183313923
3,16384,AmplitudeDamping,0.01,0.006807017001847271,0.018560107593943876,0.010502965000341646,0.08342068179250031,0.9403671791857953
4,16384,AmplitudeDamping,0.01,0.007601327997690532,0.025081216496802398,0.0024712439990253188,0.14022210156699863,0.8894739991011651
5,16384,AmplitudeDamping,0.01,0.009558769001159817,0.027038780883274816,0.003779360999033088,0.20535639547570533,0.8278832236976582
6,16384,AmplitudeDamping,0.01,0.012879497000540141,0.02240713558814475,0.005635461999190738,0.27631920218144906,0.7585137028607416
7,16384,AmplitudeDamping,0.01,0.01878229000067222,0.021092393619585134,0.008778460000030464,0.35041211858180077,0.6843405187680691
8,16384,AmplitudeDamping,0.01,0.03261903199745575,0.01812713314526408,0.01259915899936459,0.42509333018491874,0.6082018585449185
9,16384,AmplitudeDamping,0.01,0.08631459500247729,0.01574020827656064,0.031106730002647964,0.49814584248133437,0.5326452506063902
10,16384,AmplitudeDamping,0.01,0.18466711500150268,0.014069894330103055,0.11976783999853069,0.5677631451120332,0.4598194874026653
11,16384,AmplitudeDamping,0.01,0.5086178550009208,0.0120775604708308,0.5444964490015991,0.6325810097741386,0.39141366649271186
12,16384,AmplitudeDamping,0.01,2.28055902000051,0.010914205540652887,2.458694066001044,0.6916700051530112,0.3286400391537041
