n_bits,shots,noise,probability,time_sampling,l2_pop,time_density,fro_norm,fidelity
3,4096,none,0.0,0.0030332629976328462,0.2510736774808197,0.0013881339982617646,2.497404505479342e-15,1.0000000000000004
4,4096,none,0.0,0.0035093109909212217,0.17865456280821607,0.0015862079890212044,6.6785394297581636e-15,0.9999999999999969
5,4096,none,0.0,0.0033803929982241243,0.12227278130888833,0.001972193000256084,1.4892034130546408e-14,0.9999999999999908
6,4096,none,0.0,0.0039704469963908195,0.09094164547205286,0.002621995998197235,1.1455967356184344e-13,1.000000000000085
7,4096,none,0.0,0.004596283994033001,0.06413235461201354,0.003333619999466464,1.3852189133902164e-13,1.0000000000001024
8,4096,none,0.0,0.005510818009497598,0.04650222051097315,0.005655804008711129,1.3039931043402584e-12,1.0000000000009774
9,4096,none,0.0,0.006359227001667023,0.03476068697374548,0.013199188993894495,6.600651850579229e-12,0.9999999999950666
10,4096,none,0.0,0.007353396998951212,0.02681993387667863,0.04311767499893904,2.3420264297560534e-11,0.9999999999824927
11,4096,none,0.0,0.008432004004134797,0.022351870895012886,0.18237805600801948,5.508336555954485e-11,1.0000000000412825
12,4096,none,0.0,0.009821850006119348,0.01906173954681947,0.654689008006244,3.4331392053931206e-10,0.9999999997429944
3,4096,Depolarizing,0.01,0.004041710999445058,0.20088219387273853,0.01334399898769334,0.12984379632137086,0.8796902110765186
4,4096,Depolarizing,0.01,0.004381383987492882,0.1218670182181977,0.0028232110053068027,0.2230356231279317,0.7872248586434965
5,4096,Depolarizing,0.01,0.005993535989546217,0.08001483183700263,0.004792453008121811,0.32783121874845633,0.6826813654120594
6,4096,Depolarizing,0.01,0.008525651996023953,0.04640342010192527,0.006892309989780188,0.4362075331066073,0.574022492275583
7,4096,Depolarizing,0.01,0.04662351400475018,0.026021313661082478,0.0080609390133759,0.5410985032047517,0.46831119984551683
8,4096,Depolarizing,0.01,0.014750988004379906,0.01907111801702862,0.011765422997996211,0.6371563567217924,0.37100863016057073
9,4096,Depolarizing,0.01,0.03545845299959183,0.01631546332676135,0.03259844299464021,0.7210069717804519,0.2856744257578703
10,4096,Depolarizing,0.01,0.12732618000882212,0.015246577144527339,0.13349272099731024,0.791148322362028,0.21401013114747747
11,4096,Depolarizing,0.01,0.5593060419923859,0.015537014235055976,0.6075116620049812,0.8476084439416463,0.15615283123505427
12,4096,Depolarizing,0.01,1.506321606997517,0.015382796876975942,2.787308925995603,0.8914906480083099,0.11110299715390931
3,4096,AmplitudeDamping,0.01,0.00388944499718491,0.21205661742812024,0.012668502997257747,0.1248483582212464,0.894857802705262
4,4096,AmplitudeDamping,0.01,0.004515827997238375,0.1327110351734607,0.002722635996178724,0.20998217421335483,0.8134333203345449
5,4096,AmplitudeDamping,0.01,0.04000702300982084,0.08777390252853003,0.004031548000057228,0.30497510918804904,0.7206861847156826
6,4096,AmplitudeDamping,0.01,0.05578594699909445,0.05632298291315757,0.006826172990258783,0.40336632369895914,0.6229823638462476
7,4096,AmplitudeDamping,0.01,0.05105128600553144,0.03987048878756903,0.008024644004763104,0.4994855655059153,0.5260854608569355
8,4096,AmplitudeDamping,0.01,0.043763972993474454,0.027236729041397605,0.011955904003116302,0.5889916676662261,0.4346209366492332
9,4096,AmplitudeDamping,0.01,0.08056492100877222,0.023024415532914712,0.041411828991840594,0.6690290427096766,0.35183504197786913
10,4096,AmplitudeDamping,0.01,0.17066540199448355,0.019834078136318264,0.13408823100326117,0.7381413011889848,0.279586626074256
11,4096,AmplitudeDamping,0.01,0.5578862239926821,0.018644417082067172,0.607226747990353,0.7960327106667048,0.21851523968111392
12,4096,AmplitudeDamping,0.01,8.898736842995277,0.017550977300401786,2.7964152700005798,0.8432595569950456,0.1683141079041454
3,4096,PhaseDamping,0.01,0.0037213710020296276,0.2305046958693251,0.013276311990921386,0.06731291212577589,0.9397344809107677
4,4096,PhaseDamping,0.01,0.004048354996484704,0.15077457709691938,0.0025678879901533946,0.11804835872608328,0.8921365171425062
5,4096,PhaseDamping,0.01,0.005925614997977391,0.09739466919772748,0.0039060389972291887,0.17828468161133004,0.8350560409909173
6,4096,PhaseDamping,0.01,0.008433559007244185,0.0643383506966205,0.0060321199998725206,0.24533881601682153,0.7709209280169689
7,4096,PhaseDamping,0.01,0.020455339006730355,0.040740040972187634,0.007769688992993906,0.3163912375827578,0.7023018498247893
8,4096,PhaseDamping,0.01,0.01727635100542102,0.025698627669806184,0.011515170001075603,0.3887506945290733,0.6316966803763526
9,4096,PhaseDamping,0.01,0.03608821200032253,0.02100177067149079,0.03275591098645236,0.4600366796365953,0.5613715483089131
10,4096,PhaseDamping,0.01,0.13332074199570343,0.01760523083722651,0.13391762599349022,0.5282992386959203,0.493248756648861
11,4096,PhaseDamping,0.01,0.5629934540047543,0.01622020043151669,0.6130764929985162,0.5920785116615512,0.4288416110933423
12,4096,PhaseDamping,0.01,9.546130558999721,0.015945952922663997,2.8094888659979915,0.6504090627090483,0.369233931952615
3,4096,BitFlip,0.01,0.06510205000813585,0.1974238903333769,0.02487447099701967,0.21625570338090816,0.8044503220305135
4,4096,BitFlip,0.01,0.05287205798958894,0.11012122496977035,0.003004655009135604,0.3482262611393553,0.6749723515455246
5,4096,BitFlip,0.01,0.048171105998335406,0.063159325964087,0.004469180988962762,0.4804011308221337,0.5422245849275741
6,4096,BitFlip,0.01,0.056827338004950434,0.03399608892497524,0.006619035004405305,0.60176291270384,0.41798239774121454
7,4096,BitFlip,0.01,0.03699584200512618,0.021417687694786434,0.00859838399628643,0.705742749912805,0.3099571915647057
8,4096,BitFlip,0.01,0.03309349600749556,0.016554822761879577,0.012208465006551705,0.7898592146343795,0.22165951366106923
9,4096,BitFlip,0.01,0.0626580539974384,0.016402907258047682,0.04165166700840928,0.8546414953975838,0.15323369276295584
10,4096,BitFlip,0.01,0.20630197699938435,0.015525501069906881,0.136285016007605,0.9024218977326728,0.10263768254731562
11,4096,BitFlip,0.01,0.5787677250045817,0.01586726250905461,0.6110922610096168,0.9363200153965903,0.06675809856878404
12,4096,BitFlip,0.01,1.8254579110071063,0.015621184836959366,2.8096022009995067,0.9595324639933077,0.04225368614455871
3,4096,Depolarizing,0.1,0.004173455992713571,0.04070784118625563,0.014961798005970195,0.7337216663885385,0.31554637852848244
4,4096,Depolarizing,0.1,0.0044577799999387935,0.016773011755193034,0.002954701005364768,0.8941321073880795,0.13581797465356546
5,4096,Depolarizing,0.1,0.006435792995034717,0.01421477209766566,0.004438040996319614,0.9598701015492798,0.05591234762939427
6,4096,Depolarizing,0.1,0.00857902599091176,0.01738377257706826,0.006385027008946054,0.9842037065933449,0.023725318925501122
7,4096,Depolarizing,0.1,0.011408825987018645,0.01421477209766566,0.008336444006999955,0.9934184772933876,0.010528579803412246
8,4096,Depolarizing,0.1,0.016111136006657034,0.016157609480248337,0.011956278991419822,0.9971317351342731,0.004833630660768594
9,4096,Depolarizing,0.1,0.03685205799411051,0.016120677753143728,0.03370008000638336,0.9987066810453887,0.002273352904235396
10,4096,Depolarizing,0.1,0.12926540100306738,0.015199592203391973,0.12952829099958763,0.9994010111316417,0.001088229501688705
11,4096,Depolarizing,0.1,0.5663784469943494,0.01516425796217728,0.610182917007478,0.999716816451071,0.000527585818714312
12,4096,Depolarizing,0.1,1.7921311919926666,0.015886033676755312,2.8080083790118806,0.99986405328784,0.00025808755833029665
3,4096,AmplitudeDamping,0.1,0.003697442007251084,0.15585238409975524,0.013861306011676788,0.7283040781305062,0.39056325072655634
4,4096,AmplitudeDamping,0.1,0.0039590439992025495,0.1637941618329589,0.0025315099919680506,0.8913081150406716,0.20606307512276814
5,4096,AmplitudeDamping,0.1,0.005859437005710788,0.16160929195959206,0.004385977998026647,0.9683065240258394,0.10899686669972364
6,4096,AmplitudeDamping,0.1,0.008152688998961821,0.14988564264659252,0.006403439008863643,1.0029678124871984,0.05979900826412581
7,4096,AmplitudeDamping,0.1,0.010683101994800381,0.13720963770878408,0.008300971006974578,1.0191195441902021,0.03354144790548531
